セクション,項目,腾势N9 2026款 闪充 尊荣型,腾势N9 2026款 闪充 尊越型,腾势N9 2026款 闪充 旗舰型,腾势N9 2026款 尊荣型,腾势N9 2026款 尊越型,腾势N9 2026款 旗舰版
,厂商指导价(元),40.98万 计算器,43.98万 计算器,46.98万 计算器,38.98万 计算器,40.98万 计算器,44.98万 计算器
,经销商报价,40.98万起,43.98万起,46.98万起,38.98万起,40.98万起,44.98万起
基本参数,厂商,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-05-18,2026-05-18,2026-05-18,2025-09-17,2025-09-17,2025-09-17
基本参数,WLTC纯电续航里程(km),315,315,315,165,165,165
基本参数,CLTC纯电续航里程(km),420,420,420,202,202,202
基本参数,电池快充时间(小时),0.15,0.15,0.15,0.32,0.32,0.32
基本参数,电池快充电量范围(%),10-97,10-97,10-97,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-,-
基本参数,最大扭矩(N·m),1035,1035,1035,1035,1035,1035
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,2.0T 207马力 L4,2.0T 207马力 L4,2.0T 207马力 L4,2.0T 207马力 L4,2.0T 207马力 L4,2.0T 207马力 L4
基本参数,电动机(Ps),925,925,925,925,925,925
基本参数,长*宽*高(mm),5258*2030*1830,5258*2030*1830,5258*2030*1830,5258*2030*1830,5258*2030*1830,5258*2030*1830
基本参数,官方0-100km/h加速(s),3.7,3.7,3.7,3.9,3.9,3.9
基本参数,最高车速(km/h),230,230,230,230,230,230
基本参数,WLTC综合油耗(L/100km),0.61,0.61,0.61,0.91,0.91,0.91
基本参数,最低荷电状态油耗(L/100km)WLTC,-,-,-,7.29,7.29,7.29
基本参数,最低荷电状态油耗(L/100km)NEDC,5.9,5.9,5.9,6.3,6.3,6.3
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),3260,3260,3260,3130,3245,3245
基本参数,最大满载质量(kg),3760,3760,3760,3760,3760,3760
车身,长度(mm),5258,5258,5258,5258,5258,5258
车身,宽度(mm),2030,2030,2030,2030,2030,2030
车身,高度(mm),1830,1830,1830,1830,1830,1830
车身,轴距(mm),3125,3125,3125,3125,3125,3125
车身,前轮距(mm),1750,1750,1750,1750,1750,1750
车身,后轮距(mm),1757,1757,1757,1757,1757,1757
车身,接近角(°),21,21,21,21,21,21
车身,离去角(°),22,22,22,22,22,22
车身,最小转弯半径(m),4.65,4.65,4.65,4.65,4.65,4.65
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6,● 6,● 6
车身,油箱容积(L),70,70,70,70,70,70
车身,后备厢容积(L),351-1140,351-1140,351-1140,351-1140,351-1140,351-1140
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,BYD479ZQA,BYD479ZQA,BYD479ZQA,BYD479ZQA,BYD479ZQA,BYD479ZQA
发动机,排量(mL),1995,1995,1995,1995,1995,1995
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),207,207,207,207,207,207
发动机,最大功率(kW),152,152,152,152,152,152
发动机,最大功率转速(rpm),-,-,-,-,-,-
发动机,最大扭矩(N·m),325,325,325,325,325,325
发动机,最大扭矩转速(rpm),-,-,-,-,-,-
发动机,最大净功率(kW),150,150,150,150,150,150
发动机,发动机特有技术,可变截面涡轮增压器/米勒循环,可变截面涡轮增压器/米勒循环,可变截面涡轮增压器/米勒循环,可变截面涡轮增压器/米勒循环,可变截面涡轮增压器/米勒循环,可变截面涡轮增压器/米勒循环
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,后电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD
电动机,后电动机型号,TZ220XYAM/TZ220XYAM,TZ220XYAM/TZ220XYAM,TZ220XYAM/TZ220XYAM,TZ220XYAM/TZ220XYAM,TZ220XYAM/TZ220XYAM,TZ220XYAM/TZ220XYAM
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),680,680,680,680,680,680
电动机,电动机总马力(Ps),925,925,925,925,925,925
电动机,电动机总扭矩(N·m),1035,1035,1035,1035,1035,1035
电动机,前电动机最大功率(kW),200,200,200,200,200,200
电动机,前电动机最大扭矩(N·m),315,315,315,315,315,315
电动机,后电动机最大功率(kW),480,480,480,480,480,480
电动机,后电动机最大扭矩(N·m),720,720,720,720,720,720
电动机,系统综合扭矩(N·m),1035,1035,1035,1035,1035,1035
电动机,驱动电机数,三电机,三电机,三电机,三电机,三电机,三电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,第二代刀片电池,第二代刀片电池,第二代刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),315,315,315,165,165,165
电池/充电,CLTC纯电续航里程(km),420,420,420,202,202,202
电池/充电,CLTC综合续航(km),1520,1520,1520,1302,1302,1302
电池/充电,电池能量(kWh),75.3,75.3,75.3,46.9,46.9,46.9
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,100,100,100
电池/充电,电池快充时间(小时),0.15,0.15,0.15,0.32,0.32,0.32
电池/充电,电池快充电量范围(%),10-97,10-97,10-97,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6
电池/充电,对外放电最低允许值(%),20,20,20,20,20,20
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 275/45 R22,● 275/45 R22,● 275/45 R22,● 275/45 R22,● 275/45 R22,● 275/45 R22
