セクション,項目,金海狮 2024款 1.5L 客车工程狮5/6/7座,金海狮 2024款 1.5L 客车工程狮9座,金海狮 2024款 1.5L 简易宿营车旅行狮5/6座,金海狮 2024款 1.5L 客车旅行狮5/6/7座中央空调版,金海狮 2024款 1.5L 客车旅行狮9座中央空调版,金海狮 2024款 1.5L 工程狮营运版7/9座,金海狮 2024款 1.5L 魔术狮5/6/7座,金海狮 2024款 1.5L 旅行狮营运版7/9座,金海狮 2024款 2.0L 工程狮客车5/6/7座CNG,金海狮 2024款 2.0L 工程狮客车9座CNG,金海狮 2024款 2.0L 旅行狮客车5/6/7座CNG中央空调,金海狮 2024款 2.0L 旅行狮客车9座CNG中央空调,金海狮 2024款 2.0L 营运版旅行狮7座140L气罐CNG,金海狮 2024款 1.6L 厢货工程狮2座,金海狮 2024款 1.6L 厢货旅行狮2座,金海狮 2024款 2.0L 厢货工程狮2座,金海狮 2024款 2.0L 工程狮5/6/7座,金海狮 2024款 2.0L 工程狮9座,金海狮 2024款 2.0L 简易宿营车工程狮5/6座,金海狮 2024款 2.0L 旅行狮5/6/7座 中央空调,金海狮 2024款 2.0L 旅行狮9座中央空调,金海狮 2024款 2.0L 简易宿营车旅行狮5/6座,金海狮 2024款 2.0L 工程狮营运版7/9座,金海狮 2024款 2.0L 魔术狮9座,金海狮 2024款 2.0L 旅行狮营运版7/9座,金海狮 2024款 2.0L 易家宿营车豪华版5座
,厂商指导价(元),6.09万 计算器,6.29万 计算器,6.49万 计算器,6.69万 计算器,6.89万 计算器,7.69万 计算器,7.99万 计算器,8.19万 计算器,7.69万 计算器,7.89万 计算器,8.19万 计算器,8.39万 计算器,10.59万 计算器,6.09万 计算器,6.59万 计算器,6.69万 计算器,6.69万 计算器,6.89万 计算器,7.19万 计算器,7.29万 计算器,7.49万 计算器,7.59万 计算器,8.29万 计算器,8.59万 计算器,8.79万 计算器,9.98万 计算器
,经销商报价,6.09万起,6.29万起,6.49万起,6.69万起,6.89万起,7.69万起,7.99万起,8.19万起,7.69万起,7.89万起,8.19万起,8.39万起,10.59万起,6.09万起,6.59万起,6.69万起,6.69万起,6.89万起,7.19万起,7.29万起,7.49万起,7.59万起,8.29万起,8.59万起,8.79万起,9.98万起
基本参数,厂商,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车,鑫源汽车
基本参数,级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22,2024-08-22
基本参数,最大功率(kW),82,82,82,82,82,82,82,82,86,86,86,86,86,88,88,110,110,110,110,110,110,110,110,110,110,110
基本参数,最大扭矩(N·m),146,146,146,146,146,146,146,146,175,175,175,175,175,155,155,200,200,200,200,200,200,200,200,200,200,200
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
基本参数,车身结构,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,2.0L 117马力 L4,2.0L 117马力 L4,2.0L 117马力 L4,2.0L 117马力 L4,2.0L 117马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4
基本参数,长*宽*高(mm),4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*2180
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整备质量(kg),1390,1400,1390,1390,1400,1440,1390,1440,1530,1555,1530,1555,1555,1340,1340,1350,1410,1400,1410,1410,1400,1410,1460,1400,1460,1680
基本参数,最大满载质量(kg),1860,2180,1860,1860,2180,2180,1860,2180,1980,2330,1980,2330,2330,1965,1965,1975,1860,2180,1860,1860,2180,1860,2180,2180,2180,2180
车身,长度(mm),4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890
车身,宽度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
车身,高度(mm),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2180
车身,轴距(mm),3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185
车身,前轮距(mm),1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
车身,后轮距(mm),1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
车身,车身结构,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,座位数(个),● 5/6/7,● 9,● 5/6,● 5/6/7,● 9,● 7/9,● 5/6/7,● 7/9,● 5/6/7,● 9,● 5/6/7,● 9,● 7,● 2,● 2,● 2,● 5/6/7,● 9,● 5/6,● 5/6/7,● 9,● 5/6,● 7/9,● 9,● 7/9,● 5
车身,油箱容积(L),45,45,-,45,45,45,45,45,15,15,15,15,15,45,45,45,45,45,-,45,45,-,45,45,45,-
车身,气罐容积(L),-,-,45,-,-,-,-,-,140,140,140,140,140,-,-,-,-,-,45,-,-,45,-,-,-,45
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,2510×1475×1350,2510×1475×1350,2510×1475×1350,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,后排车门开启方式,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门
发动机,发动机型号,SWD15F,SWD15F,SWD15F,SWD15F,SWD15F,SWD15F,SWD15F,SWD15F,SWEC20F,SWEC20F,SWEC20F,SWEC20F,SWEC20F,SWD16F,SWD16F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1988,1988,1988,1988,1988,1599,1599,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.6,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),112,112,112,112,112,112,112,112,117,117,117,117,117,120,120,150,150,150,150,150,150,150,150,150,150,150
发动机,最大功率(kW),82,82,82,82,82,82,82,82,86,86,86,86,86,88,88,110,110,110,110,110,110,110,110,110,110,110
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),146,146,146,146,146,146,146,146,175,175,175,175,175,155,155,200,200,200,200,200,200,200,200,200,200,200
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),78,78,78,78,78,78,78,78,83,83,83,83,83,85,85,101,101,101,101,101,101,101,101,101,101,101
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
变速箱,挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱,变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15
车轮制动,后轮胎规格,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 无,● 非全尺寸,● 无,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
