セクション,項目,夏 2026款 DM-i 1.5T 100KM 进取型,夏 2026款 DM-i 1.5T 100KM 超越型,夏 2026款 DM-i 1.5T 218KM 超越型,夏 2026款 DM-i 1.5T 218KM 卓越型,夏 2025款 DM-i 1.5T 100km 领航版
,厂商指导价(元),20.68万 计算器,21.98万 计算器,24.68万 计算器,26.98万 计算器,27.78万 计算器
,经销商报价,19.48万起,20.78万起,23.48万起,25.78万起,暂无报价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-04,2025-11-04,2025-11-04,2025-11-04,2025-04-09
基本参数,WLTC纯电续航里程(km),85,85,160,160,80
基本参数,CLTC纯电续航里程(km),100,100,218,218,100
基本参数,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3
基本参数,电池慢充时间(小时),3.1,3.1,5.4,5.4,3.1
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),15-100,15-100,15-100,15-100,15-100
基本参数,最大功率(kW),-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
基本参数,电动机(Ps),272,272,272,272,272
基本参数,长*宽*高(mm),5145*1970*1805,5145*1970*1805,5145*1970*1805,5145*1970*1805,5145*1970*1805
基本参数,官方0-100km/h加速(s),8.1,8.1,8.5,8.5,8.1
