セクション,項目,五菱之光新能源 2025款 201km 标准型,五菱之光新能源 2025款 201km 舒适型,五菱之光新能源 2025款 305km 进取型,
,厂商指导价(元),4.78万 计算器,5.08万 计算器,5.78万 计算器,–
,经销商报价,3.98万起,4.28万起,5.18万起,–
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,–
基本参数,级别,微面,微面,微面,–
基本参数,能源类型,纯电动,纯电动,纯电动,–
基本参数,上市时间,2025-02-14,2025-02-14,2025-07-23,–
基本参数,CLTC纯电续航里程(km),201,201,305,–
基本参数,电池快充时间(小时),0.58,0.58,0.58,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,最大功率(kW),30,30,30,–
基本参数,最大扭矩(N·m),85,85,85,–
基本参数,车身结构,客车,客车,客车,–
基本参数,电动机(Ps),41,41,41,–
基本参数,长*宽*高(mm),3685*1530*1750,3685*1530*1765,3685*1530*1765,–
基本参数,官方0-100km/h加速(s),-,-,-,–
基本参数,最高车速(km/h),100,100,100,–
基本参数,电能当量燃料消耗量(L/100km),1.17,1.17,1.25,–
基本参数,整车质保,-,-,-,–
基本参数,整备质量(kg),892,892,1010,–
基本参数,最大满载质量(kg),1220,1220,1350,–
车身,长度(mm),3685,3685,3685,–
车身,宽度(mm),1530,1530,1530,–
车身,高度(mm),1750,1765,1765,–
车身,轴距(mm),2600,2600,2600,–
车身,前轮距(mm),1290,1290,1290,–
车身,后轮距(mm),1290,1290,1290,–
车身,接近角(°),24,24,24,–
车身,离去角(°),38,38,38,–
车身,最小转弯半径(m),5.1,5.1,5.1,–
车身,车身结构,客车,客车,客车,–
车身,车门开启方式,-,-,-,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 4,● 4,● 4,–
车身,后备厢容积(L),527-1117,527-1117,527-1117,–
车身,风阻系数(Cd),-,-,-,–
车身,后排车门开启方式,● 侧滑门,● 侧滑门,● 侧滑门,–
电动机,后电动机品牌,柳州赛克,柳州赛克,柳州赛克,–
电动机,后电动机型号,TZ155XZ230,TZ155XZ230,TZ155XZ230,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),30,30,30,–
电动机,电动机总马力(Ps),41,41,41,–
电动机,电动机总扭矩(N·m),85,85,85,–
电动机,后电动机最大功率(kW),30,30,30,–
电动机,后电动机最大扭矩(N·m),85,85,85,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,后置,后置,后置,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 欣旺达,–
电池/充电,CLTC纯电续航里程(km),201,201,305,–
电池/充电,电池能量(kWh),17.7,17.7,30.6,–
电池/充电,百公里耗电量(kWh/100km),10.1,10.1,10.8,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,电池快充时间(小时),0.58,0.58,0.58,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,慢充接口位置,车正前,车正前,车正前,–
电池/充电,快充接口位置,车正前,车正前,车正前,–
电池/充电,对外交流放电功率(kW),-,3.3,3.3,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 整体桥非独立悬架,● 整体桥非独立悬架,● 整体桥非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,–
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,–
车轮制动,前轮胎规格,● 165/65 R13,● 165/65 R13,● 165/65 R13,–
车轮制动,后轮胎规格,● 165/65 R13,● 165/65 R13,● 165/65 R13,–
车轮制动,备胎规格,-,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副-,主 ● /副-,主 ● /副 ●,–
被动安全,前/后排侧气囊,-,-,-,–
被动安全,前/后排头部气囊(气帘),-,-,-,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,–
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,–
