セクション,項目,AION UT 2026款 420永冲锋版,AION UT 2025款 330星耀版,AION UT 2025款 330星辉版,AION UT 2025款 420智享版,AION UT 2025款 420智豪版,AION UT 2025款 420智尊版
,厂商指导价(元),8.68万 计算器,6.98万 计算器,7.38万 计算器,8.38万 计算器,8.98万 计算器,10.18万 计算器
,经销商报价,8.38万起,6.68万起,7.08万起,8.08万起,8.68万起,9.88万起
基本参数,厂商,埃安,埃安,埃安,埃安,埃安,埃安
基本参数,级别,小型车,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-01-17,2025-02-28,2025-04-29,2025-02-28,2025-02-28,2025-02-28
基本参数,CLTC纯电续航里程(km),420,330,330,420,420,420
基本参数,电池快充时间(小时),0.4,0.4,0.4,0.4,0.4,0.4
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),100,100,100,100,100,100
基本参数,最大扭矩(N·m),145,145,145,145,145,145
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),136,136,136,136,136,136
基本参数,长*宽*高(mm),4270*1850*1575,4270*1850*1575,4270*1850*1575,4270*1850*1575,4270*1850*1575,4270*1850*1575
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-
基本参数,最高车速(km/h),150,150,150,150,150,150
基本参数,电能当量燃料消耗量(L/100km),1.32,1.32,1.32,1.32,1.32,1.32
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1540,1510,1510,1540,1540,1540
基本参数,最大满载质量(kg),2000,2000,2000,2000,2000,2000
车身,长度(mm),4270,4270,4270,4270,4270,4270
车身,宽度(mm),1850,1850,1850,1850,1850,1850
车身,高度(mm),1575,1575,1575,1575,1575,1575
车身,轴距(mm),2750,2750,2750,2750,2750,2750
车身,前轮距(mm),1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1600,1600,1600,1600,1600,1600
车身,接近角(°),17,17,17,17,17,17
车身,离去角(°),28,28,28,28,28,28
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),440-1600,440-1600,440-1600,440-1600,440-1600,440-1600
车身,风阻系数(Cd),-,-,-,-,-,-
电动机,前电动机品牌,苏州汇川,苏州汇川,苏州汇川,苏州汇川,苏州汇川,苏州汇川
电动机,前电动机型号,TZ180XS134,TZ180XS134,TZ180XS134,TZ180XS134,TZ180XS134,TZ180XS134
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),100,100,100,100,100,100
电动机,电动机总马力(Ps),136,136,136,136,136,136
电动机,电动机总扭矩(N·m),145,145,145,145,145,145
电动机,前电动机最大功率(kW),100,100,100,100,100,100
电动机,前电动机最大扭矩(N·m),145,145,145,145,145,145
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 因湃电池
● 孚能科技","● 因湃电池
● 孚能科技","● 因湃电池
● 孚能科技","● 因湃电池
● 孚能科技","● 因湃电池
● 孚能科技","● 因湃电池
● 孚能科技"
电池/充电,电池特有技术,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),420,330,330,420,420,420
电池/充电,电池能量(kWh),44.12/44.133/44.089,34.868/34.836,34.868/34.836,44.12/44.133/44.089,44.12/44.133/44.089,44.12/44.133/44.089
电池/充电,百公里耗电量(kWh/100km),11.4,11.4,11.4,11.4,11.4,11.4
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.4,0.4,0.4,0.4,0.4,0.4
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
