セクション,項目,昊铂HL 2025款 350 Pro五座激光雷达版,昊铂HL 2025款 350 Pro六座激光雷达版,昊铂HL 2025款 改款 350 Max五座激光雷达版,昊铂HL 2025款 改款 350 Max六座激光雷达版,昊铂HL 2025款 750 Max五座激光雷达版,昊铂HL 2025款 750 Max六座激光雷达版,昊铂HL 2025款 700 Ultra六座四驱激光雷达版,昊铂HL 2025款 350 Pro五座荣耀定制版
,厂商指导价(元),26.98万 计算器,27.98万 计算器,28.98万 计算器,29.98万 计算器,29.98万 计算器,30.98万 计算器,31.98万 计算器,26.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,昊铂,昊铂,昊铂,昊铂,昊铂,昊铂,昊铂,昊铂
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,-,-,-,国VI
基本参数,上市时间,2025-08-19,2025-08-19,2025-08-19,2025-08-19,2025-04-12,2025-04-12,2025-04-12,2025-04-12
基本参数,WLTC纯电续航里程(km),282,282,282,282,-,-,-,-
基本参数,CLTC纯电续航里程(km),350,350,350,350,750,750,700,350
基本参数,电池快充时间(小时),0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),250,250,250,250,250,250,380,250
基本参数,最大扭矩(N·m),430,430,430,430,430,430,670,430
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门6座SUV,5门5座SUV,5门6座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV
基本参数,发动机,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,纯电动,纯电动,纯电动,增程式
基本参数,电动机(Ps),340,340,340,340,340,340,517,340
基本参数,长*宽*高(mm),5126*1990*1750,5126*1990*1750,5126*1990*1750,5126*1990*1750,5126*1990*1750,5126*1990*1750,5126*1990*1750,5126*1990*1750
基本参数,官方0-100km/h加速(s),7.5,7.5,7.5,7.5,6.5,6.5,4.5,7.5
基本参数,最高车速(km/h),201,201,201,201,201,201,206,201
基本参数,WLTC综合油耗(L/100km),0.27,0.27,0.27,0.27,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.7,6.7,6.7,6.7,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,1.83,1.83,1.96,-
基本参数,油电综合燃料消耗量(L/100km),2.94,2.94,2.94,2.94,-,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2490,2490,2490,2490,-,2500,2620,-
基本参数,最大满载质量(kg),3080,3080,3080,3080,3050,3050,3150,-
车身,长度(mm),5126,5126,5126,5126,5126,5126,5126,5126
车身,宽度(mm),1990,1990,1990,1990,1990,1990,1990,1990
车身,高度(mm),1750,1750,1750,1750,1750,1750,1750,1750
车身,轴距(mm),3088,3088,3088,3088,3088,3088,3088,3088
车身,前轮距(mm),1665,1665,1665,1665,1665,1665,1665,1665
车身,后轮距(mm),1678,1678,1678,1678,1678,1678,1678,1678
车身,接近角(°),17,17,17,17,17,17,17,17
车身,离去角(°),22,22,22,22,22,22,22,22
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 6,● 5,● 6,● 5,● 6,● 6,● 5
车身,油箱容积(L),53,53,53,53,-,-,-,53
车身,后备厢容积(L),-,-,-,-,-,-,-,-
车身,风阻系数(Cd),0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268
发动机,发动机型号,4A15M3,4A15M3,4A15M3,4A15M3,-,-,-,-
发动机,排量(mL),1498,1498,1498,1498,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,-,-,-,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,-,-,-,-
发动机,气缸排列形式,L,L,L,L,-,-,-,L
发动机,气缸数(个),4,4,4,4,-,-,-,4
发动机,每缸气门数(个),4,4,4,4,-,-,-,4
发动机,压缩比,14.4,14.4,14.4,14.4,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,-,-,-,-
发动机,最大马力(Ps),160,160,160,160,-,-,-,-
发动机,最大功率(kW),118,118,118,118,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-
发动机,最大净功率(kW),115,115,115,115,-,-,-,-
发动机,发动机特有技术,废气再循环,废气再循环,废气再循环,废气再循环,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式
发动机,燃油标号,92号,92号,92号,92号,-,-,-,92号
发动机,供油方式,直喷,直喷,直喷,直喷,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,-,-,-,国VI
电动机,前电动机品牌,-,-,-,-,-,-,苏州汇川,-
电动机,后电动机品牌,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,-
电动机,前电动机型号,-,-,-,-,-,-,YS190XY102,-
电动机,后电动机型号,TZ220XYD6A01,TZ220XYD6A01,TZ220XYD6A01,TZ220XYD6A01,TZ220XYX3T24,TZ220XYX3T24,TZ220XYX3T24,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,永磁/同步
电动机,电动机总功率(kW),250,250,250,250,250,250,380,250
电动机,电动机总马力(Ps),340,340,340,340,340,340,517,340
电动机,电动机总扭矩(N·m),430,430,430,430,430,430,670,430
电动机,前电动机最大功率(kW),-,-,-,-,-,-,130,-
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,240,-
电动机,后电动机最大功率(kW),250,250,250,250,250,250,250,250
电动机,后电动机最大扭矩(N·m),430,430,430,430,430,430,430,430
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,前置+后置,后置
