セクション,項目,问界M8 2025款 增程 Max版 37kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 37kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (896线激光雷达）,问界M8 2026款 增程 基本型 5座,问界M8 2026款 增程 基本型 6座
,厂商指导价(元),35.98万 计算器,36.98万 计算器,36.98万 计算器,37.98万 计算器,37.98万 计算器,38.98万 计算器,39.98万 计算器,40.98万 计算器,42.98万 计算器,43.98万 计算器,44.98万 计算器,45.98万 计算器,35.98万 计算器,36.98万 计算器,37.98万 计算器,38.98万 计算器,37.98万 计算器,38.98万 计算器,39.98万 计算器,40.98万 计算器,42.98万 计算器,43.98万 计算器,44.98万 计算器,45.98万 计算器,预售,预售
,经销商报价,35.98万起,36.98万起,36.98万起,37.98万起,37.98万起,38.98万起,39.98万起,40.98万起,42.98万起,43.98万起,44.98万起,45.98万起,35.98万起,36.98万起,37.98万起,38.98万起,37.98万起,38.98万起,39.98万起,40.98万起,42.98万起,43.98万起,44.98万起,45.98万起,暂无报价,暂无报价
基本参数,厂商,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,国VI,国VI
基本参数,上市时间,2025-04-16,2025-04-16,2026-03-23,2025-04-16,2026-03-23,2026-03-23,2025-04-16,2026-03-23,2025-04-16,2026-03-23,2025-04-16,2026-03-23,2025-08-25,2026-03-23,2025-08-25,2026-03-23,2025-08-25,2026-03-23,2025-08-25,2026-03-23,2025-08-25,2026-03-23,2025-08-25,2026-03-23,-,-
基本参数,WLTC纯电续航里程(km),161,161,262,235,262,252,235,252,235,252,235,252,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),201,201,322,310,322,310,310,310,310,310,310,310,705,705,705,705,655,655,655,655,625,625,625,625,-,-
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,-
基本参数,电池慢充时间(小时),5,5,5,6,5,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-
基本参数,电池慢充电量范围(%),20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最大功率(kW),392,392,227,392,227,392,392,392,392,392,392,392,227,227,227,227,387,387,387,387,387,387,387,387,397,397
基本参数,最大扭矩(N·m),598,598,320,598,320,598,598,598,598,598,598,598,320,320,320,320,597,597,597,597,597,597,597,597,-,-
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门6座SUV
基本参数,发动机,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,增程器 160马力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程器 160马力,增程器 160马力
基本参数,电动机(Ps),533,533,309,533,309,533,533,533,533,533,533,533,309,309,309,309,526,526,526,526,526,526,526,526,540,540
基本参数,长*宽*高(mm),5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795
基本参数,官方0-100km/h加速(s),5.3,5.3,5.3,5.2,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),200,200,190,200,190,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.85,0.85,-,0.53,-,0.53,0.53,0.53,0.53,0.53,0.53,0.53,-,-,-,-,-,-,-,-,-,-,-,-,0.50,0.50
基本参数,最低荷电状态油耗(L/100km)WLTC,6.6,6.6,-,6.6,-,6.6,6.6,6.6,6.6,6.6,6.6,6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,1.83,1.83,1.83,1.83,1.97,1.97,1.97,1.97,2.04,2.04,2.04,2.04,-,-
基本参数,油电综合燃料消耗量(L/100km),3.47,3.47,-,3.28,-,3.28,3.28,3.28,3.28,3.28,3.28,3.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,-,-
基本参数,整备质量(kg),2640,2695,2575,2660,2630,2660,2715,2715,2660,2660,2715,2715,2555,2555,2555,2555,2670,2670,2670,2670,2715,2715,2715,2715,2830,2895
基本参数,最大满载质量(kg),3145,3145,-,3165,-,3165,3165,3165,3165,3165,3165,3165,3050,3050,3050,3050,3165,3165,3165,3165,3165,3165,3165,3165,3345,3345
车身,长度(mm),5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190
车身,宽度(mm),1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
车身,高度(mm),1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
车身,轴距(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
车身,前轮距(mm),1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716
车身,后轮距(mm),1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727
车身,接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,-,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 6,● 5,● 5,● 6,● 5,● 6,● 6,● 5,● 5,● 6,● 6,● 5,● 5,● 6,● 6,● 5,● 5,● 6,● 6,● 5,● 5,● 6,● 6,● 5,● 6
车身,油箱容积(L),65,65,65,65,65,65,65,65,65,65,65,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,前备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,149,149,149,149,149,149,149,149,149,149,149,149,-,-
车身,后备厢容积(L),1086-2460,392-1323,1086-2460,1086-2460,392-1323,1086-2460,392-1323,392-1323,1086-2460,1086-2460,392-1323,392-1323,1086-2460,1086-2460,392-1323,392-1323,1086-2460,1086-2460,392-1323,392-1323,1086-2460,1086-2460,392-1323,392-1323,-,-
车身,风阻系数(Cd),0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,-,-
发动机,发动机型号,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,HG15T,-,-,-,-,-,-,-,-,-,-,-,-,HG15T,HG15T
发动机,排量(mL),1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,-,-,-,-,-,-,-,-,-,-,-,-,1496,1496
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,-,-,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,-,-,-,-,-,-,-,-,-,-,-,-,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,160,160,160,160,160,160,160,160,160,-,-,-,-,-,-,-,-,-,-,-,-,160,160
发动机,最大功率(kW),118,118,118,118,118,118,118,118,118,118,118,118,-,-,-,-,-,-,-,-,-,-,-,-,118,118
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),115,115,115,115,115,115,115,115,115,115,115,115,-,-,-,-,-,-,-,-,-,-,-,-,115,115
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,-,-,-,-,-,-,-,-,-,-,-,-,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-,-,-,-,-,-,-,-,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,国VI,国VI
电动机,前电动机品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,华为,华为,华为,华为,华为,华为,华为,华为,-,-
电动机,后电动机品牌,-,-,-,-,-,-,-,-,-,-,-,-,华为,华为,华为,华为,华为,华为,华为,华为,华为,华为,华为,华为,-,-
电动机,前电动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,YS210XYA03,YS210XYA03,YS210XYA03,YS210XYA03,YS210XYA03,YS210XYA03,YS210XYA03,YS210XYA03,YS210XYC55/DY60YS210001,YS210XYC55/DY60YS210001
电动机,后电动机型号,-,-,-,-,-,-,-,-,-,-,-,-,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01,QT67TZ210D01
电动机,电机类型,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,永磁/同步,前交流/异步 后永磁/同步,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,-,-
电动机,电动机总功率(kW),392,392,227,392,227,392,392,392,392,392,392,392,227,227,227,227,387,387,387,387,387,387,387,387,397,397
电动机,电动机总马力(Ps),533,533,309,533,309,533,533,533,533,533,533,533,309,309,309,309,526,526,526,526,526,526,526,526,540,540
电动机,电动机总扭矩(N·m),598,598,320,598,320,598,598,598,598,598,598,598,320,320,320,320,597,597,597,597,597,597,597,597,-,-
电动机,前电动机最大功率(kW),165,165,-,165,-,165,165,165,165,165,165,165,-,-,-,-,160,160,160,160,160,160,160,160,170,170
电动机,前电动机最大扭矩(N·m),278,278,-,278,-,278,278,278,278,278,278,278,-,-,-,-,277,277,277,277,277,277,277,277,-,-
电动机,后电动机最大功率(kW),227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,-,-
电动机,后电动机最大扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,227,227
电动机,驱动电机数,双电机,双电机,单电机,双电机,单电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,单电机,单电机,单电机,单电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,后置,前置+后置,后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,后置,后置,后置,后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
