セクション,項目,纳米06 2026款 智趣版 471 Air,纳米06 2026款 智趣版 471 Max,纳米06 2025款 401 Air,纳米06 2025款 401 Pro,纳米06 2025款 401 Ultra,纳米06 2025款 471 Pro,纳米06 2025款 471 Ultra,纳米06 2025款 401 出行版,纳米06 2025款 471 出行版
,厂商指导价(元),9.99万 计算器,10.99万 计算器,8.99万 计算器,9.99万 计算器,10.99万 计算器,10.99万 计算器,11.99万 计算器,12.98万 计算器,14.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-06-25,2026-06-25,2025-05-27,2025-05-27,2025-05-27,2025-05-27,2025-05-27,2025-06-27,2025-06-27
基本参数,CLTC纯电续航里程(km),471,471,401,401,401,471,471,401,471
基本参数,电池快充时间(小时),0.3,0.3,0.5,0.5,0.5,0.3,0.3,0.5,0.3
基本参数,电池慢充时间(小时),9,9,8.3,8.3,8.3,9,9,8.3,9
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),135,135,135,135,135,135,135,135,135
基本参数,最大扭矩(N·m),290,290,290,290,290,290,290,290,290
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),184,184,184,184,184,184,184,184,184
基本参数,长*宽*高(mm),4306*1868*1630,4306*1868*1630,4306*1868*1645,4306*1868*1645,4306*1868*1645,4306*1868*1645,4306*1868*1645,4306*1868*1645,4306*1868*1645
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.6,3.7
基本参数,最高车速(km/h),150,150,150,150,150,150,150,150,150
基本参数,电能当量燃料消耗量(L/100km),1.46,1.46,1.44,1.44,1.44,1.46,1.46,1.44,1.46
基本参数,整车质保,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1550,1570,1526,1526,1526,1550,1570,1526,1550
基本参数,最大满载质量(kg),1975,1975,1945,1945,1945,1975,1975,1945,1975
车身,长度(mm),4306,4306,4306,4306,4306,4306,4306,4306,4306
车身,宽度(mm),1868,1868,1868,1868,1868,1868,1868,1868,1868
车身,高度(mm),1630,1630,1645,1645,1645,1645,1645,1645,1645
车身,轴距(mm),2715,2715,2715,2715,2715,2715,2715,2715,2715
车身,前轮距(mm),1578,1578,1578,1578,1578,1578,1578,1578,1578
车身,后轮距(mm),1586,1586,1586,1586,1586,1586,1586,1586,1586
车身,接近角(°),23,23,23,23,23,23,23,23,23
车身,离去角(°),30,30,30,30,30,30,30,30,30
车身,最小转弯半径(m),5.1,5.1,-,-,-,-,-,-,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),500,500,500,500,500,500,500,500,500
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技
电动机,前电动机型号,TZ200XS32E,TZ200XS32E,TZ200XS32E,TZ200XS32E,TZ200XS32E,TZ200XS32E,TZ200XS32E,TZ200XS32E,TZ200XS32E
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),135,135,135,135,135,135,135,135,135
电动机,电动机总马力(Ps),184,184,184,184,184,184,184,184,184
电动机,电动机总扭矩(N·m),290,290,290,290,290,290,290,290,290
电动机,前电动机最大功率(kW),135,135,135,135,135,135,135,135,135
电动机,前电动机最大扭矩(N·m),290,290,290,290,290,290,290,290,290
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 东昱欣晟,● 东昱欣晟,● 欣旺达,● 欣旺达,● 欣旺达,● 东昱欣晟,● 东昱欣晟,● 欣旺达,● 东昱欣晟
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,CLTC纯电续航里程(km),471,471,401,401,401,471,471,401,471
电池/充电,电池能量(kWh),51.87,51.87,44.94,44.94,44.94,51.87,51.87,44.94,51.87
