セクション,項目,沃尔沃ES90 2027款 后驱长续航版 Plus,沃尔沃ES90 2027款 双电机四驱高性能版 Ultra,
,厂商指导价(元),53.99万 计算器,62.99万 计算器,–
,经销商报价,暂无报价,暂无报价,–
基本参数,厂商,沃尔沃亚太,沃尔沃亚太,–
基本参数,级别,中大型车,中大型车,–
基本参数,能源类型,纯电动,纯电动,–
基本参数,上市时间,2026-05-29,2026-05-29,–
基本参数,CLTC纯电续航里程(km),777,848,–
基本参数,电池快充时间(小时),0.37,0.37,–
基本参数,电池快充电量范围(%),10-80,10-80,–
基本参数,最大功率(kW),245,500,–
基本参数,最大扭矩(N·m),480,870,–
基本参数,车身结构,5门5座掀背车,5门5座掀背车,–
基本参数,电动机(Ps),333,680,–
基本参数,长*宽*高(mm),5000*1942*1553,5000*1942*1547,–
基本参数,官方0-100km/h加速(s),6.6,3.9,–
基本参数,最高车速(km/h),180,180,–
基本参数,电能当量燃料消耗量(L/100km),1.56,1.64,–
基本参数,整车质保,● 三年不限公里,● 三年不限公里,–
基本参数,整备质量(kg),2370,2558,–
基本参数,最大满载质量(kg),2900,3070,–
车身,长度(mm),5000,5000,–
车身,宽度(mm),1942,1942,–
车身,高度(mm),1553,1547,–
车身,轴距(mm),3102,3102,–
车身,前轮距(mm),1664,1674,–
车身,后轮距(mm),1665,1665,–
车身,接近角(°),18,18,–
车身,离去角(°),21,21,–
车身,最小转弯半径(m),5.4,5.4,–
车身,车身结构,掀背车,掀背车,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,前备厢容积(L),27,27,–
车身,后备厢容积(L),409,409,–
车身,风阻系数(Cd),0.25,0.25,–
电动机,前电动机品牌,-,中达电子,–
电动机,后电动机品牌,亚欧汽车,亚欧汽车,–
电动机,前电动机型号,-,F22DA,–
电动机,后电动机型号,R31DD,R31DA,–
电动机,电机类型,永磁/同步,前感应/异步 后永磁/同步,–
电动机,电动机总功率(kW),245,500,–
电动机,电动机总马力(Ps),333,680,–
电动机,电动机总扭矩(N·m),480,870,–
电动机,前电动机最大功率(kW),-,220,–
电动机,前电动机最大扭矩(N·m),-,390,–
电动机,后电动机最大功率(kW),245,280,–
电动机,后电动机最大扭矩(N·m),480,480,–
电动机,驱动电机数,单电机,双电机,–
电动机,电机布局,后置,前置+后置,–
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,–
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,● 宁德时代(四川时代),● 宁德时代(四川时代),–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),777,848,–
电池/充电,电池能量(kWh),92,106,–
电池/充电,百公里耗电量(kWh/100km),13.4,14.1,–
电池/充电,快充功能,支持,支持,–
电池/充电,高压快充,支持,支持,–
电池/充电,高压平台（V）,800,800,–
电池/充电,电池快充时间(小时),0.37,0.37,–
电池/充电,电池快充电量范围(%),10-80,10-80,–
电池/充电,慢充接口位置,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 后置后驱,● 双电机四驱,–
底盘转向,四驱形式,-,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,"● 245/50 R20
○ 245/45 R21","● 245/45 R21
○ 255/40 R22",–
车轮制动,后轮胎规格,"● 275/45 R20
○ 275/40 R21","● 275/40 R21
○ 285/35 R22",–
车轮制动,备胎规格,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,–
被动安全,前排中间气囊,●,●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,●,●,–
主动安全,DOW开门预警,●,●,–
主动安全,前方碰撞预警,●,●,–
主动安全,后方碰撞预警,●,●,–
主动安全,低速行车警告,●,●,–
主动安全,道路救援呼叫,●,●,–
驾驶操控,驾驶模式切换,"● 标准/舒适
● 越野","● 标准/舒适
● 越野",–
驾驶操控,单踏板模式,●,●,–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,可变悬架功能,● 悬架软硬调节,"● 悬架软硬调节
● 悬架高低调节",–
驾驶操控,空气悬架,-,●,–
驾驶操控,空气悬挂类型,-,● 双腔,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,辅助驾驶芯片,● 英伟达 Drive Orin,● 英伟达 Drive Orin,–
驾驶硬件,芯片总算力,● 254 TOPS,● 254 TOPS,–
