セクション,項目,飞度 2026款 1.5L CVT焕新版,
,厂商指导价(元),6.68万 计算器,–
,经销商报价,暂无报价,–
基本参数,厂商,广汽本田,–
基本参数,级别,小型车,–
基本参数,能源类型,汽油,–
基本参数,环保标准,国VI,–
基本参数,上市时间,2026-01-15,–
基本参数,最大功率(kW),91,–
基本参数,最大扭矩(N·m),145,–
基本参数,变速箱,CVT无级变速,–
基本参数,车身结构,5门5座两厢车,–
基本参数,发动机,1.5L 124马力 L4,–
基本参数,长*宽*高(mm),4169*1694*1537,–
基本参数,官方0-100km/h加速(s),-,–
基本参数,最高车速(km/h),188,–
基本参数,WLTC综合油耗(L/100km),5.57,–
基本参数,整车质保,● 三年或10万公里,–
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,–
基本参数,整备质量(kg),1103,–
基本参数,最大满载质量(kg),1610,–
车身,长度(mm),4169,–
车身,宽度(mm),1694,–
车身,高度(mm),1537,–
车身,轴距(mm),2530,–
车身,前轮距(mm),1485,–
车身,后轮距(mm),1473,–
车身,接近角(°),15,–
车身,离去角(°),27,–
车身,最小转弯半径(m),4.9,–
车身,车身结构,两厢车,–
车身,车门开启方式,平开门,–
车身,车门数(个),● 5,–
车身,座位数(个),● 5,–
车身,油箱容积(L),40,–
车身,后备厢容积(L),-,–
车身,风阻系数(Cd),-,–
发动机,发动机型号,L15CC,–
发动机,排量(mL),1498,–
发动机,排量(L),1.5,–
发动机,进气形式,自然吸气,–
发动机,发动机布局,横置,–
发动机,气缸排列形式,L,–
发动机,气缸数(个),4,–
发动机,每缸气门数(个),4,–
发动机,压缩比,11.5,–
发动机,配气机构,DOHC,–
发动机,最大马力(Ps),124,–
发动机,最大功率(kW),91,–
发动机,最大功率转速(rpm),6600,–
发动机,最大扭矩(N·m),145,–
发动机,最大扭矩转速(rpm),4700,–
发动机,最大净功率(kW),91,–
发动机,发动机特有技术,i-VTEC,–
发动机,能源类型,汽油,–
发动机,燃油标号,92号,–
发动机,供油方式,直喷,–
发动机,缸盖材料,铝合金,–
发动机,缸体材料,铝合金,–
发动机,环保标准,国VI,–
变速箱,简称,CVT无级变速,–
变速箱,挡位个数,无级变速,–
变速箱,变速箱类型,无级变速箱(CVT),–
底盘转向,驱动方式,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 扭力梁式非独立悬架,–
底盘转向,助力类型,● 电动助力,–
底盘转向,车体结构,承载式,–
车轮制动,前制动器类型,● 通风盘式,–
车轮制动,后制动器类型,● 鼓式,–
车轮制动,驻车制动类型,● 手刹,–
车轮制动,前轮胎规格,● 185/60 R15,–
车轮制动,后轮胎规格,● 185/60 R15,–
车轮制动,备胎规格,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),-,–
主动安全,ABS防抱死,●,–
主动安全,制动力分配(EBD/CBC等),●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,–
主动安全,胎压监测功能,● 胎压报警,–
主动安全,安全带未系提醒,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,–
主动安全,车道偏离预警系统,-,–
主动安全,主动刹车/主动安全系统,-,–
主动安全,疲劳驾驶提示,-,–
驾驶操控,驾驶模式切换,"● 运动
● 经济",–
驾驶操控,自动驻车,-,–
驾驶操控,上坡辅助,●,–
驾驶硬件,前/后驻车雷达,-,–
驾驶硬件,驾驶辅助影像,-,–
驾驶功能,巡航系统,-,–
驾驶功能,卫星导航系统,-,–
驾驶功能,导航路况信息显示,-,–
驾驶功能,并线辅助,-,–
驾驶功能,车道保持辅助系统,-,–
