セクション,項目,奥迪A6L e-tron 2026款 长续航版,奥迪A6L e-tron 2026款 首发乾崑智驾版,奥迪A6L e-tron 2026款 超长续航版,奥迪A6L e-tron 2026款 quattro 乾崑智驾版
,厂商指导价(元),30.98万 计算器,36.98万 计算器,34.98万 计算器,43.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-04-10,2026-04-10,2026-04-10,2026-04-10
基本参数,CLTC纯电续航里程(km),720,745,815,721
基本参数,电池快充时间(小时),0.42,0.35,0.35,0.35
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80
基本参数,最大功率(kW),215,260,265,405
基本参数,最大扭矩(N·m),460,540,515,779
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),292,354,360,551
基本参数,长*宽*高(mm),5073*1942*1522,5073*1950*1522,5073*1942*1522,5073*1950*1504
基本参数,官方0-100km/h加速(s),5.7,5.6,5.5,4.3
基本参数,最高车速(km/h),200,200,200,200
基本参数,电能当量燃料消耗量(L/100km),1.63,1.75,1.60,1.81
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2327,2313,2300,2445
基本参数,最大满载质量(kg),2746,2730,2717,2864
车身,长度(mm),5073,5073,5073,5073
车身,宽度(mm),1942,1950,1942,1950
车身,高度(mm),1522,1522,1522,1504
车身,轴距(mm),3076,3076,3076,3076
车身,前轮距(mm),1691,1697,1697,1697
车身,后轮距(mm),1653,1649,1649,1649
车身,接近角(°),12,12,12,12
车身,离去角(°),14,14,14,14
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,前备厢容积(L),27,27,27,27
车身,后备厢容积(L),495,495,495,495
车身,风阻系数(Cd),-,-,-,-
电动机,前电动机品牌,-,-,-,采埃孚
电动机,后电动机品牌,采埃孚,Audi,采埃孚,采埃孚
电动机,前电动机型号,-,-,-,YS215XYECZ
电动机,后电动机型号,TZ215XYECY,TZ210XYECC,TZ215XYECY,TZ215XYECY
