セクション,項目,捷途山海L7 PLUS 2026款 121km 标准版 5座,捷途山海L7 PLUS 2026款 121km 舒适版 5座,捷途山海L7 PLUS 2026款 121km 豪华版 5座,捷途山海L7 PLUS 2026款 121km 豪华版 7座,捷途山海L7 PLUS 2026款 220km 精英版 5座,捷途山海L7 PLUS 2026款 220km 精英版 7座,捷途山海L7 PLUS 2026款 220km 豪华版 5座,捷途山海L7 PLUS 2026款 220km 豪华版 7座,捷途山海L7 PLUS 2026款 220km 旗舰版 5座,捷途山海L7 PLUS 2026款 220km 旗舰版 7座
,厂商指导价(元),11.99万 计算器,12.99万 计算器,13.99万 计算器,14.39万 计算器,14.59万 计算器,14.99万 计算器,15.59万 计算器,15.99万 计算器,16.19万 计算器,16.59万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-08-26
基本参数,WLTC纯电续航里程(km),95,95,95,95,167,167,167,167,167,167
基本参数,CLTC纯电续航里程(km),121,121,121,121,220,220,220,220,220,220
基本参数,电池快充时间(小时),0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),265,265,265,265,265,265,265,265,265,265
基本参数,最大扭矩(N·m),530,530,530,530,530,530,530,530,530,530
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
