セクション,項目,悦意08 2026款 增程 240 Plus,悦意08 2026款 纯电 565 Air,悦意08 2026款 纯电 565 Plus,悦意08 2026款 纯电 565 Pro,悦意08 2026款 纯电 650 Pro,悦意08 2026款 纯电 650 Pro领航版
,厂商指导价(元),10.99万 计算器,9.99万 计算器,10.99万 计算器,11.99万 计算器,12.99万 计算器,13.99万 计算器
,经销商报价,10.99万起,9.99万起,10.99万起,11.99万起,12.99万起,13.99万起
基本参数,厂商,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,-,-,-,-,-
基本参数,上市时间,2026-07-12,2026-07-12,2026-07-12,2026-07-12,2026-07-12,2026-07-12
基本参数,WLTC纯电续航里程(km),178,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),240,565,565,565,650,650
基本参数,电池快充时间(小时),0.33,0.33,0.33,0.33,0.13,0.13
基本参数,电池慢充时间(小时),5,10,10,10,12,12
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),202,202,202,202,202,202
基本参数,最大扭矩(N·m),300,300,300,300,300,300
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,增程器 95马力,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),275,275,275,275,275,275
基本参数,长*宽*高(mm),4920*1920*1475,4920*1920*1475,4920*1920*1475,4920*1920*1475,4920*1920*1475,4920*1920*1475
基本参数,官方0-100km/h加速(s),6.4,6.4,6.4,6.4,5.9,5.9
基本参数,最高车速(km/h),185,185,185,185,185,185
基本参数,WLTC综合油耗(L/100km),0.44,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.91,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,4.5,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,1.32,1.32,1.32,1.32,1.32
基本参数,油电综合燃料消耗量(L/100km),2.14,-,-,-,-,-
基本参数,整车质保,-,-,-,-,-,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1765,1740,1740,1740,1770,1770
基本参数,最大满载质量(kg),2140,2115,2115,2115,2145,2145
车身,长度(mm),4920,4920,4920,4920,4920,4920
车身,宽度(mm),1920,1920,1920,1920,1920,1920
车身,高度(mm),1475,1475,1475,1475,1475,1475
车身,轴距(mm),2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1655,1655,1655,1655,1655,1655
车身,后轮距(mm),1650,1650,1650,1650,1650,1650
车身,满载最小离地间隙(mm),125,127,127,127,127,127
车身,接近角(°),15,15,15,15,15,15
车身,离去角(°),19,19,19,19,19,19
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),54,-,-,-,-,-
车身,前备厢容积(L),-,-,79,79,79,79
车身,后备厢容积(L),618-1794,618-1794,618-1794,618-1794,618-1794,618-1794
车身,风阻系数(Cd),0.198,0.198,0.198,0.198,0.198,0.198
发动机,发动机型号,DAM15HE,-,-,-,-,-
发动机,排量(mL),1498,-,-,-,-,-
发动机,排量(L),1.5,-,-,-,-,-
发动机,进气形式,自然吸气,-,-,-,-,-
发动机,发动机布局,横置,-,-,-,-,-
发动机,气缸排列形式,L,-,-,-,-,-
发动机,气缸数(个),4,-,-,-,-,-
发动机,每缸气门数(个),4,-,-,-,-,-
发动机,配气机构,DOHC,-,-,-,-,-
发动机,最大马力(Ps),95,-,-,-,-,-
发动机,最大功率(kW),70,-,-,-,-,-
发动机,最大功率转速(rpm),5000,-,-,-,-,-
发动机,最大扭矩(N·m),125,-,-,-,-,-
发动机,最大扭矩转速(rpm),4800,-,-,-,-,-
发动机,最大净功率(kW),65,-,-,-,-,-
发动机,能源类型,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,-,-,-,-,-
发动机,供油方式,多点电喷,-,-,-,-,-
发动机,缸盖材料,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,-,-,-,-,-
发动机,环保标准,国VI,-,-,-,-,-
电动机,后电动机品牌,菲仕绿能,菲仕绿能,菲仕绿能,菲仕绿能,菲仕绿能,菲仕绿能
电动机,后电动机型号,TZ190XSAP5,TZ190XSAP5,TZ190XSAP5,TZ190XSAP5,TZ190XSAP5,TZ190XSAP5
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),202,202,202,202,202,202
电动机,电动机总马力(Ps),275,275,275,275,275,275
电动机,电动机总扭矩(N·m),300,300,300,300,300,300
电动机,后电动机最大功率(kW),202,202,202,202,202,202
电动机,后电动机最大扭矩(N·m),300,300,300,300,300,300
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 瑞浦兰钧,● 宁德时代,● 宁德时代,● 宁德时代,● 亿纬锂能,● 亿纬锂能
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),178,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),240,565,565,565,650,650
电池/充电,CLTC综合续航(km),1765,-,-,-,-,-
电池/充电,电池能量(kWh),27.8,59.04,59.04,59.04,70.5,70.5
电池/充电,百公里耗电量(kWh/100km),13.1,11.4,11.4,11.4,11.4,11.4
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,-,-,-,-,支持,支持
电池/充电,高压平台（V）,400,400,400,400,800,800
电池/充电,电池快充时间(分钟),20,20,20,20,8,8
电池/充电,电池快充时间(小时),0.33,0.33,0.33,0.33,0.13,0.13
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),5,10,10,10,12,12
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 225/55 R18
○ 245/45 R19",● 225/55 R18,"● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19"
车轮制动,后轮胎规格,"● 225/55 R18
○ 245/45 R19",● 225/55 R18,"● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19"
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,-,-,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 主驾驶位,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,○,●,●,●,●
主动安全,主动刹车/主动安全系统,●,○,●,●,●,●
主动安全,疲劳驾驶提示,○,○,○,○,-,●
主动安全,DOW开门预警,●,○,●,●,●,●
主动安全,前方碰撞预警,●,○,●,●,●,●
主动安全,后方碰撞预警,●,○,●,●,●,●
主动安全,哨兵模式/千里眼,●,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,内置行车记录仪,●,-,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ○ /后 ●,前 ○ /后 ●,前 ○ /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,○,●,●,●,●
驾驶硬件,前方感知摄像头,"● 单目
○ 双目",○ 双目,"● 单目
○ 双目","● 单目
○ 双目",● 单目,● 双目
驾驶硬件,摄像头数量,"● 5个
○ 11个","● 1个
○ 11个","● 5个
○ 11个","● 5个
○ 11个",● 5个,● 11个
