セクション,項目,长安启源A06 2026款 510Pro,长安启源A06 2026款 510Max,长安启源A06 2026款 630Max,长安启源A06 2026款 630舒享Ultra,长安启源A06 2026款 630激光Ultra,长安启源A06 2026款 630激光Ultra+,长安启源A06 2026款 240Max,长安启源A06 2026款 240激光Ultra
,厂商指导价(元),10.99万 计算器,11.99万 计算器,12.99万 计算器,13.99万 计算器,13.99万 计算器,14.99万 计算器,11.99万 计算器,12.99万 计算器
,经销商报价,10.99万起,11.99万起,12.99万起,13.99万起,13.99万起,14.99万起,11.99万起,12.99万起
基本参数,厂商,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式
基本参数,环保标准,-,-,-,-,-,-,国VI,国VI
基本参数,上市时间,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11
基本参数,WLTC纯电续航里程(km),-,-,-,-,-,-,180,180
基本参数,CLTC纯电续航里程(km),510,510,630,630,630,630,240,240
基本参数,电池快充时间(小时),0.15,0.15,0.15,0.15,0.15,0.15,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),120,120,210,210,210,210,120,120
基本参数,最大扭矩(N·m),190,190,290,290,290,290,190,190
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程器 98马力,增程器 98马力
基本参数,电动机(Ps),163,163,286,286,286,286,163,163
基本参数,长*宽*高(mm),4885*1916*1496,4885*1916*1496,4885*1916*1496,4885*1916*1496,4885*1916*1496,4885*1916*1496,4885*1916*1496,4885*1916*1496
基本参数,官方0-100km/h加速(s),-,-,6.2,6.2,6.2,6.2,-,-
基本参数,官方0-50km/h加速(s),-,-,2.78,2.78,2.78,2.78,-,-
基本参数,最高车速(km/h),160,160,188,188,188,188,160,160
