セクション,セクション_ja,項目,項目_ja,2026年モデル Max版 55kWh,2026年モデル Max版 70kWh,2026年モデル Ultra版 55kWh,2026年モデル Ultra版 70kWh,2026年モデル Ultra+版 55kWh,2026年モデル Ultra+版 70kWh,2026年モデル 曜影 70kWh
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"35.68万元（日本円 約7,492,800円）","37.18万元（日本円 約7,807,800円）","37.68万元（日本円 約7,912,800円）","39.18万元（日本円 約8,227,800円）","41.18万元（日本円 約8,647,800円）","42.68万元（日本円 約8,962,800円）","50.08万元（日本円 約10,516,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,ジークリ,ジークリ,ジークリ,ジークリ,ジークリ,ジークリ,ジークリ
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),257,328,256,328,256,328,268
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),320,410,318,410,318,410,330
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.15,0.15,0.15,0.15,0.15,0.15,0.15
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4,2.0T 279馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),898,898,898,898,898,898,1401
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5100×1998×1780（mm）,5100×1998×1780（mm）,5100×1998×1780（mm）,5100×1998×1780（mm）,5100×1998×1780（mm）,5100×1998×1780（mm）,5108×2026×1780（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),3.7,3.7,3.7,3.7,3.7,3.7,2.96
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),220,220,220,220,220,220,230
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.41,0.31,0.41,0.31,0.41,0.31,0.44
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,6.43,6.49,6.45,6.49,6.45,6.49,7.45
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.89,2.83,2.91,2.83,2.91,2.83,3.45
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2660,2730,2730,2790,2730,2790,2870
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3250,3370,3300,3370,3300,3370,3370
