セクション,項目,东风风神L8 2026款 112KM超想版,东风风神L8 2026款 160KM畅连版,东风风神L8 2026款 160KM云翼版,东风风神L8 2025款 112KM理想版,东风风神L8 2025款 112KM梦想版,东风风神L8 2025款 185KM理想版,东风风神L8 2025款 185KM梦想版
,厂商指导价(元),23.99万 计算器,16.98万 计算器,25.99万 计算器,12.99万 计算器,14.19万 计算器,13.99万 计算器,14.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-17,2026-05-27,2026-05-09,2025-08-29,2025-08-29,2025-08-29,2025-08-29
基本参数,WLTC纯电续航里程(km),82,125,125,82,82,142,142
基本参数,CLTC纯电续航里程(km),112,160,160,112,112,185,185
基本参数,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3,0.3,0.3
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
基本参数,最大功率(kW),265,265,265,265,265,265,265
基本参数,最大扭矩(N·m),615,615,615,615,615,615,615
基本参数,变速箱,4挡DHT,4挡DHT,4挡DHT,4挡DHT,4挡DHT,4挡DHT,4挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4
基本参数,电动机(Ps),136,136,136,136,136,136,136
基本参数,长*宽*高(mm),4762*1910*1677,4762*1910*1677,4762*1910*1677,4762*1910*1677,4762*1910*1677,4762*1910*1677,4762*1910*1677
