セクション,項目,领克10 2025款 120四驱Ultra H5,领克10 2025款 240四驱Ultra H5,领克10 2025款 240四驱Ultra运动版 H7,领克10 2025款 120四驱Halo,领克10 2025款 120四驱Ultra,领克10 2025款 240四驱Ultra,领克10 2025款 240四驱Ultra运动版,领克10 2026款 纯电 两驱长续航,领克10 2026款 纯电 四驱10+
,厂商指导价(元),17.58万 计算器,18.98万 计算器,21.18万 计算器,17.38万 计算器,18.18万 计算器,19.58万 计算器,21.18万 计算器,预售,预售
,经销商报价,16.58万起,17.98万起,20.18万起,16.38万起,17.18万起,18.58万起,20.18万起,暂无报价,25.00万起
基本参数,厂商,领克,领克,领克,领克,领克,领克,领克,领克,领克
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-
基本参数,上市时间,2025-12-10,2025-12-10,2025-12-10,2025-09-08,2025-09-08,2025-09-08,2025-09-08,-,-
基本参数,WLTC纯电续航里程(km),100,192,192,100,100,192,192,-,-
基本参数,CLTC纯电续航里程(km),120,240,240,120,120,240,240,-,-
基本参数,电池快充时间(小时),0.3,0.25,0.25,0.3,0.3,0.25,0.25,-,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-
基本参数,最大功率(kW),390,390,390,390,390,390,390,370,680
基本参数,最大扭矩(N·m),755,755,755,755,755,755,755,-,-
基本参数,变速箱,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,纯电动,纯电动
基本参数,电动机(Ps),367,367,367,367,367,367,367,503,925
基本参数,长*宽*高(mm),5050*1966*1487,5050*1966*1487,5050*1966*1487,5050*1966*1487,5050*1966*1487,5050*1966*1487,5050*1966*1487,5050*1966*1468,5050*1966*1463
基本参数,官方0-100km/h加速(s),5.9,5.1,5.1,5.9,5.9,5.1,5.1,-,-
基本参数,最高车速(km/h),210,210,210,210,210,210,210,240,240
基本参数,WLTC综合油耗(L/100km),1.23,0.48,0.48,1.23,1.23,0.48,0.48,-,-
