セクション,項目,理想i6 2025款 两驱标准版,理想i6 2025款 四驱标准版,
,厂商指导价(元),24.98万 计算器,26.98万 计算器,–
,经销商报价,24.98万起,26.98万起,–
基本参数,厂商,理想汽车,理想汽车,–
基本参数,级别,中大型SUV,中大型SUV,–
基本参数,能源类型,纯电动,纯电动,–
基本参数,上市时间,2025-09-26,2025-09-26,–
基本参数,CLTC纯电续航里程(km),720,660,–
基本参数,电池快充时间(小时),0.18,0.18,–
基本参数,电池快充电量范围(%),10-80,10-80,–
基本参数,最大功率(kW),250,400,–
基本参数,最大扭矩(N·m),425,660,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,电动机(Ps),340,544,–
基本参数,长*宽*高(mm),4950*1935*1670,4950*1935*1670,–
基本参数,官方0-100km/h加速(s),6.5,4.5,–
基本参数,最高车速(km/h),180,180,–
基本参数,电能当量燃料消耗量(L/100km),1.58,1.72,–
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,–
基本参数,整备质量(kg),2380,2515,–
基本参数,最大满载质量(kg),2870,2990,–
基本参数,准拖挂车总质量(kg),500,500,–
车身,长度(mm),4950,4950,–
车身,宽度(mm),1935,1935,–
车身,高度(mm),1670,1670,–
车身,轴距(mm),3000,3000,–
车身,前轮距(mm),1653,1653,–
车身,后轮距(mm),1663,1663,–
车身,接近角(°),16,16,–
车身,离去角(°),18,18,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,后备厢容积(L),728,728,–
车身,风阻系数(Cd),-,-,–
电动机,前电动机品牌,-,巨一动力,–
电动机,后电动机品牌,理想驱动,理想驱动,–
电动机,前电动机型号,-,YS210XY103,–
电动机,后电动机型号,TZ220XYHP1,TZ220XYHP1,–
电动机,电机类型,永磁/同步,前感应/异步 后永磁/同步,–
电动机,电动机总功率(kW),250,400,–
电动机,电动机总马力(Ps),340,544,–
电动机,电动机总扭矩(N·m),425,660,–
电动机,前电动机最大功率(kW),-,150,–
电动机,前电动机最大扭矩(N·m),-,235,–
电动机,后电动机最大功率(kW),250,250,–
电动机,后电动机最大扭矩(N·m),425,425,–
电动机,驱动电机数,单电机,双电机,–
电动机,电机布局,后置,前置+后置,–
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,"● 宁德时代
● 欣旺达",● 宁德时代,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),720,660,–
电池/充电,电池能量(kWh),87.3,87.3,–
电池/充电,百公里耗电量(kWh/100km),13.6,14.8,–
电池/充电,快充功能,支持,支持,–
电池/充电,高压快充,支持,支持,–
电池/充电,高压平台（V）,800,800,–
电池/充电,电池快充时间(小时),0.18,0.18,–
电池/充电,电池快充电量范围(%),10-80,10-80,–
电池/充电,慢充接口位置,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,–
电池/充电,对外交流放电功率(kW),3.5,3.5,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 后置后驱,● 双电机四驱,–
底盘转向,四驱形式,-,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,"● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)",–
车轮制动,后轮胎规格,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21",–
车轮制动,备胎规格,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,前排中间气囊,●,●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,●,●,–
主动安全,DOW开门预警,●,●,–
主动安全,前方碰撞预警,●,●,–
主动安全,后方碰撞预警,●,●,–
主动安全,哨兵模式/千里眼,●,●,–
主动安全,低速行车警告,●,●,–
主动安全,内置行车记录仪,●,●,–
主动安全,道路救援呼叫,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地",–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,陡坡缓降,●,●,–
驾驶操控,可变悬架功能,"● 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
○ 悬架高低调节",–
驾驶操控,空气悬架,○ (1.50万元),○ (1.50万元),–
驾驶操控,空气悬挂类型,○ 双腔,○ 双腔,–
四驱/越野,拖挂钩,○ 手动 (3000元),○ 手动 (3000元),–
四驱/越野,拖车取电口,○,○,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",–
驾驶硬件,透明底盘/540度影像,●,●,–
驾驶硬件,辅助驾驶芯片,● 英伟达 Drive Thor-U,● 英伟达 Drive Thor-U,–
驾驶硬件,芯片总算力,● 700 TOPS,● 700 TOPS,–
驾驶硬件,前方感知摄像头,● 双目,● 双目,–
驾驶硬件,摄像头数量,● 11个,● 11个,–
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,–
驾驶硬件,环境感知摄像头像素,"● 800万
● 200万","● 800万
● 200万",–
驾驶硬件,环视摄像头像素,● 300万,● 300万,–
驾驶硬件,车内摄像头数量,● 2个,● 2个,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,–
驾驶硬件,毫米波雷达数量,● 1个,● 1个,–
驾驶硬件,激光雷达品牌,● HESAI禾赛科技,● HESAI禾赛科技,–
驾驶硬件,激光雷达型号,● ATL,● ATL,–
驾驶硬件,激光雷达数量,● 1个,● 1个,–
驾驶硬件,激光雷达线数,● 116线,● 116线,–
驾驶硬件,激光雷达10%反射率探测距离,● 200米,● 200米,–
驾驶硬件,激光雷达点云数量,● 173万/秒,● 173万/秒,–
驾驶硬件,前方最大探测距离,● 200米,● 200米,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● 理想AD Max,● 理想AD Max,–
驾驶功能,辅助驾驶等级,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,–
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,–
驾驶功能,并线辅助,●,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,车道居中保持,●,●,–
驾驶功能,道路交通标识识别,●,●,–
驾驶功能,辅助泊车入位,●,●,–
驾驶功能,遥控泊车,●,●,–
驾驶功能,记忆泊车,●,●,–
驾驶功能,辅助变道,●,●,–
驾驶功能,辅助匝道自动驶出(入),●,●,–
驾驶功能,信号灯识别,●,●,–
驾驶功能,方向盘离手检测,●,●,–
驾驶功能,起步提醒,●,●,–
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段",–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,电动吸合车门,○ 全车 (5000元),○ 全车 (5000元),–
外观/防盗,电动后备厢,●,●,–
外观/防盗,电动后备厢位置记忆,●,●,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,"● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙",–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,–
外观/防盗,隐藏电动门把手,●,●,–
