セクション,項目,星光730新能源 2026款 插混 125km 尊享型,星光730新能源 2026款 纯电 500km 尊享型,星光730新能源 2025款 插混 125km 豪华型,星光730新能源 2025款 纯电 500km 豪华型
,厂商指导价(元),11.18万 计算器,11.78万 计算器,10.38万 计算器,10.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV
基本参数,能源类型,插电式混合动力,纯电动,插电式混合动力,纯电动
基本参数,环保标准,国VI,-,国VI,-
基本参数,上市时间,2026-04-27,2026-04-27,2025-11-12,2025-11-12
基本参数,WLTC纯电续航里程(km),100,-,100,-
基本参数,CLTC纯电续航里程(km),125,500,125,500
基本参数,电池快充时间(小时),0.5,0.33,0.5,0.33
基本参数,电池慢充时间(小时),6.7,9.7,6.7,9.7
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100
基本参数,最大功率(kW),-,100,-,100
基本参数,最大扭矩(N·m),-,200,-,200
基本参数,变速箱,E-CVT无级变速,电动车单速变速箱,E-CVT无级变速,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,1.5L 106马力 L4,纯电动,1.5L 106马力 L4,纯电动
基本参数,电动机(Ps),197,136,197,136
基本参数,长*宽*高(mm),4910*1850*1770,4910*1850*1770,4910*1850*1770,4910*1850*1770
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,最高车速(km/h),170,160,170,160
基本参数,WLTC综合油耗(L/100km),1.83,-,1.83,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.3,-,5.3,-
基本参数,电能当量燃料消耗量(L/100km),-,1.58,-,1.58
基本参数,油电综合燃料消耗量(L/100km),3.71,-,3.71,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1818,1810,1818,1810
基本参数,最大满载质量(kg),2415,2405,2415,2405
车身,长度(mm),4910,4910,4910,4910
车身,宽度(mm),1850,1850,1850,1850
车身,高度(mm),1770,1770,1770,1770
车身,轴距(mm),2910,2910,2910,2910
车身,前轮距(mm),1570,1570,1570,1570
车身,后轮距(mm),1570,1570,1570,1570
车身,满载最小离地间隙(mm),150,150,150,150
车身,接近角(°),13,13,13,13
车身,离去角(°),18,18,18,18
车身,车身结构,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7
车身,油箱容积(L),52,-,52,-
车身,后备厢容积(L),-,-,-,-
车身,风阻系数(Cd),-,0.276,-,0.276
发动机,发动机型号,LBG,-,LBG,-
发动机,排量(mL),1498,-,1498,-
发动机,排量(L),1.5,-,1.5,-
发动机,进气形式,自然吸气,-,自然吸气,-
发动机,发动机布局,横置,-,横置,-
发动机,气缸排列形式,L,-,L,-
发动机,气缸数(个),4,-,4,-
发动机,每缸气门数(个),4,-,4,-
发动机,配气机构,DOHC,-,DOHC,-
发动机,最大马力(Ps),106,-,106,-
发动机,最大功率(kW),78,-,78,-
发动机,最大功率转速(rpm),5800,-,5800,-
发动机,最大扭矩(N·m),130,-,130,-
发动机,最大扭矩转速(rpm),4600-5000,-,4600-5000,-
发动机,最大净功率(kW),75,-,75,-
发动机,能源类型,插电式混合动力,纯电动,插电式混合动力,纯电动
发动机,燃油标号,92号,-,92号,-
发动机,供油方式,多点电喷,-,多点电喷,-
发动机,缸盖材料,铝合金,-,铝合金,-
发动机,缸体材料,铸铁,-,铸铁,-
发动机,环保标准,国VI,-,国VI,-
电动机,前电动机品牌,-,柳州赛克,-,柳州赛克
电动机,前电动机型号,-,TZ180XS2A0,-,TZ180XS2A0
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),145,100,145,100
电动机,电动机总马力(Ps),197,136,197,136
电动机,电动机总扭矩(N·m),230,200,230,200
电动机,前电动机最大功率(kW),145,100,145,100
电动机,前电动机最大扭矩(N·m),230,200,230,200
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 国轩高科
● 瑞浦赛克","● 瑞浦赛克
● 江苏正力","● 国轩高科
● 瑞浦赛克","● 瑞浦赛克
● 江苏正力"
电池/充电,电池特有技术,神炼电池,神炼电池,神炼电池,神炼电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),100,-,100,-
电池/充电,CLTC纯电续航里程(km),125,500,125,500
电池/充电,WLTC综合续航(km),1100,-,1100,-
电池/充电,电池能量(kWh),20.5,60,20.5,60
电池/充电,电池能量密度(Wh/kg),118,144,118,144
电池/充电,百公里耗电量(kWh/100km),16.2,13.6,16.2,13.6
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.5,0.33,0.5,0.33
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),6.7,9.7,6.7,9.7
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
变速箱,简称,E-CVT无级变速,电动车单速变速箱,E-CVT无级变速,电动车单速变速箱
变速箱,挡位个数,无级变速,1,无级变速,1
变速箱,变速箱类型,电子无级变速箱(E-CVT),固定齿比变速箱,电子无级变速箱(E-CVT),固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
