セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T 6MT 快適型,2025年モデル 1.5T CVT エリート型,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"7.30万元（日本円 約1,533,000円）","8.38万元（日本円 約1,759,800円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"7.10万元（日本円 約1,491,000円）","8.18万元（日本円 約1,717,800円）",–
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,–
基本参数,基本仕様,级别,クラス,コンパクトMPV,コンパクトMPV,–
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,–
基本参数,基本仕様,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,–
基本参数,基本仕様,上市时间,発売時期,2025-11-12,2025-11-12,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),130,130,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),260,290,–
基本参数,基本仕様,变速箱,トランスミッション,6速マニュアル,CVT無段変速,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,–
基本参数,基本仕様,发动机,エンジン,1.5T 177馬力 L4,1.5T 177馬力 L4,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4910×1850×1760mm,4910×1850×1770mm,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.99,7.49,–
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),1560,1610,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2140,2200,–
车身,車体,长度(mm),全長(mm),4910,4910,–
车身,車体,宽度(mm),全幅(mm),1850,1850,–
车身,車体,高度(mm),全高(mm),1760,1770,–
车身,車体,轴距(mm),ホイールベース(mm),2910,2910,–
车身,車体,前轮距(mm),前トレッド(mm),1570,1570,–
车身,車体,后轮距(mm),後トレッド(mm),1570,1570,–
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),142,150,–
车身,車体,接近角(°),アプローチアングル(°),13,13,–
车身,車体,离去角(°),デパーチャーアングル(°),18,18,–
车身,車体,车身结构,ボディ構造,MPV,MPV,–
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,–
车身,車体,车门数(个),ドア数(枚),● 5,● 5,–
车身,車体,座位数(个),乗車定員(名),● 7,● 7,–
车身,車体,油箱容积(L),燃料タンク容量(L),52,52,–
车身,車体,后备厢容积(L),トランク容量(L),-,-,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
发动机,エンジン,发动机型号,エンジン型式,LC4,LC4,–
发动机,エンジン,排量(mL),排気量(mL),1498,1498,–
发动机,エンジン,排量(L),排気量(L),1.5,1.5,–
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,–
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,–
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,–
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,–
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,–
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,–
发动机,エンジン,最大马力(Ps),最高出力(Ps),177,177,–
发动机,エンジン,最大功率(kW),最大出力(kW),130,130,–
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5200,5200,–
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),260,290,–
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1400-4000,1500-3500,–
发动机,エンジン,最大净功率(kW),最大出力(kW),125,125,–
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,–
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,–
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,–
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,–
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,–
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,–
变速箱,トランスミッション,简称,略称,6速マニュアル,CVT無段変速,–
变速箱,トランスミッション,挡位个数,段数,6,無段変速,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション（MT）,無段変速機（CVT）,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 手動サイドブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/55 R16タイヤ,● 215/55 R17タイヤ,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/55 R16タイヤ,● 215/55 R17タイヤ,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,前席● / 後席,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,"● スポーツ
● エコ
● 標準／快適",–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,-,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前輪／後輪●,前輪／後輪●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● 360度パノラマビューカメラ,–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,●,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 4個,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,–
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,● クルーズコントロール,–
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,–
驾驶功能,運転機能,辅助泊车入位,駐車アシスト機能,-,-,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側手動,"○ 右側電動
● 両側手動",–
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,–
