セクション,セクション_ja,項目,項目_ja,2026年モデル 460PLUS,2026年モデル 560MAX,2026年モデル 560MAX+,2026年モデル 535 PLUS バッテリー交換版,2026年モデル 535 MAX バッテリー交換版,2026年モデル 660ULTRA,2026年モデル 535 MAX+ バッテリー交換版,2026年モデル 660ULTRA+
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"8.48万元（日本円 約1,780,800円）","9.28万元（日本円 約1,948,800円）","9.98万元（日本円 約2,095,800円）","10.48万元（日本円 約2,200,800円）","10.98万元（日本円 約2,305,800円）","11.28万元（日本円 約2,368,800円）","11.68万元（日本円 約2,452,800円）","12.58万元（日本円 約2,641,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,基本仕様,级别,クラス,中型車,中型車,中型車,中型車,中型車,中型車,中型車,中型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),460,560,560,535,535,660,535,660
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.35,0.35,0.35,0.47,0.47,0.35,0.47,0.35
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),7.5,10,10,9,9,12,9,12
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),159,159,159,159,159,159,159,159
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),216,216,216,216,216,216,216,216
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4916×1900×1480,4916×1900×1480,4916×1900×1480,4916×1900×1480,4916×1900×1480,4916×1900×1480,4916×1900×1480,*-*
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.2,6.9,6.9,7.6,7.6,7.1,7.6,7.1
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),165,165,165,165,165,165,165,165
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.25,1.28,1.28,1.39,1.39,1.28,1.39,1.28
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1505,1640,1640,1620,1620,1700,1620,1700
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1925,2015,2015,2005,2005,2075,2005,2075
车身,車体,长度(mm),全長(mm),4916,4916,4916,4916,4916,4916,4916,-
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900,1900,-
车身,車体,高度(mm),全高(mm),1480,1480,1480,1480,1480,1480,1480,-
车身,車体,轴距(mm),ホイールベース(mm),2876,2876,2876,2876,2876,2876,2876,2876
车身,車体,前轮距(mm),前トレッド(mm),1650,1650,1650,1650,1650,1650,1650,-
车身,車体,后轮距(mm),後トレッド(mm),1655,1655,1655,1655,1655,1655,1655,-
车身,車体,最小离地间隙(mm),最低地上高(mm),127,129,129,127,127,129,127,-
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),578-1746,578-1746,578-1746,578-1746,578-1746,508-1676,578-1746,508-1676
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),159,159,159,159,159,159,159,159
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),216,216,216,216,216,216,216,216
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),250,250,250,250,250,250,250,250
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),159,159,159,159,159,159,159,159
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),250,250,250,250,250,250,250,250
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置,前置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● EVEエナジー
● ジューワン・インパイ","● EVEエナジー
● ジューワン・インパイ","● EVEエナジー
● ジューワン・インパイ",● CATL（寧徳時代）,● CATL（寧徳時代）,● CALB（中创新航）,● CATL（寧徳時代）,● CALB（中创新航）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,オーロラ電池,オーロラ電池,オーロラ電池,チョコレート交換式電池,チョコレート交換式電池,オーロラ電池,チョコレート交換式電池,オーロラ電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,空冷式,空冷式,液冷式,空冷式,液冷式
电池/充电,バッテリー/充電,换电,バッテリー交換対応,-,-,-,対応,対応,-,対応,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),460,560,560,535,535,660,535,660
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),44.1,55.6,55.6,54,54,65.8,54,65.8
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),131.59,133.56,133.56,130.12,130.12,142.54,130.12,142.54
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),10.8,11,11,12,12,11,12,11
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高電圧プラットフォーム(V),400,400,400,400,400,400,400,400
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.35,0.35,0.35,0.47,0.47,0.35,0.47,0.35
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),7.5,10,10,9,9,12,9,12
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクタ位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクタ位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機
