セクション,項目,红旗HS6 PHEV 2026款 145智混版,红旗HS6 PHEV 2026款 240智混版,红旗HS6 PHEV 2026款 220四驱智混版,
,厂商指导价(元),17.88万 计算器,19.88万 计算器,22.88万 计算器,–
,经销商报价,17.58万起,19.58万起,22.58万起,–
基本参数,厂商,一汽红旗,一汽红旗,一汽红旗,–
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,–
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2025-12-16,2025-12-16,2025-12-16,–
基本参数,NEDC纯电续航里程(km),140,235,210,–
基本参数,WLTC纯电续航里程(km),123,205,190,–
基本参数,CLTC纯电续航里程(km),148,248,225,–
基本参数,电池快充时间(小时),0.25,0.25,0.25,–
基本参数,电池慢充时间(小时),3.5,6,6,–
基本参数,电池快充电量范围(%),20-80,20-80,20-80,–
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,–
基本参数,最大功率(kW),168,168,369,–
基本参数,最大扭矩(N·m),340,340,646,–
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,–
基本参数,发动机,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,–
基本参数,电动机(Ps),228,228,502,–
基本参数,长*宽*高(mm),4925*1970*1740,4925*1970*1740,4925*1970*1740,–
基本参数,官方0-100km/h加速(s),7.9,8.3,4.8,–
基本参数,最高车速(km/h),205,205,205,–
基本参数,WLTC综合油耗(L/100km),0.83,0.4,0.5,–
基本参数,最低荷电状态油耗(L/100km)WLTC,5.1,5.4,5.9,–
基本参数,油电综合燃料消耗量(L/100km),2.86,2.59,2.80,–
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,–
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
基本参数,整备质量(kg),2040,2160,2285,–
基本参数,最大满载质量(kg),2490,2610,2735,–
车身,长度(mm),4925,4925,4925,–
车身,宽度(mm),1970,1970,1970,–
车身,高度(mm),1740,1740,1740,–
车身,轴距(mm),2925,2925,2925,–
车身,前轮距(mm),1692,1682,1682,–
车身,后轮距(mm),1681,1671,1671,–
车身,满载最小离地间隙(mm),165,165,165,–
车身,空载最小离地间隙(mm),188,188,188,–
车身,接近角(°),22,22,22,–
车身,离去角(°),25,25,25,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,油箱容积(L),60,60,60,–
车身,后备厢容积(L),503-1977,503-1977,503-1977,–
车身,风阻系数(Cd),0.32,0.32,0.32,–
发动机,发动机型号,CA4GB15TDH-36,CA4GB15TDH-36,CA4GB15TDH-36,–
发动机,排量(mL),1499,1499,1499,–
发动机,排量(L),1.5,1.5,1.5,–
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,压缩比,13.5,13.5,13.5,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),150,150,150,–
发动机,最大功率(kW),110,110,110,–
发动机,最大功率转速(rpm),-,-,-,–
发动机,最大扭矩(N·m),225,225,225,–
发动机,最大扭矩转速(rpm),-,-,-,–
发动机,最大净功率(kW),105,105,105,–
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
发动机,燃油标号,92号,92号,92号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
电动机,前电动机型号,CAM220PT20,CAM220PT20,CAM220PT20,–
电动机,后电动机型号,-,-,CAM190PT8,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),168,168,369,–
电动机,电动机总马力(Ps),228,228,502,–
电动机,电动机总扭矩(N·m),340,340,646,–
电动机,前电动机最大功率(kW),168,168,168,–
电动机,前电动机最大扭矩(N·m),340,340,340,–
电动机,后电动机最大功率(kW),-,-,201,–
电动机,后电动机最大扭矩(N·m),-,-,306,–
电动机,系统综合功率(kW),168,168,369,–
电动机,系统综合功率(Ps),228,228,502,–
电动机,系统综合扭矩(N·m),340,340,646,–
电动机,驱动电机数,单电机,单电机,双电机,–
电动机,电机布局,前置,前置,前置+后置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 江苏正力,● 江苏正力,● 江苏正力,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,NEDC纯电续航里程(km),140,235,210,–
电池/充电,WLTC纯电续航里程(km),123,205,190,–
电池/充电,CLTC纯电续航里程(km),148,248,225,–
电池/充电,WLTC综合续航(km),1300,1350,1200,–
电池/充电,CLTC综合续航(km),1580,1650,1460,–
电池/充电,电池能量(kWh),23,40,40,–
电池/充电,百公里耗电量(kWh/100km),17.5,18.9,19.8,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,快充功率(kW),50,80,80,–
电池/充电,电池快充时间(小时),0.25,0.25,0.25,–
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,–
电池/充电,电池慢充时间(小时),3.5,6,6,–
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,–
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,–
底盘转向,四驱形式,-,-,● 电动四驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 235/60 R18,● 255/45 R20,● 255/45 R20,–
车轮制动,后轮胎规格,● 235/60 R18,● 255/45 R20,● 255/45 R20,–
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
被动安全,前排中间气囊,●,●,●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,–
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
