セクション,項目,尚界H5 2026款 增程 Pro,尚界H5 2026款 增程 Max+,尚界H5 2026款 纯电 Pro,尚界H5 2026款 纯电 Max+,尚界H5 2026款 纯电 Pro 长续航,尚界H5 2026款 纯电 Max+ 长续航,尚界H5 2025款 增程 Pro,尚界H5 2025款 纯电 Pro,尚界H5 2025款 纯电 Pro 长续航,尚界H5 2025款 增程 Max,尚界H5 2025款 纯电 Max,尚界H5 2025款 纯电 Max 长续航
,厂商指导价(元),15.98万 计算器,17.98万 计算器,16.58万 计算器,18.58万 计算器,17.98万 计算器,19.98万 计算器,15.98万 计算器,16.58万 计算器,17.98万 计算器,17.98万 计算器,18.58万 计算器,19.98万 计算器
,经销商报价,15.98万起,17.98万起,16.58万起,18.58万起,17.98万起,19.98万起,15.98万起,16.58万起,17.98万起,17.98万起,18.58万起,19.98万起
基本参数,厂商,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,增程式,增程式,纯电动,纯电动,纯电动,纯电动,增程式,纯电动,纯电动,增程式,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-,-,-,国VI,-,-,国VI,-,-
基本参数,上市时间,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2025-09-23,2025-09-23,2025-09-23,2025-09-23,2025-09-23,2025-09-23
基本参数,WLTC纯电续航里程(km),200,200,-,-,-,-,200,-,-,200,-,-
基本参数,CLTC纯电续航里程(km),235,235,535,525,655,640,235,535,655,235,525,640
基本参数,最大功率(kW),150,150,150,150,180,180,150,150,180,150,150,180
基本参数,最大扭矩(N·m),350,350,350,350,350,350,350,350,350,350,350,350
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 98马力,增程器 98马力,纯电动,纯电动,纯电动,纯电动,增程器 98马力,纯电动,纯电动,增程器 98马力,纯电动,纯电动
基本参数,电动机(Ps),204,204,204,204,245,245,204,204,245,204,204,245
基本参数,长*宽*高(mm),4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657,4780*1910*1657
基本参数,官方0-100km/h加速(s),7.8,7.8,7.9,7.9,7.3,7.3,7.8,7.9,7.3,7.8,7.9,7.3
基本参数,官方100-0km/h制动(m),35.12,35.12,35.12,35.12,35.12,35.12,35.12,35.12,35.12,35.12,35.12,35.12
基本参数,最高车速(km/h),180,180,190,190,200,200,180,190,200,180,190,200
基本参数,WLTC综合油耗(L/100km),0.62,0.62,-,-,-,-,0.62,-,-,0.62,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.19,5.19,-,-,-,-,5.19,-,-,5.19,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,4.44,4.44,-,-,-,-,4.44,-,-,4.44,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,1.57,1.59,1.56,1.58,-,1.57,1.56,-,1.59,1.58
基本参数,油电综合燃料消耗量(L/100km),2.62,2.62,-,-,-,-,2.62,-,-,2.62,-,-
