セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Pro,2025年モデル 増程 Max,2025年モデル 純電 Pro,2025年モデル 純電 Max,2025年モデル 純電 Pro ロングレンジ,2025年モデル 純電 Max ロングレンジ
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.98万元（日本円 約3,355,800円）","17.98万元（日本円 約3,775,800円）","16.58万元（日本円 約3,481,800円）","18.58万元（日本円 約3,901,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界,SAIC 尚界
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025-09-23,2025-09-23,2025-09-23,2025-09-23,2025-09-23,2025-09-23
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),200,200,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),235,235,535,525,655,640
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,150,150,180,180
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),350,350,350,350,350,350
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,純電動,純電動,純電動,純電動
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),204,204,204,204,245,245
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4780×1910×1657（mm）,4780×1910×1657（mm）,4780×1910×1657（mm）,4780×1910×1657（mm）,4780×1910×1657（mm）,4780×1910×1657（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.8,7.8,7.9,7.9,7.3,7.3
基本参数,基本仕様,官方100-0km/h制动(m),公式100-0km/h制動距離(m),35.12,35.12,35.12,35.12,35.12,35.12
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,190,190,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.62,0.62,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,5.19,5.19,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,4.44,4.44,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,1.57,1.59,1.56,1.58
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.62,2.62,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2000,2000,1985,1985,1960,1960
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2410,2410,2395,2395,2370,2370
车身,車体,长度(mm),全長(mm),4780,4780,4780,4780,4780,4780
车身,車体,宽度(mm),全幅(mm),1910,1910,1910,1910,1910,1910
车身,車体,高度(mm),全高(mm),1657,1657,1657,1657,1657,1657
车身,車体,轴距(mm),ホイールベース(mm),2840,2840,2840,2840,2840,2840
车身,車体,前轮距(mm),前トレッド(mm),1623,1623,1622,1622,1622,1622
车身,車体,后轮距(mm),後トレッド(mm),1612,1612,1612,1612,1612,1612
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.4,5.4,5.4,5.4
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,124,124,124,124
车身,車体,后备厢容积(L),リアトランク容量(L),593-1829,593-1829,601-1837,601-1837,601-1837,601-1837
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,15FMCプラットフォーム,15FMCプラットフォーム,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1498,1498,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),98,98,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),72,72,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力(kW),70,70,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタンガソリン,92オクタンガソリン,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,-,-,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,上海自動車,上海自動車,上海自動車,上海自動車,上海自動車,上海自動車
电动机,モーター,后电动机型号,後モーター型式,TZ204XS1352（型式）,TZ204XS1352（型式）,TZ204XS1352（型式）,TZ204XS1352（型式）,TZ204XS1352（型式）,TZ204XS1352（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),150,150,150,150,180,180
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),204,204,204,204,245,245
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),350,350,350,350,350,350
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),150,150,150,150,180,180
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),350,350,350,350,350,350
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),200,200,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),235,235,535,525,655,640
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1165,1165,-,-,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1360,1360,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),32.6,32.6,64.6,64.6,80,80
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),17.2,17.2,13.5,13.7,13.4,13.6
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高電圧プラットフォーム（V）,400,400,400,400,400,400
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクタ位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクタ位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/55 R19
○ 245/50 R20（5000元追加）","● 235/55 R19
○ 245/50 R20（5000元追加）","● 235/55 R19
○ 245/50 R20（5000元追加）","● 235/55 R19
○ 245/50 R20（5000元追加）","● 235/55 R19
○ 245/50 R20（5000元追加）","● 235/55 R19
○ 245/50 R20（5000元追加）"
