セクション,項目,星途ET5 2026款 210舒享版,星途ET5 2026款 210激光雷达智尊版,
,厂商指导价(元),14.49万 计算器,16.49万 计算器,–
,经销商报价,13.49万起,15.49万起,–
基本参数,厂商,星途,星途,–
基本参数,级别,中型SUV,中型SUV,–
基本参数,能源类型,增程式,增程式,–
基本参数,环保标准,国VI,国VI,–
基本参数,上市时间,2025-11-28,2025-11-28,–
基本参数,WLTC纯电续航里程(km),165,165,–
基本参数,CLTC纯电续航里程(km),210,210,–
基本参数,电池快充时间(小时),0.25,0.25,–
基本参数,电池快充电量范围(%),30-80,30-80,–
基本参数,最大功率(kW),195,195,–
基本参数,最大扭矩(N·m),324,324,–
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,发动机,增程器 156马力,增程器 156马力,–
基本参数,电动机(Ps),265,265,–
基本参数,长*宽*高(mm),4780*1890*1720,4780*1890*1720,–
基本参数,官方0-100km/h加速(s),7.6,7.6,–
基本参数,最高车速(km/h),200,200,–
基本参数,WLTC综合油耗(L/100km),0.59,0.59,–
基本参数,最低荷电状态油耗(L/100km)WLTC,5.8,5.8,–
基本参数,油电综合燃料消耗量(L/100km),2.85,2.85,–
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,–
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
基本参数,整备质量(kg),2065,2065,–
基本参数,最大满载质量(kg),2505,2505,–
车身,长度(mm),4780,4780,–
车身,宽度(mm),1890,1890,–
车身,高度(mm),1720,1720,–
车身,轴距(mm),2800,2800,–
车身,前轮距(mm),1624,1624,–
车身,后轮距(mm),1624,1624,–
车身,接近角(°),18,18,–
车身,离去角(°),20,20,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,后备厢容积(L),476,476,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,SQRH4J15,SQRH4J15,–
发动机,排量(mL),1499,1499,–
发动机,排量(L),1.5,1.5,–
发动机,进气形式,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,–
发动机,气缸排列形式,L,L,–
发动机,气缸数(个),4,4,–
发动机,每缸气门数(个),4,4,–
发动机,配气机构,DOHC,DOHC,–
发动机,最大马力(Ps),156,156,–
发动机,最大功率(kW),115,115,–
发动机,最大功率转速(rpm),-,-,–
发动机,最大扭矩(N·m),-,-,–
发动机,最大扭矩转速(rpm),-,-,–
发动机,最大净功率(kW),105,105,–
发动机,能源类型,增程式,增程式,–
发动机,燃油标号,92号,92号,–
发动机,供油方式,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),195,195,–
电动机,电动机总马力(Ps),265,265,–
电动机,电动机总扭矩(N·m),324,324,–
电动机,后电动机最大功率(kW),195,195,–
电动机,后电动机最大扭矩(N·m),324,324,–
电动机,驱动电机数,单电机,单电机,–
电动机,电机布局,后置,后置,–
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),165,165,–
电池/充电,CLTC纯电续航里程(km),210,210,–
电池/充电,WLTC综合续航(km),1145,1145,–
电池/充电,CLTC综合续航(km),1310,1310,–
电池/充电,电池能量(kWh),32.66,32.66,–
电池/充电,百公里耗电量(kWh/100km),19.5,19.5,–
电池/充电,快充功能,支持,支持,–
电池/充电,电池快充时间(小时),0.25,0.25,–
电池/充电,电池快充电量范围(%),30-80,30-80,–
电池/充电,慢充接口位置,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,–
电池/充电,对外交流放电功率(kW),6.6,6.6,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 后置后驱,● 后置后驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 235/50 R19,"● 235/50 R19
○ 245/45 R20",–
车轮制动,后轮胎规格,● 235/50 R19,"● 235/50 R19
○ 245/45 R20",–
车轮制动,备胎规格,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,膝部气囊,-,● 主驾膝部气囊,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,-,●,–
主动安全,DOW开门预警,-,●,–
主动安全,前方碰撞预警,●,●,–
主动安全,后方碰撞预警,-,●,–
主动安全,哨兵模式/千里眼,●,●,–
主动安全,低速行车警告,●,●,–
主动安全,内置行车记录仪,●,●,–
主动安全,道路救援呼叫,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,陡坡缓降,●,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,–
驾驶硬件,辅助驾驶芯片,-,● 地平线征程6P,–
驾驶硬件,芯片总算力,-,● 560 TOPS,–
驾驶硬件,前方感知摄像头,● 单目,● 双目,–
驾驶硬件,摄像头数量,● 5个,● 11个,–
驾驶硬件,车内摄像头数量,-,● 1个,–
驾驶硬件,超声波雷达数量,● 4个,● 12个,–
驾驶硬件,毫米波雷达数量,-,● 3个,–
驾驶硬件,激光雷达数量,-,● 1个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● 猎鹰200,● 猎鹰700,–
驾驶功能,辅助驾驶等级,● L2,● L2,–
驾驶功能,倒车车侧预警系统,-,●,–
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,–
驾驶功能,并线辅助,-,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,车道居中保持,●,●,–
驾驶功能,道路交通标识识别,-,●,–
驾驶功能,辅助泊车入位,-,●,–
驾驶功能,遥控泊车,-,●,–
驾驶功能,记忆泊车,-,●,–
驾驶功能,辅助变道,-,●,–
驾驶功能,辅助匝道自动驶出(入),-,●,–
驾驶功能,信号灯识别,●,●,–
