セクション,項目,银河星耀6 2026款 60km自在版,银河星耀6 2026款 60km启航版,银河星耀6 2026款 60km探索版,银河星耀6 2026款 125km自在版,银河星耀6 2026款 125km远航版,银河星耀6 2026款 125km探索+版,银河星耀6 2026款 125km星舰版,银河星耀6 2026款 130km公务版
,厂商指导价(元),7.48万 计算器,7.78万 计算器,8.58万 计算器,8.58万 计算器,8.98万 计算器,9.58万 计算器,10.58万 计算器,12.08万 计算器
,经销商报价,6.68万起,7.18万起,7.98万起,7.98万起,8.38万起,8.98万起,9.98万起,11.48万起
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-10-30,2025-10-30,2025-10-30,2025-10-30,2025-10-30,2025-10-30,2025-10-30,2026-04-10
基本参数,WLTC纯电续航里程(km),50,50,50,100,100,100,100,-
基本参数,CLTC纯电续航里程(km),60,60,60,125,125,125,125,130
基本参数,电池快充时间(小时),-,-,-,0.33,0.33,0.33,0.33,0.33
基本参数,电池快充电量范围(%),-,-,-,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 126马力 L4
基本参数,电动机(Ps),163,163,163,163,163,163,163,163
基本参数,长*宽*高(mm),4806 *1886 *1490,4806 *1886 *1490,4806 *1886 *1490,4806 *1886 *1490,4806 *1886 *1490,4806 *1886 *1490,4806 *1886 *1490,4806 *1886 *1490
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.33,1.33,1.33,1.05,1.05,1.05,1.05,-
基本参数,最低荷电状态油耗(L/100km)WLTC,3.75,3.75,3.75,3.85,3.85,3.85,3.85,-
基本参数,最低荷电状态油耗(L/100km)CLTC,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3.35
基本参数,油电综合燃料消耗量(L/100km),2.61,2.61,2.61,2.45,2.45,2.45,2.45,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1505,1505,1505,1580,1580,1580,1580,1600
基本参数,最大满载质量(kg),1920,1920,1920,1960,1960,1960,1960,1995
车身,长度(mm),4806,4806,4806,4806,4806,4806,4806,4806
车身,宽度(mm),1886,1886,1886,1886,1886,1886,1886,1886
车身,高度(mm),1490,1490,1490,1490,1490,1490,1490,1490
车身,轴距(mm),2756,2756,2756,2756,2756,2756,2756,2756
车身,前轮距(mm),1620,1620,1620,1620,1620,1620,1620,1620
车身,后轮距(mm),1620,1620,1620,1620,1620,1620,1620,1620
车身,接近角(°),14,14,14,14,14,14,14,14
车身,离去角(°),15,15,15,15,15,15,15,15
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),52,52,52,52,52,52,52,70
车身,后备厢容积(L),609,609,609,609,609,609,609,609
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFDM
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),112,112,112,112,112,112,112,126
发动机,最大功率(kW),82,82,82,82,82,82,82,93
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,-
发动机,最大扭矩(N·m),136,136,136,136,136,136,136,170
发动机,最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,-
发动机,最大净功率(kW),79,79,79,79,79,79,79,90
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
