セクション,項目,锐胜M8新能源 2026款 增程版 180尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 9座,锐胜M8新能源 2026款 增程版 230尊贵型 7座,锐胜M8新能源 2026款 增程版 230中级营运 7座,锐胜M8新能源 2026款 增程版 230中级营运 9座,锐胜M8新能源 2026款 增程版 230高级营运 7座,锐胜M8新能源 2026款 增程版 230高级营运 9座,锐胜M8新能源 2026款 增程版 230旗舰型 7座,锐胜M8新能源 2026款 增程版 230高级营运旗舰型 7座,锐胜M8新能源 2026款 增程版 230行政版 7座,锐胜M8新能源 2026款 纯电版 505尊享型 7座,锐胜M8新能源 2026款 纯电版 505尊享型 9座,锐胜M8新能源 2026款 纯电版 505中级营运 7座,锐胜M8新能源 2026款 纯电版 560尊享型 7座,锐胜M8新能源 2026款 纯电版 505中级营运 9座,锐胜M8新能源 2026款 纯电版 560尊享型 9座,锐胜M8新能源 2026款 纯电版 560中级营运 7座,锐胜M8新能源 2026款 纯电版 560中级营运 9座,锐胜M8新能源 2026款 纯电版 560高级营运 7座,锐胜M8新能源 2026款 纯电版 560尊贵型 7座,锐胜M8新能源 2026款 纯电版 560高级营运 9座,锐胜M8新能源 2026款 纯电版 560旗舰型 7座,锐胜M8新能源 2026款 纯电版 560高级营运旗舰型 7座,锐胜M8新能源 2026款 纯电版 560行政版 7座,锐胜M8新能源 2026款 改款 纯电版 505盛航版 7座,锐胜M8新能源 2026款 纯电版 505盛航版 7座
,厂商指导价(元),15.98万 计算器,16.98万 计算器,17.28万 计算器,18.58万 计算器,18.98万 计算器,19.28万 计算器,19.48万 计算器,19.78万 计算器,19.98万 计算器,21.98万 计算器,23.98万 计算器,18.98万 计算器,19.28万 计算器,19.98万 计算器,19.98万 计算器,20.28万 计算器,20.28万 计算器,20.98万 计算器,21.28万 计算器,21.48万 计算器,21.58万 计算器,21.78万 计算器,22.98万 计算器,23.98万 计算器,26.98万 计算器,27.98万 计算器,24.98万 计算器
,经销商报价,15.98万起,16.98万起,17.28万起,18.58万起,18.98万起,19.28万起,19.48万起,19.78万起,19.98万起,21.98万起,23.98万起,18.98万起,19.28万起,19.98万起,19.98万起,20.28万起,20.28万起,20.98万起,21.28万起,21.48万起,21.58万起,21.78万起,22.98万起,23.98万起,26.98万起,27.98万起,24.98万起
基本参数,厂商,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,上市时间,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2026-04-14,2026-03-17
基本参数,CLTC纯电续航里程(km),180,230,230,230,230,230,230,230,230,230,230,505,505,505,560,505,560,560,560,560,560,560,560,560,560,505,505
基本参数,电池快充时间(小时),0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.3,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.8
基本参数,电池慢充时间(小时),4.2,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,9.2,9.2,9.2,-,9.2,-,-,-,-,-,-,-,-,-,9.2,9.2
