セクション,項目,星光560 2026款 1.5T 6MT 舒适型,星光560 2026款 1.5T CVT 精英型,
,厂商指导价(元),6.28万 计算器,7.58万 计算器,–
,经销商报价,5.98万起,7.28万起,–
基本参数,厂商,上汽通用五菱,上汽通用五菱,–
基本参数,级别,紧凑型SUV,紧凑型SUV,–
基本参数,能源类型,汽油,汽油,–
基本参数,环保标准,国VI,国VI,–
基本参数,上市时间,2026-01-15,2026-01-15,–
基本参数,最大功率(kW),130,130,–
基本参数,最大扭矩(N·m),260,290,–
基本参数,变速箱,6挡手动,CVT无级变速,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,发动机,1.5T 177马力 L4,1.5T 177马力 L4,–
基本参数,长*宽*高(mm),4745*1850*1755,4745*1850*1755,–
基本参数,官方0-100km/h加速(s),-,-,–
基本参数,最高车速(km/h),180,180,–
基本参数,WLTC综合油耗(L/100km),6.99,7.58,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,–
基本参数,整备质量(kg),1445,1520,–
基本参数,最大满载质量(kg),1900,1960,–
车身,长度(mm),4745,4745,–
车身,宽度(mm),1850,1850,–
车身,高度(mm),1755,1755,–
车身,轴距(mm),2810,2810,–
车身,前轮距(mm),1570,1570,–
车身,后轮距(mm),1570,1570,–
车身,满载最小离地间隙(mm),160,160,–
车身,接近角(°),17,17,–
车身,离去角(°),22,22,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,油箱容积(L),52,52,–
车身,后备厢容积(L),-,-,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,LC4,LC4,–
发动机,排量(mL),1498,1498,–
发动机,排量(L),1.5,1.5,–
发动机,进气形式,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,–
发动机,气缸排列形式,L,L,–
发动机,气缸数(个),4,4,–
发动机,每缸气门数(个),4,4,–
发动机,配气机构,DOHC,DOHC,–
发动机,最大马力(Ps),177,177,–
发动机,最大功率(kW),130,130,–
发动机,最大功率转速(rpm),5200,5200,–
发动机,最大扭矩(N·m),260,290,–
发动机,最大扭矩转速(rpm),1400-4000,1500-3500,–
发动机,最大净功率(kW),125,125,–
发动机,能源类型,汽油,汽油,–
发动机,燃油标号,92号,92号,–
发动机,供油方式,多点电喷,多点电喷,–
发动机,缸盖材料,铝合金,铝合金,–
发动机,缸体材料,铸铁,铸铁,–
发动机,环保标准,国VI,国VI,–
变速箱,简称,6挡手动,CVT无级变速,–
变速箱,挡位个数,6,无级变速,–
变速箱,变速箱类型,手动变速箱(MT),无级变速箱(CVT),–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 手刹,● 电子驻车,–
车轮制动,前轮胎规格,● 215/55 R18,● 215/55 R18,–
车轮制动,后轮胎规格,● 215/55 R18,● 215/55 R18,–
车轮制动,备胎规格,● 补胎工具,● 非全尺寸,–
车轮制动,备胎放置方式,-,● 底挂式,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),-,-,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),-,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),-,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),-,●,–
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,–
主动安全,安全带未系提醒,● 主驾驶位,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,-,-,–
主动安全,主动刹车/主动安全系统,-,-,–
主动安全,疲劳驾驶提示,-,-,–
驾驶操控,驾驶模式切换,-,"● 运动
● 经济
● 标准/舒适",–
驾驶操控,自动驻车,-,●,–
驾驶操控,上坡辅助,-,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,–
驾驶硬件,驾驶辅助影像,-,● 倒车影像,–
驾驶硬件,摄像头数量,-,● 1个,–
驾驶硬件,超声波雷达数量,● 4个,● 4个,–
驾驶功能,巡航系统,-,● 定速巡航,–
驾驶功能,卫星导航系统,-,-,–
驾驶功能,导航路况信息显示,-,-,–
驾驶功能,并线辅助,-,-,–
驾驶功能,车道保持辅助系统,-,-,–
驾驶功能,辅助泊车入位,-,-,–
外观/防盗,轮圈材质,● 钢,● 铝合金,–
外观/防盗,车顶行李架,-,●,–
外观/防盗,发动机电子防盗,●,●,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,-,●,–
外观/防盗,无钥匙进入功能,-,● 前排,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,LED日间行车灯,-,●,–
车外灯光,自适应远近光,-,-,–
车外灯光,自动头灯,-,●,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,-,-,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,车内化妆镜,-,-,–
天窗/玻璃,后雨刷,-,●,–
天窗/玻璃,感应雨刷功能,-,●,–
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 后视镜加热",–
屏幕/系统,中控彩色屏幕,-,● 触控液晶屏,–
屏幕/系统,中控屏幕尺寸,-,● 12.8英寸,–
屏幕/系统,蓝牙/车载电话,●,●,–
屏幕/系统,手机互联/映射,-,"● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink",–
屏幕/系统,语音识别控制系统,-,-,–
智能化配置,车联网,-,-,–
智能化配置,OTA升级,-,-,–
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,–
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,–
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,–
方向盘/内后视镜,多功能方向盘,-,●,–
方向盘/内后视镜,方向盘加热,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,–
