セクション,セクション_ja,項目,項目_ja,2026年モデル 増程式 15854WD Max,2026年モデル 増程式 15854WD Ultra SE,2026年モデル 増程式 15854WD Ultra,2026年モデル 増程式 15854WD Ultra 旗艦版,2026年モデル 純電動 665 Max,2026年モデル 純電動 665 Ultra SE,2026年モデル 純電動 665 Ultra,2026年モデル 純電動 750 4WD Ultra 旗艦版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"28.98万元（日本円 約6,085,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","35.98万元（日本円 約7,555,800円）","27.98万元（日本円 約5,875,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","35.98万元（日本円 約7,555,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),320,320,320,320,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),430,430,430,430,665,665,665,750
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),370,370,370,370,270,270,270,430
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),695,695,695,695,465,465,465,695
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 150馬力,レンジエクステンダー 150馬力,レンジエクステンダー 150馬力,レンジエクステンダー 150馬力,純電動,純電動,純電動,純電動
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),503,503,503,503,367,367,367,585
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm,全長5265×全幅1999×全高1800mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.21,0.21,0.21,0.21,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,6.19,6.19,6.19,6.19,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,1.76,1.76,1.76,1.89
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.74,2.74,2.74,2.74,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2840,2840,2840,2840,2690,2690,2690,2820
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3405,3405,3405,3405,3240,3240,3240,3310
车身,車体,长度(mm),全長(mm),5265,5265,5265,5265,5265,5265,5265,5265
车身,車体,宽度(mm),全幅(mm),1999,1999,1999,1999,1999,1999,1999,1999
车身,車体,高度(mm),全高(mm),1800,1800,1800,1800,1800,1800,1800,1800
车身,車体,轴距(mm),ホイールベース(mm),3115,3115,3115,3115,3115,3115,3115,3115
车身,車体,前轮距(mm),前トレッド(mm),1725,1725,1725,1725,1725,1725,1725,1725
车身,車体,后轮距(mm),後トレッド(mm),1749,1749,1749,1749,1749,1749,1749,1749
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
车身,車体,最大涉水深度(mm),最大渡河深度(mm),700,700,700,700,700,700,700,700
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 6（乗車定員）,● 6（乗車定員）,● 6（乗車定員）,● 6（乗車定員）,● 6（乗車定員）,● 6（乗車定員）,● 6（乗車定員）,● 6（乗車定員）
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,109,109,109,109
车身,車体,后备厢容积(L),リアトランク容量(L),673-1748,673-1748,673-1748,673-1748,673-1748,673-1748,673-1748,673-1748
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255
发动机,エンジン,发动机型号,エンジン型式,DAM15NTE（エンジン型式）,DAM15NTE（エンジン型式）,DAM15NTE（エンジン型式）,DAM15NTE（エンジン型式）,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,-,-,-,-
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,150,150,150,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),110,110,110,110,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),210,210,210,210,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500-4000,2500-4000,2500-4000,2500-4000,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),110,110,110,110,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,-,-,-,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,-,-,-,-,武漢小鵬（製造拠点）
电动机,モーター,后电动机品牌,後モーターブランド,-,-,-,-,立訊智造（製造会社）,立訊智造（製造会社）,立訊智造（製造会社）,立訊智造（製造会社）
电动机,モーター,前电动机型号,前モーター型式,-,-,-,-,-,-,-,YS230XY01G01E（部品番号）
电动机,モーター,后电动机型号,後モーター型式,-,-,-,-,TZ230XY01G01X（部品番号）,TZ230XY01G01X（部品番号）,TZ230XY01G01X（部品番号）,TZ230XY01G01X（部品番号）
电动机,モーター,电机类型,モーター種類,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),370,370,370,370,270,270,270,430
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),503,503,503,503,367,367,367,585
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),695,695,695,695,465,465,465,695
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),160,160,160,160,-,-,-,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),230,230,230,230,-,-,-,230
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),210,210,210,210,270,270,270,270
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),465,465,465,465,465,465,465,465
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,シングルモーター,シングルモーター,シングルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置,後置き,後置き,後置き,前後配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● 三元系リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）,● 中創新航（バッテリーメーカー）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),320,320,320,320,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),430,430,430,430,665,665,665,750
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1585,1585,1585,1585,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),63.3,63.3,63.3,63.3,91.9,91.9,91.9,110
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),21.8,21.8,21.8,21.8,15.2,15.2,15.2,16.3
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,800,800,800,800,800,800,800,800
电池/充电,バッテリー/充電,电池快充时间(分钟),バッテリー急速充電時間（分）,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),6,6,6,6,-,-,-,-
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
