セクション,項目,日产N6 2026款 180 Air,日产N6 2026款 180 Pro,日产N6 2026款 180 Max,日产N6 2026款 180 Max+,日产N6 2026款 170 Max+旗舰
,厂商指导价(元),9.99万 计算器,10.99万 计算器,11.49万 计算器,12.19万 计算器,12.99万 计算器
,经销商报价,9.49万起,10.49万起,10.99万起,11.69万起,12.49万起
基本参数,厂商,东风日产,东风日产,东风日产,东风日产,东风日产
基本参数,级别,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.12,2025.12,2025.12,2025.12,2025.12
基本参数,WLTC纯电续航里程(km),130,130,130,130,125
基本参数,CLTC纯电续航里程(km),180,180,180,180,170
基本参数,电池快充时间(小时),0.28,0.28,0.28,0.33,0.33
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4
基本参数,电动机(Ps),211,211,211,211,211
基本参数,长*宽*高(mm),4831*1885*1491,4831*1885*1491,4831*1885*1491,4831*1885*1491,4831*1885*1494
基本参数,官方0-100km/h加速(s),6.8,6.8,6.8,6.8,6.9
基本参数,最高车速(km/h),160,160,160,160,160
基本参数,WLTC综合油耗(L/100km),0.69,0.69,0.69,0.79,0.69
基本参数,最低荷电状态油耗(L/100km)WLTC,4.32,4.32,4.32,4.39,4.40
基本参数,最低荷电状态油耗(L/100km)CLTC,2.79,2.79,2.79,2.79,3.1
基本参数,油电综合燃料消耗量(L/100km),2.4,2.4,2.4,2.55,2.68
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1675,1705,1705,1705,1730
基本参数,最大满载质量(kg),2135,2135,2135,2135,2165
车身,长度(mm),4831,4831,4831,4831,4831
车身,宽度(mm),1885,1885,1885,1885,1885
车身,高度(mm),1491,1491,1491,1491,1494
