セクション,項目,深蓝L06 2026款 245Ultra版,深蓝L06 2026款 245Ultra+激光版,深蓝L06 2026款 560Max,深蓝L06 2026款 560Ultra激光版,深蓝L06 2026款 670Max,深蓝L06 2026款 670Ultra激光版,深蓝L06 2026款 560Ultra+激光版,深蓝L06 2026款 670Ultra+激光版
,厂商指导价(元),13.49万 计算器,14.69万 计算器,12.59万 计算器,13.49万 计算器,13.59万 计算器,14.49万 计算器,14.69万 计算器,15.69万 计算器
,经销商报价,12.72万起,13.86万起,11.89万起,12.79万起,12.89万起,13.79万起,13.99万起,14.99万起
基本参数,厂商,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-,-,-,-,-
基本参数,上市时间,2026-04-23,2026-04-23,2026-04-24,2025-11-18,2026-04-24,2025-11-18,2025-11-18,2025-11-18
基本参数,WLTC纯电续航里程(km),180,180,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),245,245,560,560,670,670,560,670
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),175,175,200,200,200,200,200,200
基本参数,最大扭矩(N·m),290,290,290,290,290,290,290,290
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,增程器 98马力,增程器 98马力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),238,238,272,272,272,272,272,272
基本参数,长*宽*高(mm),4830*1905*1480,4830*1905*1480,4830*1905*1480,4830*1905*1480,4830*1905*1480,4830*1905*1480,4830*1905*1480,4830*1905*1480
基本参数,官方0-100km/h加速(s),7.2,7.2,5.9,5.9,6.2,6.2,5.9,6.2
基本参数,官方0-50km/h加速(s),2.93,2.93,2.45,2.45,2.5,2.5,2.45,2.5
基本参数,最高车速(km/h),180,180,185,185,185,185,185,185
基本参数,WLTC综合油耗(L/100km),0.57,0.57,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.38,4.38,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.46,3.46,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),1.74,1.74,1.34,1.34,1.37,1.37,1.34,1.37
基本参数,油电综合燃料消耗量(L/100km),2.31,2.31,-,-,-,-,-,-
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),1795,1795,1710,1750,1785,1830,1750,1830
基本参数,最大满载质量(kg),2210,2210,2125,2165,2200,2245,2165,2245
车身,长度(mm),4830,4830,4830,4830,4830,4830,4830,4830
车身,宽度(mm),1905,1905,1905,1905,1905,1905,1905,1905
车身,高度(mm),1480,1480,1480,1480,1480,1480,1480,1480
车身,轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650
车身,接近角(°),14,14,14,14,14,14,14,14
车身,离去角(°),19,19,19,19,19,19,19,19
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,-,-,-,-,-,-
车身,前备厢容积(L),-,-,100,100,100,100,100,100
车身,后备厢容积(L),431,431,464,464,464,464,464,464
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,JL469Q1,JL469Q1,-,-,-,-,-,-
发动机,排量(mL),1497,1497,-,-,-,-,-,-
发动机,排量(L),1.5,1.5,-,-,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,-,-,-,-,-,-
发动机,发动机布局,横置,横置,-,-,-,-,-,-
发动机,气缸排列形式,L,L,-,-,-,-,-,-
发动机,气缸数(个),4,4,-,-,-,-,-,-
