セクション,セクション_ja,項目,項目_ja,2026年モデル 245Ultra版,2026年モデル 245Ultra+レーザー版,2026年モデル 560Max,2026年モデル 560Ultraレーザー版,2026年モデル 670Max,2026年モデル 670Ultraレーザー版,2026年モデル 560Ultra+レーザー版,2026年モデル 670Ultra+レーザー版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"13.49万元（日本円 約2,832,900円）","14.69万元（日本円 約3,084,900円）","12.59万元（日本円 約2,643,900円）","13.49万元（日本円 約2,832,900円）","13.59万元（日本円 約2,853,900円）","14.49万元（日本円 約3,042,900円）","14.69万元（日本円 約3,084,900円）","15.69万元（日本円 約3,294,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国6排ガス基準,国6排ガス基準,-,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2026-04-23,2026-04-23,2026-04-24,2025-11-18,2026-04-24,2025-11-18,2025-11-18,2025-11-18
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),180,180,-,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),245,245,560,560,670,670,560,670
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),175,175,200,200,200,200,200,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,290,290,290,290
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),238,238,272,272,272,272,272,272
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4830×1905×1480（mm）,4830×1905×1480（mm）,4830×1905×1480（mm）,4830×1905×1480（mm）,4830×1905×1480（mm）,4830×1905×1480（mm）,4830×1905×1480（mm）,4830×1905×1480（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.2,7.2,5.9,5.9,6.2,6.2,5.9,6.2
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(s),2.93,2.93,2.45,2.45,2.5,2.5,2.45,2.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,185,185,185,185,185,185
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.57,0.57,-,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,4.38,4.38,-,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低充電状態燃費(L/100km)NEDC,3.46,3.46,-,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.74,1.74,1.34,1.34,1.37,1.37,1.34,1.37
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.31,2.31,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1795,1795,1710,1750,1785,1830,1750,1830
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2210,2210,2125,2165,2200,2245,2165,2245
车身,車体,长度(mm),全長(mm),4830,4830,4830,4830,4830,4830,4830,4830
车身,車体,宽度(mm),全幅(mm),1905,1905,1905,1905,1905,1905,1905,1905
车身,車体,高度(mm),全高(mm),1480,1480,1480,1480,1480,1480,1480,1480
车身,車体,轴距(mm),ホイールベース(mm),2900,2900,2900,2900,2900,2900,2900,2900
车身,車体,前轮距(mm),前トレッド(mm),1630,1630,1630,1630,1630,1630,1630,1630
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1650,1650,1650,1650,1650,1650
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,19,19,19,19,19
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）
车身,車体,油箱容积(L),燃料タンク容量(L),45,45,-,-,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,100,100,100,100,100,100
车身,車体,后备厢容积(L),リアトランク容量(L),431,431,464,464,464,464,464,464
