セクション,項目,仰望U8 L 2026款 鼎世版,仰望U8 L 2025款 鼎世版,
,厂商指导价(元),130.00万 计算器,128.00万 计算器,–
,经销商报价,暂无报价,暂无报价,–
基本参数,厂商,仰望,仰望,–
基本参数,级别,大型SUV,大型SUV,–
基本参数,能源类型,增程式,增程式,–
基本参数,环保标准,国VI,国VI,–
基本参数,上市时间,2026-03-05,2025-09-12,–
基本参数,CLTC纯电续航里程(km),230,200,–
基本参数,电池快充时间(小时),0.15,0.23,–
基本参数,电池慢充时间(小时),8.4,7.5,–
基本参数,电池快充电量范围(%),10-97,30-80,–
基本参数,电池慢充电量范围(%),10-100,15-100,–
基本参数,最大功率(kW),880,880,–
基本参数,最大扭矩(N·m),1520,1520,–
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,–
基本参数,车身结构,5门6座SUV,5门6座SUV,–
基本参数,发动机,增程器 272马力,增程器 272马力,–
基本参数,电动机(Ps),1197,1197,–
基本参数,长*宽*高(mm),5400*2049*1921,5400*2049*1921,–
基本参数,官方0-100km/h加速(s),3.5,3.5,–
基本参数,最高车速(km/h),200,200,–
基本参数,WLTC综合油耗(L/100km),1.48,1.48,–
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,–
基本参数,整备质量(kg),3639,3595,–
基本参数,最大满载质量(kg),4210,4210,–
车身,长度(mm),5400,5400,–
车身,宽度(mm),2049,2049,–
车身,高度(mm),1921,1921,–
车身,轴距(mm),3250,3250,–
车身,前轮距(mm),1745,1745,–
车身,后轮距(mm),1743,1743,–
车身,满载最小离地间隙(mm),-,205,–
车身,最小离地间隙(mm),205,-,–
车身,接近角(°),27,25,–
车身,离去角(°),24,24.5,–
车身,纵向通过角(°),18.5,18.5,–
车身,最小转弯半径(m),5.45,-,–
车身,最大涉水深度(mm),1000,1000,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 6,● 6,–
车身,油箱容积(L),90,90,–
车身,后备厢容积(L),386-1115,386-1115,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,BYD487ZQD,BYD487ZQD,–
发动机,排量(mL),1997,1997,–
发动机,排量(L),2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,–
发动机,发动机布局,横置,横置,–
发动机,气缸排列形式,L,L,–
发动机,气缸数(个),4,4,–
发动机,每缸气门数(个),4,4,–
发动机,配气机构,DOHC,DOHC,–
发动机,最大马力(Ps),272,272,–
发动机,最大功率(kW),200,200,–
发动机,最大功率转速(rpm),-,-,–
发动机,最大扭矩(N·m),-,-,–
发动机,最大扭矩转速(rpm),-,-,–
发动机,最大净功率(kW),180,180,–
发动机,能源类型,增程式,增程式,–
发动机,燃油标号,92号,92号,–
发动机,供油方式,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,–
电动机,前电动机品牌,比亚迪,比亚迪,–
电动机,后电动机品牌,比亚迪,比亚迪,–
电动机,前电动机型号,TZ220XYBZ+TZ220XYCA,TZ220XYBZ+TZ220XYCA,–
电动机,后电动机型号,TZ220XYBZ+TZ220XYCB,TZ220XYBZ+TZ220XYCB,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),880,880,–
电动机,电动机总马力(Ps),1197,1197,–
电动机,电动机总扭矩(N·m),1520,1520,–
电动机,前电动机最大功率(kW),440,440,–
电动机,前电动机最大扭矩(N·m),640,640,–
电动机,后电动机最大功率(kW),440,440,–
电动机,后电动机最大扭矩(N·m),640,640,–
电动机,系统综合功率(kW),880,880,–
电动机,系统综合马力(Ps),1197,1197,–
电动机,系统综合扭矩(N·m),1520,1520,–
电动机,驱动电机数,四电机,四电机,–
电动机,电机布局,前置+后置,前置+后置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 弗迪,● 弗迪,–
电池/充电,电池特有技术,第二代刀片电池,刀片电池,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),230,200,–
电池/充电,CLTC综合续航(km),1205,1160,–
电池/充电,电池能量(kWh),56.58,55.53,–
电池/充电,快充功能,支持,支持,–
电池/充电,快充功率(kW),574,-,–
电池/充电,高压快充,支持,支持,–
电池/充电,高压平台（V）,800,800,–
电池/充电,电池快充时间(小时),0.15,0.23,–
电池/充电,电池快充电量范围(%),10-97,30-80,–
电池/充电,电池慢充时间(小时),8.4,7.5,–
电池/充电,电池慢充电量范围(%),10-100,15-100,–
电池/充电,慢充接口位置,车右后侧,车右后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,–
电池/充电,对外交流放电功率(kW),6,6,–
电池/充电,对外放电最低允许值(%),15,15,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 四电机四驱,● 四电机四驱,–
底盘转向,四驱形式,● 电动四驱,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,非承载式,非承载式,–
车轮制动,前制动器类型,● 陶瓷通风盘式,● 陶瓷通风盘式,–
车轮制动,后制动器类型,● 陶瓷通风盘式,● 陶瓷通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,"● 285/45 R22
○ 285/40 R23 (5.00万元)","● 285/45 R22
○ 285/40 R23 (5.00万元)",–
车轮制动,后轮胎规格,"● 285/45 R22
○ 285/40 R23","● 285/45 R22
○ 285/40 R23",–
车轮制动,备胎规格,● 补胎工具,● 补胎工具,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,–
被动安全,前排中间气囊,●,●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,●,●,–
主动安全,DOW开门预警,●,●,–
主动安全,前方碰撞预警,●,●,–
主动安全,后方碰撞预警,●,●,–
主动安全,哨兵模式/千里眼,●,●,–
主动安全,低速行车警告,●,●,–
主动安全,内置行车记录仪,●,●,–
主动安全,道路救援呼叫,●,●,–
主动安全,防侧翻系统,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地",–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,陡坡缓降,●,●,–
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",–
驾驶操控,整体主动转向系统,●,●,–
驾驶操控,后轮转向角度(°),● ±6,-,–
四驱/越野,限滑差速器/差速锁,"● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁",–
四驱/越野,涉水感应系统,●,●,–
四驱/越野,蠕行模式,●,●,–
四驱/越野,坦克转弯,●,●,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,–
驾驶硬件,辅助驾驶芯片,● 2颗 英伟达 Drive Orin,● 2颗 英伟达 Drive Orin,–
驾驶硬件,芯片总算力,● 508 TOPS,● 508 TOPS,–
驾驶硬件,前方感知摄像头,● 三目,● 三目,–
驾驶硬件,摄像头数量,● 12个,● 12个,–
驾驶硬件,车内摄像头数量,● 3个,● 3个,–
驾驶硬件,超声波雷达数量,● 14个,● 14个,–
驾驶硬件,毫米波雷达数量,● 5个,● 5个,–
驾驶硬件,激光雷达数量,● 3个,● 3个,–
驾驶硬件,激光雷达线数,● 128线,● 128线,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● DiPilot 600,● DiPilot 600,–
驾驶功能,辅助驾驶等级,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,–
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,–
驾驶功能,并线辅助,●,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,车道居中保持,●,●,–
驾驶功能,道路交通标识识别,●,●,–
驾驶功能,夜视系统,●,●,–
驾驶功能,辅助泊车入位,●,●,–
驾驶功能,遥控泊车,●,●,–
驾驶功能,记忆泊车,●,●,–
驾驶功能,辅助变道,●,●,–
驾驶功能,辅助匝道自动驶出(入),●,●,–
驾驶功能,信号灯识别,●,●,–
驾驶功能,方向盘离手检测,●,●,–
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段",–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,电动吸合车门,● 全车,● 全车,–
外观/防盗,自动开合车门,○ (3.00万元),-,–
外观/防盗,电动后备厢,●,●,–
外观/防盗,电动后备厢位置记忆,●,●,–
外观/防盗,发动机电子防盗,●,●,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙",–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,–
外观/防盗,隐藏电动门把手,●,●,–
外观/防盗,远程启动功能,●,●,–
外观/防盗,车侧脚踏板,● 电动,● 电动,–
外观/防盗,电池预加热,●,●,–
外观/防盗,对外放电,●,●,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,●,●,–
车外灯光,自动头灯,●,●,–
车外灯光,转向辅助灯,●,●,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
车外灯光,辅助驾驶灯,●,●,–
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,后排侧隐私玻璃,●,●,–
天窗/玻璃,后排调光隐私玻璃,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目",–
