セクション,項目,华境S 2026款 200km 乾崑悦享版,华境S 2026款 255km 乾崑臻享版,华境S 2026款 255km 乾崑尊享版,华境S 2026款 235km 四驱乾崑尊享版
,厂商指导价(元),15.98万 计算器,17.58万 计算器,18.58万 计算器,20.38万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-05-08,2026-05-08,2026-05-08,2026-05-08
基本参数,WLTC纯电续航里程(km),130,175,175,160
基本参数,CLTC纯电续航里程(km),200,255,255,235
基本参数,电池快充时间(小时),0.3,0.24,0.24,0.24
基本参数,电池慢充时间(小时),9.5,6,6,6
基本参数,电池快充电量范围(%),10-70,10-70,10-70,10-70
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100
基本参数,最大功率(kW),-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,1.5T 143马力 L4,1.5T 143马力 L4,1.5T 143马力 L4,1.5T 143马力 L4
基本参数,电动机(Ps),272,272,272,525
基本参数,长*宽*高(mm),5235*1999*1800,5235*1999*1800,5235*1999*1800,5235*1999*1800
基本参数,官方0-100km/h加速(s),8.3,8.6,8.6,5.2
基本参数,最高车速(km/h),190,190,190,190
基本参数,WLTC综合油耗(L/100km),1.25,1,1,1.21
基本参数,最低荷电状态油耗(L/100km)WLTC,5.98,6.18,6.18,6.98
基本参数,油电综合燃料消耗量(L/100km),3.65,3.62,3.62,4
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2385,2470,2470,2665
基本参数,最大满载质量(kg),2930,3045,3045,3175
车身,长度(mm),5235,5235,5235,5235
车身,宽度(mm),1999,1999,1999,1999
车身,高度(mm),1800,1800,1800,1800
车身,轴距(mm),3105,3105,3105,3105
车身,前轮距(mm),1725,1725,1725,1725
车身,后轮距(mm),1728,1728,1728,1728
车身,接近角(°),18,18,18,17
车身,离去角(°),20,20,20,20
车身,最小转弯半径(m),5.65,5.65,5.65,5.65
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6
车身,油箱容积(L),60,60,60,60
车身,后备厢容积(L),423-1268,423-1268,423-1268,423-1268
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,LBT,LBT,LBT,LBT
发动机,排量(mL),1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),143,143,143,143
发动机,最大功率(kW),105,105,105,105
发动机,最大功率转速(rpm),5500,5500,5500,5500
发动机,最大扭矩(N·m),220,220,220,220
发动机,最大扭矩转速(rpm),-,-,-,-
发动机,最大净功率(kW),100,100,100,100
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ180XY5L0,TZ180XY5L0,TZ180XY5L0,TZ180XY5L0
电动机,后电动机型号,-,-,-,TZ210XS2J6
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),200,200,200,386
电动机,电动机总马力(Ps),272,272,272,525
电动机,电动机总扭矩(N·m),310,310,310,620
电动机,前电动机最大功率(kW),200,200,200,200
电动机,前电动机最大扭矩(N·m),310,310,310,310
电动机,后电动机最大功率(kW),-,-,-,186
电动机,后电动机最大扭矩(N·m),-,-,-,310
电动机,驱动电机数,单电机,单电机,单电机,双电机
电动机,电机布局,前置,前置,前置,前置+后置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 瑞浦赛克,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神炼电池,神炼电池,神炼电池,神炼电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),130,175,175,160
电池/充电,CLTC纯电续航里程(km),200,255,255,235
电池/充电,WLTC综合续航(km),1133,1145,1145,1020
电池/充电,电池能量(kWh),31,41.9,41.9,41.9
电池/充电,百公里耗电量(kWh/100km),20.7,22.3,22.3,24
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.3,0.24,0.24,0.24
电池/充电,电池快充电量范围(%),10-70,10-70,10-70,10-70
电池/充电,电池慢充时间(小时),9.5,6,6,6
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
