セクション,項目,岚图泰山 2026款 Max,岚图泰山 2026款 Max+,岚图泰山 2026款 Ultra,岚图泰山 2026款 黑武士
,厂商指导价(元),37.99万 计算器,40.99万 计算器,45.99万 计算器,50.99万 计算器
,经销商报价,37.99万起,40.99万起,45.99万起,50.99万起
基本参数,厂商,岚图汽车,岚图汽车,岚图汽车,岚图汽车
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-18,2025-11-18,2025-11-18,2026-03-17
基本参数,WLTC纯电续航里程(km),290,290,290,290
基本参数,CLTC纯电续航里程(km),350,350,350,350
基本参数,电池快充时间(小时),0.2,0.2,0.2,0.2
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80
基本参数,最大功率(kW),-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4
基本参数,电动机(Ps),517,517,517,558
基本参数,长*宽*高(mm),5230*2025*1817,5230*2025*1817,5230*2025*1817,5230*2025*1817
基本参数,官方0-100km/h加速(s),5.2,5.5,5.5,5.2
基本参数,最高车速(km/h),200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.40,0.40,0.40,0.40
基本参数,最低荷电状态油耗(L/100km)WLTC,6.9,6.9,6.9,6.9
基本参数,油电综合燃料消耗量(L/100km),2.91,2.91,2.91,2.91
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2760,2852,2852,2852
基本参数,最大满载质量(kg),3210,3302,3302,3302
车身,长度(mm),5230,5230,5230,5230
车身,宽度(mm),2025,2025,2025,2025
车身,高度(mm),1817,1817,1817,1817
车身,轴距(mm),3120,3120,3120,3120
车身,前轮距(mm),1738,1738,1738,1738
车身,后轮距(mm),1755,1755,1755,1755
车身,接近角(°),19,19,19,19
车身,离去角(°),21,21,21,21
车身,最小转弯半径(m),6.2,5.4,5.4,5.4
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6
车身,油箱容积(L),65,65,65,65
车身,后备厢容积(L),305-1193,305-1193,305-1193,305-1193
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3
发动机,排量(mL),1497,1497,1497,1497
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,150,150
发动机,最大功率(kW),110,110,110,110
发动机,最大功率转速(rpm),4500,4500,4500,4500
发动机,最大扭矩(N·m),220,220,220,220
发动机,最大扭矩转速(rpm),2000-4500,2000-4500,2000-4500,2000-4500
发动机,最大净功率(kW),105,105,105,105
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,前电动机型号,DY60YS225150,DY60YS225150,DY60YS225150,DY60YS225150
电动机,后电动机型号,TZ225XYH01,TZ225XYH01,TZ225XYH01,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),380,380,380,410
电动机,电动机总马力(Ps),517,517,517,558
电动机,电动机总扭矩(N·m),705,705,705,705
电动机,前电动机最大功率(kW),150,150,150,150
电动机,前电动机最大扭矩(N·m),310,310,310,310
电动机,后电动机最大功率(kW),230,230,230,260
电动机,后电动机最大扭矩(N·m),395,395,395,395
电动机,驱动电机数,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,"● 时代一汽
● 蜂巢能源","● 时代一汽
● 蜂巢能源","● 时代一汽
● 蜂巢能源","● 时代一汽
● 蜂巢能源"
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),290,290,290,290
电池/充电,CLTC纯电续航里程(km),350,350,350,350
电池/充电,CLTC综合续航(km),1430,1430,1430,1430
电池/充电,电池能量(kWh),65,65,65,65
电池/充电,百公里耗电量(kWh/100km),21.6,22.3,22.3,22.3
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,快充功率(kW),320,320,320,320
电池/充电,高压快充,支持,支持,支持,支持
电池/充电,高压平台（V）,800,800,800,800
电池/充电,电池快充时间(小时),0.2,0.2,0.2,0.2
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6.6,6.6,6.6,6.6
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 275/45 R22,● 275/45 R22,● 275/45 R22,● 275/45 R22
车轮制动,后轮胎规格,● 275/45 R22,● 275/45 R22,● 275/45 R22,● 275/45 R22
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●
驾驶操控,空气悬挂类型,● 三腔,● 三腔,● 三腔,● 三腔
驾驶操控,魔毯智能悬架,●,●,●,●
驾驶操控,整体主动转向系统,-,●,●,●
驾驶操控,后轮转向角度(°),-,● ±16,● ±16,● ±16
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,● 2个,● 2个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 5个,● 5个
驾驶硬件,激光雷达品牌,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为
驾驶硬件,激光雷达数量,● 1个,● 1个,● 4个,● 4个
驾驶硬件,激光雷达线数,● 192线,● 192线,● 896线,● 896线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,●,●,●,●
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●
驾驶功能,记忆泊车,○,○,○,○
驾驶功能,循迹倒车,●,●,●,●
驾驶功能,辅助变道,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●
驾驶功能,信号灯识别,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●
驾驶功能,起步提醒,●,●,●,●
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,○ 全车,○ 全车,○ 全车,○ 全车
外观/防盗,自动开合车门,○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元)
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,车侧脚踏板,-,● 电动,● 电动,● 电动
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,● 像素式,● 像素式,● 像素式
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,场景灯语,-,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,星空天窗,-,-,-,●
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,-,● 电动,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●
