セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 1380 PLUS,2026年モデル 増程 1330 Max,2026年モデル 増程 1330 Ultra SE,2026年モデル 純電 550 PLUS,2026年モデル 純電 650 PLUS,2026年モデル 純電 525 Max,2026年モデル 純電 625 Max,2026年モデル 純電 525 Ultra SE,2026年モデル 純電 625 Ultra SE
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.38万元（日本円 約2,599,800円）","13.48万元（日本円 約2,830,800円）","14.68万元（日本円 約3,082,800円）","12.38万元（日本円 約2,599,800円）","13.38万元（日本円 約2,809,800円）","13.48万元（日本円 約2,830,800円）","14.48万元（日本円 約3,040,800円）","14.68万元（日本円 約3,082,800円）","15.68万元（日本円 約3,292,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),257,249,249,-,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),325,315,315,550,650,525,625,525,625
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.17,0.17,0.26,0.26,0.26,0.26,0.26,0.26
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
