セクション,セクション_ja,項目,項目_ja,2026年モデル Pure,2026年モデル Pure SE,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,–
基本参数,基本仕様,厂商,メーカー,フォルクスワーゲン安徽,フォルクスワーゲン安徽,–
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,–
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,–
基本参数,基本仕様,上市时间,発売時期,2026-05-23,2026-05-23,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),558,558,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.42,–
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9,9,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,–
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),10-100,10-100,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),170,170,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),350,350,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),231,231,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4853×1852×1566（mm）,4853×1852×1566（mm）,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.1,8.1,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,–
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.4,1.4,–
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),2057,2057,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2520,2520,–
车身,車体,长度(mm),全長(mm),4853,4853,–
车身,車体,宽度(mm),全幅(mm),1852,1852,–
车身,車体,高度(mm),全高(mm),1566,1566,–
车身,車体,轴距(mm),ホイールベース(mm),2826,2826,–
车身,車体,前轮距(mm),前トレッド(mm),1588,1588,–
车身,車体,后轮距(mm),後トレッド(mm),1561,1561,–
车身,車体,最小离地间隙(mm),最低地上高(mm),142,142,–
车身,車体,接近角(°),アプローチアングル(°),15,15,–
车身,車体,离去角(°),デパーチャーアングル(°),18,18,–
车身,車体,最小转弯半径(m),最小回転半径(m),4.7,4.7,–
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,–
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,–
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,–
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,–
车身,車体,后备厢容积(L),トランク容量(L),711-1580,711-1580,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
电动机,モーター,后电动机品牌,後モーターブランド,フォルクスワーゲン,フォルクスワーゲン,–
电动机,モーター,后电动机型号,後モーター型式,EEK（型式）,EEK（型式）,–
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),170,170,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),231,231,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),350,350,–
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),170,170,–
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),350,350,–
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,–
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,–
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,–
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,–
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 国軒高科製,● 国軒高科製,–
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,–
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),558,558,–
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),59.9,59.9,–
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),12.1,12.1,–
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,–
电池/充电,バッテリー/充電,电池快充时间(分钟),バッテリー急速充電時間(分),25,25,–
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.42,–
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,–
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),9,9,–
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),10-100,10-100,–
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右後方,車両右後方,–
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右後方,車両右後方,–
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,–
变速箱,トランスミッション,简称,略称,電動車用単速トランスミッション,電動車用単速トランスミッション,–
变速箱,トランスミッション,挡位个数,段数,1,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,–
