セクション,項目,星途EX7 2026款 增程 两驱Max版,星途EX7 2026款 增程 四驱Max版,星途EX7 2026款 增程 四驱EMB Ultra版,星途EX7 2026款 纯电 两驱Max版 77kWh,星途EX7 2026款 纯电 两驱Max版 100kWh,星途EX7 2026款 纯电 四驱Ultra版 100kWh
,厂商指导价(元),19.99万 计算器,21.39万 计算器,23.69万 计算器,21.39万 计算器,23.39万 计算器,26.39万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,星途,星途,星途,星途,星途,星途
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-
基本参数,上市时间,2026-04-19,2026-04-19,2026-04-19,2026-04-19,2026-04-19,2026-04-19
基本参数,WLTC纯电续航里程(km),203,182,182,-,-,-
基本参数,CLTC纯电续航里程(km),245,225,225,600,726,682
基本参数,电池快充时间(小时),0.24,0.24,0.24,0.15,0.25,0.25
基本参数,电池慢充时间(小时),6.8,6.8,6.8,13.5,16.5,16.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),5-100,5-100,5-100,5-100,5-100,5-100
基本参数,最大功率(kW),227,377,377,230,230,353
基本参数,最大扭矩(N·m),332,642,642,425,425,663
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 156马力,增程器 156马力,增程器 156马力,纯电动,纯电动,纯电动
基本参数,电动机(Ps),309,513,513,313,313,480
基本参数,长*宽*高(mm),4988*1975*1710,4988*1975*1710,4988*1975*1702,4988*1975*1710,4988*1975*1710,4988*1975*1702
基本参数,官方0-100km/h加速(s),7.6,4.9,4.9,6.6,6.4,4.7
基本参数,最高车速(km/h),200,195,195,200,200,210
基本参数,WLTC综合油耗(L/100km),0.8,0.85,0.85,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.8,6.76,6.76,-,-,-
基本参数,电能当量燃料消耗量(L/100km),2.38,2.59,2.59,1.64,1.63,1.78
基本参数,油电综合燃料消耗量(L/100km),3.18,3.44,3.44,-,-,-
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2300,2400,2400,2230,2200,2350
基本参数,最大满载质量(kg),2700,2825,2825,2660,2630,2750
车身,长度(mm),4988,4988,4988,4988,4988,4988
车身,宽度(mm),1975,1975,1975,1975,1975,1975
车身,高度(mm),1710,1710,1702,1710,1710,1702
车身,轴距(mm),3000,3000,3000,3000,3000,3000
车身,前轮距(mm),1690,1690,1690,1690,1690,1690
车身,后轮距(mm),1695,1695,1695,1695,1695,1695
车身,接近角(°),18,18,18,19,19,19
车身,离去角(°),22,22,21,22,22,21
车身,最小转弯半径(m),5.65,5.65,5.65,5.65,5.65,5.65
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),67,67,67,-,-,-
车身,后备厢容积(L),668-1835,668-1835,668-1835,668-1835,668-1835,668-1835
车身,风阻系数(Cd),0.31,0.31,0.31,0.31,0.31,0.31
发动机,发动机型号,SQRH4J15,SQRH4J15,SQRH4J15,-,-,-
发动机,排量(mL),1499,1499,1499,-,-,-
发动机,排量(L),1.5,1.5,1.5,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,-,-,-
发动机,发动机布局,横置,横置,横置,-,-,-
发动机,气缸排列形式,L,L,L,-,-,-
发动机,气缸数(个),4,4,4,-,-,-
发动机,每缸气门数(个),4,4,4,-,-,-
发动机,压缩比,14.5,14.5,14.5,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,-,-,-
发动机,缸径(mm),72,72,72,-,-,-
发动机,行程(mm),92,92,92,-,-,-
发动机,最大马力(Ps),156,156,156,-,-,-
发动机,最大功率(kW),115,115,115,-,-,-
发动机,最大功率转速(rpm),5200,5200,5200,-,-,-
发动机,最大扭矩(N·m),200,200,200,-,-,-
发动机,最大扭矩转速(rpm),2500,2500,2500,-,-,-
发动机,最大净功率(kW),105,105,105,-,-,-
发动机,发动机特有技术,米勒循环&第五代智效燃烧系统,米勒循环&第五代智效燃烧系统,米勒循环&第五代智效燃烧系统,-,-,-
发动机,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,-,-,-
发动机,供油方式,直喷,直喷,直喷,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,-,-,-
发动机,环保标准,国VI,国VI,国VI,-,-,-
电动机,前电动机品牌,-,埃科动力,埃科动力,-,-,苏州汇川
电动机,后电动机品牌,苏州汇川,苏州汇川,苏州汇川,联合电子,联合电子,联合电子
电动机,前电动机型号,-,KPTZ220YMDA0,KPTZ220YMDA0,-,-,YS190XY101
电动机,后电动机型号,TZ190YMZB0,TZ190YMZB0,TZ190YMZB0,TZ220XSG05,TZ220XSG05,TZ220XSG05
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步
