セクション,項目,零跑A10 2026款 403舒享版,零跑A10 2026款 403悦享版,零跑A10 2026款 505悦享版,零跑A10 2026款 505激光雷达版
,厂商指导价(元),6.58万 计算器,6.98万 计算器,7.68万 计算器,8.68万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-03-26,2026-03-26,2026-03-26,2026-03-26
基本参数,CLTC纯电续航里程(km),403,403,505,505
基本参数,电池快充时间(小时),0.5,0.5,0.26,0.26
基本参数,电池慢充时间(小时),4,4,5,5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80
基本参数,最大功率(kW),70,70,90,90
基本参数,最大扭矩(N·m),150,150,150,150
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),95,95,122,122
基本参数,长*宽*高(mm),4270*1810*1635,4270*1810*1635,4270*1810*1635,4270*1810*1635
基本参数,官方0-100km/h加速(s),12.2,12.2,10.6,10.6
基本参数,最高车速(km/h),160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.24,1.24,1.31,1.31
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1360,1360,1460,1460
基本参数,最大满载质量(kg),1765,1765,1865,1865
车身,长度(mm),4270,4270,4270,4270
车身,宽度(mm),1810,1810,1810,1810
车身,高度(mm),1635,1635,1635,1635
车身,轴距(mm),2605,2605,2605,2605
车身,前轮距(mm),1525,1525,1525,1525
车身,后轮距(mm),1525,1525,1525,1525
车身,空载最小离地间隙(mm),175,175,175,175
车身,接近角(°),18,18,18,18
车身,离去角(°),24,24,24,24
车身,最小转弯半径(m),5.1,5.1,5.1,5.1
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),602-1549,602-1549,602-1549,602-1549
车身,风阻系数(Cd),-,-,-,-
电动机,前电动机品牌,凌昇动力,凌昇动力,凌昇动力,凌昇动力
电动机,前电动机型号,TZ180QY057,TZ180QY057,TZ180QY027,TZ180QY027
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),70,70,90,90
电动机,电动机总马力(Ps),95,95,122,122
电动机,电动机总扭矩(N·m),150,150,150,150
电动机,前电动机最大功率(kW),70,70,90,90
电动机,前电动机最大扭矩(N·m),150,150,150,150
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 国轩高科
● 江苏正力","● 国轩高科
● 江苏正力","● 国轩高科
● 江苏正力","● 国轩高科
● 江苏正力"
电池/充电,电池冷却方式,风冷,风冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),403,403,505,505
电池/充电,电池能量(kWh),39.8,39.8,53,53
电池/充电,百公里耗电量(kWh/100km),10.7,10.7,11.3,11.3
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.5,0.5,0.26,0.26
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),4,4,5,5
电池/充电,电池慢充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/50 R18,● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,后轮胎规格,● 215/50 R18,● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
