セクション,セクション_ja,項目,項目_ja,2026年モデル 11804WD Air版,2026年モデル 11804WD Pro版,2026年モデル 12204WD Max版,2026年モデル 金晖典蔵版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.98万元（日本円 約6,295,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","36.98万元（日本円 約7,765,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"25.98万元（日本円 約5,455,800円）","26.98万元（日本円 約5,665,800円）","28.98万元（日本円 約6,085,800円）","32.98万元（日本円 約6,925,800円）"
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準
基本参数,基本仕様,上市时间,発売時期,2026-03-03,2026-01-20,2026-01-20,2026-01-20
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),172,172,202,202
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,260,260
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.4,0.4,0.3,0.3
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),6.3,6.3,7.3,7.3
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),340,340,340,340
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),523,523,523,523
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 163馬力,レンジエクステンダー 163馬力,レンジエクステンダー 163馬力,レンジエクステンダー 163馬力
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),462,462,462,462
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5399*1998*1940,5399*1998*1940,5399*1998*1920,5399*1998*1920
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.5,6.5,6.5,6.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.93,0.93,0.78,0.78
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,7,7,7.1,7.1
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,5.9,5.9,6,6
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.64,3.64,3.6,3.6
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2890,2890,2970,2970
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3445,3445,3525,3525
车身,車体,长度(mm),全長(mm),5399,5399,5399,5399
车身,車体,宽度(mm),全幅(mm),1998,1998,1998,1998
车身,車体,高度(mm),全高(mm),1940,1940,1920,1920
车身,車体,轴距(mm),ホイールベース(mm),3200,3200,3200,3200
车身,車体,前轮距(mm),前トレッド(mm),1747,1747,1747,1747
车身,車体,后轮距(mm),後トレッド(mm),1742,1742,1742,1742
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),16,16,17,17
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
