セクション,セクション_ja,項目,項目_ja,2026年モデル 1250 Max,2026年モデル 1250 Ultra,2026年モデル 1330 Ultra,2026年モデル 1330 Ultra+
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"21.48万元（日本円 約4,510,800円）","24.78万元（日本円 約5,203,800円）","25.98万元（日本円 約5,455,800円）","26.98万元（日本円 約5,665,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2026-05-27,2026-05-27,2026-05-27,2026-05-27
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),166,166,236,236
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),216,216,310,310
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),5,5,6.5,6.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),20-80,20-80,20-80,20-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),227,227,227,227
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,320,320
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),309,309,309,309
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5300*1980*1850,5300*1980*1850,5300*1980*1850,5300*1980*1850
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.9,7.9,8.4,8.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.78,0.78,0.45,0.45
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.85,6.85,6.88,6.88
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),2.52,2.52,2.52,2.52
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.3,3.3,2.97,2.97
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2525,2525,2580,2580
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3080,3080,3135,3135
车身,車体,长度(mm),全長(mm),5300,5300,5300,5300
车身,車体,宽度(mm),全幅(mm),1980,1980,1980,1980
车身,車体,高度(mm),全高(mm),1850,1850,1850,1850
车身,車体,轴距(mm),ホイールベース(mm),3200,3200,3200,3200
车身,車体,前轮距(mm),前トレッド(mm),1700,1700,1700,1700
车身,車体,后轮距(mm),後トレッド(mm),1728,1728,1728,1728
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),450-2750,450-2750,450-2750,450-2750
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.29,0.29,0.29,0.29
发动机,エンジン,发动机型号,エンジン型式,A156T2H,A156T2H,A156T2H,A156T2H
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,160
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,118
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5000,5000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),235,235,235,235
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2250-4000,2250-4000,2250-4000,2250-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),115,115,115,115
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,92号,92号,92号,92号
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI,国VI,国VI,国VI
电动机,モーター,后电动机品牌,後モーターブランド,ファーウェイデジタル,ファーウェイデジタル,ファーウェイデジタル,ファーウェイデジタル
电动机,モーター,后电动机型号,後モーター型式,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),227,227,227,227
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),309,309,309,309
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),320,320,320,320
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),227,227,227,227
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),320,320,320,320
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,シャオヤオ電池,シャオヤオ電池,シャオヤオ電池,シャオヤオ電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),166,166,236,236
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),216,216,310,310
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1050,1050,1118,1118
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1250,1250,1330,1330
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),37,37,53.4,53.4
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),132.02,132.02,176.74,176.74
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),21.7,21.7,21.7,21.7
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高電圧プラットフォーム（V）,400,400,400,400
电池/充电,バッテリー/充電,电池快充时间(分钟),バッテリー急速充電時間（分）,15,15,15,15
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),20-80,20-80,20-80,20-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),5,5,6.5,6.5
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,3.5,3.5
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),4,4,4,4
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
