セクション,項目,星海T5 2026款 530km 悦享版,星海T5 2026款 530km 尊享版,星海T5 2026款 530km 畅享版,星海T5 2026款 530km 舒享版
,厂商指导价(元),15.39万 计算器,16.19万 计算器,15.39万 计算器,16.19万 计算器
,经销商报价,15.39万起,16.19万起,15.39万起,16.19万起
基本参数,厂商,东风风行,东风风行,东风风行,东风风行
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-02-28,2026-02-28,2026-03-02,2026-03-02
基本参数,CLTC纯电续航里程(km),530,530,530,530
基本参数,电池快充时间(小时),0.58,0.58,0.58,0.58
基本参数,电池慢充时间(小时),12,12,12,12
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),5-100,5-100,5-100,5-100
基本参数,最大功率(kW),120,120,120,120
基本参数,最大扭矩(N·m),240,240,240,240
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),163,163,163,163
基本参数,长*宽*高(mm),4600*1860*1680,4600*1860*1680,4600*1860*1680,4600*1860*1680
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,最高车速(km/h),160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.60,1.60,1.60,1.60
基本参数,整车质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
基本参数,整备质量(kg),1800,1800,-,-
基本参数,最大满载质量(kg),2175,2175,-,-
车身,长度(mm),4600,4600,4600,4600
车身,宽度(mm),1860,1860,1860,1860
车身,高度(mm),1680,1680,1680,1680
车身,轴距(mm),2730,2730,2750,2750
车身,前轮距(mm),1590,1590,1590,1590
车身,后轮距(mm),1595,1595,1595,1595
车身,接近角(°),16,16,16,16
车身,离去角(°),27,27,27,27
车身,最小转弯半径(m),5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),468-1214,468-1214,468-1214,468-1214
车身,风阻系数(Cd),-,-,-,-
电动机,前电动机品牌,珠海英搏尔,珠海英搏尔,珠海英搏尔,珠海英搏尔
电动机,前电动机型号,TZ180XSX5G,TZ180XSX5G,TZ180XSX5G,TZ180XSX5G
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,120,120
电动机,电动机总马力(Ps),163,163,163,163
电动机,电动机总扭矩(N·m),240,240,240,240
电动机,前电动机最大功率(kW),120,120,120,120
电动机,前电动机最大扭矩(N·m),240,240,240,240
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),530,530,530,530
电池/充电,电池能量(kWh),64.4,64.4,64.4,64.4
电池/充电,百公里耗电量(kWh/100km),13.8,13.8,13.8,13.8
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.58,0.58,0.58,0.58
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),12,12,12,12
电池/充电,电池慢充电量范围(%),5-100,5-100,5-100,5-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/65 R17,● 225/65 R17,● 225/65 R17,● 225/65 R17
车轮制动,后轮胎规格,● 225/65 R17,"● 225/65 R17
○ 235/60 R18",● 225/65 R17,● 225/65 R17
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,-,-
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 2个
驾驶功能,巡航系统,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-
外观/防盗,轮圈材质,● 钢,"● 钢
○ 铝合金",● 钢,"● 钢
○ 铝合金"
外观/防盗,电动后备厢,-,●,-,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,-,-,-,-
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,-,-,-,-
车外灯光,自动头灯,-,-,-,-
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,车内化妆镜,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,● 电动调节,● 电动调节
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 13英寸,● 13英寸,● 13英寸,● 13英寸
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●
互联/智能化,可见即可说,●,●,●,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,-,-,-,-
互联/智能化,Wi-Fi热点,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个
车内充电,手机无线充电功能,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副 ●,-,主 ● /副 ●
座椅配置,前排座椅功能,-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)",-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)"
座椅配置,电动座椅记忆功能,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
