セクション,項目,星光L 2026款 260km 六座舒享型,星光L 2026款 260km 六座臻享型,星光L 2026款 260km 六座旗舰型,
,厂商指导价(元),11.28万 计算器,12.58万 计算器,13.58万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,–
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,–
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2026-07-16,2026-07-16,2026-07-16,–
基本参数,WLTC纯电续航里程(km),185,185,185,–
基本参数,CLTC纯电续航里程(km),260,260,260,–
基本参数,电池快充时间(小时),0.25,0.25,0.25,–
基本参数,电池慢充时间(小时),6.3,6.3,6.3,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,–
基本参数,最大功率(kW),-,-,-,–
基本参数,最大扭矩(N·m),-,-,-,–
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,–
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,–
基本参数,发动机,1.5L 106马力 L4,1.5L 106马力 L4,1.5L 106马力 L4,–
基本参数,电动机(Ps),231,231,231,–
基本参数,长*宽*高(mm),4980*1930*1760,4980*1930*1760,4980*1930*1760,–
基本参数,官方0-100km/h加速(s),8.2,8.2,8.2,–
基本参数,最高车速(km/h),190,190,190,–
基本参数,WLTC综合油耗(L/100km),0.88,0.88,0.88,–
基本参数,最低荷电状态油耗(L/100km)WLTC,5.9,5.9,5.9,–
基本参数,最低荷电状态油耗(L/100km)CLTC,4.9,4.9,4.9,–
基本参数,油电综合燃料消耗量(L/100km),3.14,3.14,3.14,–
基本参数,整车质保,-,-,-,–
基本参数,整备质量(kg),2085,2085,2150,–
基本参数,最大满载质量(kg),2700,2700,2700,–
车身,长度(mm),4980,4980,4980,–
车身,宽度(mm),1930,1930,1930,–
车身,高度(mm),1760,1760,1760,–
车身,轴距(mm),2950,2950,2950,–
车身,前轮距(mm),1630,1630,1630,–
车身,后轮距(mm),1645,1645,1645,–
车身,接近角(°),17,17,17,–
车身,离去角(°),21,21,21,–
车身,最小转弯半径(m),5.9,5.9,5.9,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 6,● 6,● 6,–
车身,油箱容积(L),52,52,52,–
车身,后备厢容积(L),383-1103,383-1103,383-1103,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,LBG,LBG,LBG,–
发动机,排量(mL),1498,1498,1498,–
发动机,排量(L),1.5,1.5,1.5,–
发动机,进气形式,自然吸气,自然吸气,自然吸气,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),106,106,106,–
发动机,最大功率(kW),78,78,78,–
发动机,最大功率转速(rpm),5800,5800,5800,–
发动机,最大扭矩(N·m),130,130,130,–
发动机,最大扭矩转速(rpm),4600-5000,4600-5000,4600-5000,–
发动机,最大净功率(kW),75,75,75,–
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
发动机,燃油标号,92号,92号,92号,–
发动机,供油方式,多点电喷,多点电喷,多点电喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铸铁,铸铁,铸铁,–
发动机,环保标准,国VI,国VI,国VI,–
