セクション,項目,AION N60 2026款 410 激光雷达Ultra,AION N60 2026款 510 激光雷达Ultra,AION N60 2026款 610 激光雷达Ultra,
,厂商指导价(元),10.98万 计算器,11.98万 计算器,12.98万 计算器,–
,经销商报价,10.98万起,11.98万起,12.98万起,–
基本参数,厂商,埃安,埃安,埃安,–
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,–
基本参数,能源类型,纯电动,纯电动,纯电动,–
基本参数,上市时间,2026-04-28,2026-04-28,2026-04-28,–
基本参数,CLTC纯电续航里程(km),410,510,610,–
基本参数,电池快充时间(小时),0.38,0.38,0.38,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,最大功率(kW),165,165,165,–
基本参数,最大扭矩(N·m),205,205,205,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,–
基本参数,电动机(Ps),224,224,224,–
基本参数,长*宽*高(mm),4615*1883*1673,4615*1883*1673,4615*1883*1673,–
基本参数,官方0-100km/h加速(s),7.9,7.9,8.5,–
基本参数,最高车速(km/h),160,160,160,–
基本参数,电能当量燃料消耗量(L/100km),1.34,1.36,1.37,–
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,–
基本参数,整备质量(kg),1630,1760,1850,–
基本参数,最大满载质量(kg),2075,2235,2305,–
车身,长度(mm),4615,4615,4615,–
车身,宽度(mm),1883,1883,1883,–
车身,高度(mm),1673,1673,1673,–
车身,轴距(mm),2775,2775,2775,–
车身,前轮距(mm),1600,1600,1600,–
车身,后轮距(mm),1600,1600,1600,–
车身,接近角(°),17,17,17,–
车身,离去角(°),24,24,24,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,后备厢容积(L),447,447,447,–
车身,风阻系数(Cd),-,-,-,–
电动机,前电动机品牌,锐湃动力,锐湃动力,锐湃动力,–
电动机,前电动机型号,TZ180XYD3A37,TZ180XYD3A37,TZ180XYD3A37,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),165,165,165,–
电动机,电动机总马力(Ps),224,224,224,–
电动机,电动机总扭矩(N·m),205,205,205,–
电动机,前电动机最大功率(kW),165,165,165,–
电动机,前电动机最大扭矩(N·m),205,205,205,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,前置,前置,前置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 因湃电池,● 因湃电池,● 因湃电池,–
电池/充电,电池特有技术,弹匣电池,弹匣电池,弹匣电池,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),410,510,610,–
电池/充电,电池能量(kWh),45.582,57.433,69.753,–
电池/充电,百公里耗电量(kWh/100km),11.5,11.7,11.8,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,电池快充时间(小时),0.38,0.38,0.38,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,–
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 215/55 R18,● 215/55 R18,● 215/55 R18,–
车轮制动,后轮胎规格,● 215/55 R18,● 215/55 R18,● 215/55 R18,–
车轮制动,备胎规格,-,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,●,●,●,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
主动安全,疲劳驾驶提示,●,●,●,–
主动安全,DOW开门预警,●,●,●,–
主动安全,前方碰撞预警,●,●,●,–
主动安全,后方碰撞预警,●,●,●,–
主动安全,哨兵模式/千里眼,●,●,●,–
主动安全,低速行车警告,●,●,●,–
主动安全,内置行车记录仪,●,●,●,–
主动安全,道路救援呼叫,●,●,●,–
主动安全,防侧翻系统,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,陡坡缓降,●,●,●,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,●,–
驾驶硬件,辅助驾驶芯片,● 高通骁龙8650,● 高通骁龙8650,● 高通骁龙8650,–
驾驶硬件,芯片总算力,● 200 TOPS,● 200 TOPS,● 200 TOPS,–
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,–
