セクション,セクション_ja,項目,項目_ja,2026年モデル 310 ラブエディション,2026年モデル 310 シェアエディション,2026年モデル 420 ラブエディション,2026年モデル 420 シェアエディション
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.89万元（日本円 約1,236,900円）","6.79万元（日本円 約1,425,900円）","6.89万元（日本円 約1,446,900円）","7.89万元（日本円 約1,656,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源
基本参数,基本仕様,级别,クラス,小型車,小型車,小型車,小型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2026-03-30,2026-03-30,2026-03-30,2026-03-30
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),310,310,420,420
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.28,0.28,0.28,0.28
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),58,58,90,90
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),90,90,115,115
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),79,79,122,122
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4195*1811*1569,4195*1811*1569,4195*1811*1573,4195*1811*1573
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),125,125,135,135
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.25,1.25,1.28,1.28
基本参数,基本仕様,整车质保,車両保証,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1275,1275,1360,1360
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1675,1675,1775,1775
车身,車体,长度(mm),全長(mm),4195,4195,4195,4195
车身,車体,宽度(mm),全幅(mm),1811,1811,1811,1811
车身,車体,高度(mm),全高(mm),1569,1569,1573,1573
