セクション,項目,尚界Z7 2026款 Max,尚界Z7 2026款 Max+,尚界Z7 2026款 Ultra,
,厂商指导价(元),21.98万 计算器,24.98万 计算器,29.98万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,SAIC 尚界,SAIC 尚界,SAIC 尚界,–
基本参数,级别,中大型车,中大型车,中大型车,–
基本参数,能源类型,纯电动,纯电动,纯电动,–
基本参数,上市时间,2026-04-22,2026-04-22,2026-04-22,–
基本参数,CLTC纯电续航里程(km),732,905,791,–
基本参数,电池快充时间(小时),0.25,0.25,0.25,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,最大功率(kW),264,264,434,–
基本参数,最大扭矩(N·m),460,460,760,–
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,–
基本参数,电动机(Ps),359,359,590,–
基本参数,长*宽*高(mm),5036*1976*1465,5036*1976*1445,5036*1976*1445,–
基本参数,官方0-100km/h加速(s),5.47,5.47,3.44,–
基本参数,最高车速(km/h),220,220,239,–
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,–
基本参数,整备质量(kg),2260,2210,2300,–
基本参数,最大满载质量(kg),2700,2650,2740,–
车身,长度(mm),5036,5036,5036,–
车身,宽度(mm),1976,1976,1976,–
车身,高度(mm),1465,1445,1445,–
车身,轴距(mm),3000,3000,3000,–
车身,前轮距(mm),1715,1715,1715,–
车身,后轮距(mm),1722,1722,1693,–
车身,接近角(°),13,13,13,–
车身,离去角(°),17,17,17,–
车身,最小转弯半径(m),-,-,5.5,–
车身,车身结构,掀背车,掀背车,掀背车,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,前备厢容积(L),90,90,90,–
车身,后备厢容积(L),476-1499,476-1499,476-1499,–
车身,风阻系数(Cd),-,-,0.22,–
电动机,前电动机品牌,-,-,上海汽车,–
电动机,后电动机品牌,上海汽车,上海汽车,上海汽车,–
电动机,前电动机型号,-,-,TZ180XS0953,–
电动机,后电动机型号,TZ215XY1211,TZ215XY1211,TZ215XY1211,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),264,264,434,–
电动机,电动机总马力(Ps),359,359,590,–
电动机,电动机总扭矩(N·m),460,460,760,–
电动机,前电动机最大功率(kW),-,-,170,–
电动机,前电动机最大扭矩(N·m),-,-,300,–
电动机,后电动机最大功率(kW),264,264,264,–
电动机,后电动机最大扭矩(N·m),460,460,460,–
电动机,驱动电机数,单电机,单电机,双电机,–
电动机,电机布局,后置,后置,前置+后置,–
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,"● 宁德时代(时代上汽)
● 中创新航",● 宁德时代(江苏时代),● 宁德时代(江苏时代),–
电池/充电,电池特有技术,巨鲸电池,巨鲸电池,巨鲸电池,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),732,905,791,–
电池/充电,电池能量(kWh),81,100,100,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,高压快充,支持,支持,支持,–
电池/充电,高压平台（V）,800,800,800,–
电池/充电,电池快充时间(分钟),15,15,15,–
电池/充电,电池快充时间(小时),0.25,0.25,0.25,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱,–
底盘转向,四驱形式,-,-,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,"● 245/50 R19
○ 245/45 R20 (6000元)","● 245/50 R19
○ 245/45 R20 (6000元)",● 245/45 R20,–
车轮制动,后轮胎规格,"● 245/50 R19
○ 275/40 R20","● 245/50 R19
○ 275/40 R20",● 275/40 R20,–
车轮制动,备胎规格,-,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
被动安全,前排中间气囊,●,●,●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
主动安全,疲劳驾驶提示,●,●,●,–
主动安全,DOW开门预警,●,●,●,–
主动安全,前方碰撞预警,●,●,●,–
主动安全,后方碰撞预警,●,●,●,–
主动安全,哨兵模式/千里眼,●,●,●,–
主动安全,低速行车警告,●,●,●,–
主动安全,内置行车记录仪,●,●,●,–
主动安全,道路救援呼叫,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,陡坡缓降,●,●,●,–
驾驶操控,可变悬架功能,● 悬架软硬调节,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",–
驾驶操控,空气悬架,-,●,●,–
驾驶操控,空气悬挂类型,-,● 单腔,● 单腔,–
