セクション,セクション_ja,項目,項目_ja,2026年モデル 102kWh 行政通路ラグジュアリー版,2026年モデル 102kWh 行政センターラグジュアリー版,2026年モデル 102kWh 行政通路サイン版,2026年モデル 102kWh 行政センターサイン版,2026年モデル 102kWh ホライゾン通路特別版,2026年モデル 102kWh ホライゾンセンター特別版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"49.80万元（日本円 約10,458,000円）","49.80万元（日本円 約10,458,000円）","55.80万元（日本円 約11,718,000円）","55.80万元（日本円 約11,718,000円）","62.80万元（日本円 約13,188,000円）","62.80万元（日本円 約13,188,000円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,蔚来,蔚来,蔚来,蔚来,蔚来,蔚来
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2026-05-27,2026-05-27,2026-05-27,2026-05-27,2026-05-27,2026-05-27
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),620,620,600,600,600,600
基本参数,基本仕様,最大功率(kW),最大出力(kW),520,520,520,520,520,520
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),700,700,700,700,700,700
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),707,707,707,707,707,707
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5365×2029×1870,5365×2029×1870,5365×2029×1870,5365×2029×1870,5365×2029×1870,5365×2029×1870
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.3,4.3,4.3,4.3,4.3,4.3
基本参数,基本仕様,官方100-0km/h制动(m),公式100-0km/h制動距離(m),35.3,35.3,35.3,35.3,35.3,35.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),220,220,220,220,220,220
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),2.02,2.02,2.1,2.1,2.1,2.1
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,首任车主质保政策,初代オーナー保証制度,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2845,2845,2845,2845,2845,2845
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3490,3490,3490,3490,3490,3490
车身,車体,长度(mm),全長(mm),5365,5365,5365,5365,5365,5365
车身,車体,宽度(mm),全幅(mm),2029,2029,2029,2029,2029,2029
车身,車体,高度(mm),全高(mm),1870,1870,1870,1870,1870,1870
车身,車体,轴距(mm),ホイールベース(mm),3250,3250,3250,3250,3250,3250
车身,車体,前轮距(mm),前トレッド(mm),1730,1730,1730,1730,1730,1730
车身,車体,后轮距(mm),後トレッド(mm),1758,1758,1758,1758,1758,1758
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.4,5.4,5.4,5.4,5.4,5.4
车身,車体,最大涉水深度(mm),最大渡河深度(mm),810,810,810,810,810,810
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 6,● 6,● 6,● 6,● 6,● 6
车身,車体,前备厢容积(L),フロントトランク容量(L),216,216,216,216,216,216
车身,車体,后备厢容积(L),リアトランク容量(L),600-1586,600-1586,600-1586,600-1586,600-1586,600-1586
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.26,0.26,0.26,0.26,0.26,0.26
电动机,モーター,前电动机品牌,前モーターブランド,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン
电动机,モーター,后电动机品牌,後モーターブランド,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン,蔚来パワートレイン
电动机,モーター,前电动机型号,前モーター型式,YS198S002,YS198S002,YS198S002,YS198S002,YS198S002,YS198S002
电动机,モーター,后电动机型号,後モーター型式,TZ198Y001,TZ198Y001,TZ198Y001,TZ198Y001,TZ198Y001,TZ198Y001
电动机,モーター,电机类型,モーター種類,前：誘導/非同期　後：永久磁石/同期,前：誘導/非同期　後：永久磁石/同期,前：誘導/非同期　後：永久磁石/同期,前：誘導/非同期　後：永久磁石/同期,前：誘導/非同期　後：永久磁石/同期,前：誘導/非同期　後：永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),520,520,520,520,520,520
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),707,707,707,707,707,707
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),700,700,700,700,700,700
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),180,180,180,180,180,180
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),300,300,300,300,300,300
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),340,340,340,340,340,340
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),400,400,400,400,400,400
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置
电动机,モーター,三电首任车主质保政策,三電初代オーナー保証制度,● 10年走行距離無制限（免責条項は公式基準による）,● 10年走行距離無制限（免責条項は公式基準による）,● 10年走行距離無制限（免責条項は公式基準による）,● 10年走行距離無制限（免責条項は公式基準による）,● 10年走行距離無制限（免責条項は公式基準による）,● 10年走行距離無制限（免責条項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,"● CATL
● CATL（江蘇時代）
● CATL（中州時代）","● CATL
● CATL（江蘇時代）
● CATL（中州時代）","● CATL
● CATL（江蘇時代）
● CATL（中州時代）","● CATL
● CATL（江蘇時代）
● CATL（中州時代）","● CATL
● CATL（江蘇時代）
● CATL（中州時代）","● CATL
● CATL（江蘇時代）
● CATL（中州時代）"
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,换电,バッテリー交換対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),620,620,600,600,600,600
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),102,102,102,102,102,102
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),17.4,17.4,18.1,18.1,18.1,18.1
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,高压快充,高圧急速充電,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,高压平台（V）,高圧プラットフォーム（V）,900,900,900,900,900,900
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
变速箱,トランスミッション,简称,略称,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電子パワーステアリング,● 電子パワーステアリング,● 電子パワーステアリング,● 電子パワーステアリング,● 電子パワーステアリング,● 電子パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
底盘转向,シャシー・ステアリング,线控智能底盘,ワイヤ制御インテリジェントシャシー,● ワイヤ制御ステアリング,● ワイヤ制御ステアリング,"● ワイヤ制御ステアリング
● アクティブサスペンション","● ワイヤ制御ステアリング
● アクティブサスペンション","● ワイヤ制御ステアリング
● アクティブサスペンション","● ワイヤ制御ステアリング
● アクティブサスペンション"
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 265/50 R21
○ 275/45 R22（3.00万元）
○ 275/40 R23（3.00万元）","● 265/50 R21
○ 275/45 R22（3.00万元）
○ 275/40 R23（3.00万元）","● 275/45 R22
○ 275/40 R23（1.85万元）","● 275/45 R22
○ 275/40 R23（1.85万元）","● 275/45 R22
○ 275/40 R23（2000元）","● 275/45 R22
○ 275/40 R23（2000元）"
