セクション,項目,别克至境E7 2026款 1600 大满配版,别克至境E7 2026款 1600 超满配版,别克至境E7 2026款 1600 超满配Turbo版,
,厂商指导价(元),15.99万 计算器,17.99万 计算器,19.99万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,–
基本参数,级别,中型SUV,中型SUV,中型SUV,–
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2026-04-22,2026-04-22,2026-04-22,–
基本参数,WLTC纯电续航里程(km),168,168,163,–
基本参数,CLTC纯电续航里程(km),235,235,230,–
基本参数,电池快充时间(小时),0.25,0.25,0.25,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,最大功率(kW),237,237,280,–
基本参数,最大扭矩(N·m),460,460,560,–
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,–
基本参数,发动机,1.5L 98马力 L4,1.5L 98马力 L4,1.5T 156马力 L4,–
基本参数,电动机(Ps),224,224,224,–
基本参数,长*宽*高(mm),4850*1910*1676,4850*1910*1676,4850*1910*1676,–
基本参数,官方0-100km/h加速(s),7.1,7.1,7,–
基本参数,最高车速(km/h),180,180,210,–
基本参数,WLTC综合油耗(L/100km),0.59,0.59,0.55,–
基本参数,最低荷电状态油耗(L/100km)WLTC,5.32,5.32,5.52,–
基本参数,油电综合燃料消耗量(L/100km),2.6,2.6,2.58,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,–
基本参数,整备质量(kg),1950,1950,1995,–
基本参数,最大满载质量(kg),2400,2400,2450,–
车身,长度(mm),4850,4850,4850,–
车身,宽度(mm),1910,1910,1910,–
车身,高度(mm),1676,1676,1676,–
车身,轴距(mm),2850,2850,2850,–
车身,前轮距(mm),1641,1641,1641,–
车身,后轮距(mm),1645,1645,1645,–
车身,接近角(°),16,16,16,–
车身,离去角(°),18,18,18,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,油箱容积(L),65,65,65,–
车身,后备厢容积(L),650-1798,650-1798,650-1798,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,15FMC,15FMC,LD3,–
发动机,排量(mL),1498,1498,1498,–
发动机,排量(L),1.5,1.5,1.5,–
发动机,进气形式,自然吸气,自然吸气,涡轮增压,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),98,98,156,–
发动机,最大功率(kW),72,72,115,–
发动机,最大功率转速(rpm),5300,5300,5500,–
发动机,最大扭矩(N·m),130,130,230,–
发动机,最大扭矩转速(rpm),4500,4500,2500-4000,–
发动机,最大净功率(kW),70,70,110,–
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,–
发动机,燃油标号,92号,92号,92号,–
发动机,供油方式,多点电喷,多点电喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
电动机,前电动机型号,TZ210XYEEH,TZ210XYEEH,TZ210XYEEH,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),165,165,165,–
电动机,电动机总马力(Ps),224,224,224,–
电动机,电动机总扭矩(N·m),330,330,330,–
电动机,前电动机最大功率(kW),165,165,165,–
电动机,前电动机最大扭矩(N·m),330,330,330,–
电动机,系统综合功率(kW),237,237,280,–
电动机,系统综合马力(Ps),322,322,381,–
电动机,系统综合扭矩(N·m),460,460,560,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,前置,前置,前置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 正力新能,● 正力新能,● 宁德时代(时代上汽),–
电池/充电,电池冷却方式,直冷,直冷,直冷,–
电池/充电,WLTC纯电续航里程(km),168,168,163,–
电池/充电,CLTC纯电续航里程(km),235,235,230,–
电池/充电,CLTC综合续航(km),1630,1630,1600,–
电池/充电,电池能量(kWh),32.6,32.6,32.6,–
电池/充电,百公里耗电量(kWh/100km),17.3,17.3,17.5,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,电池快充时间(小时),0.25,0.25,0.25,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
