セクション,項目,欧拉5 2026款 1.5T Hi2电混 Air版,欧拉5 2026款 1.5T Hi2电混 Max版,欧拉5 2026款 1.5T Air版,欧拉5 2026款 1.5T Max版
,厂商指导价(元),8.98万 计算器,9.98万 计算器,7.98万 计算器,8.98万 计算器
,经销商报价,7.98万起,8.98万起,6.98万起,7.98万起
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-25,2026-04-25,2026-04-25,2026-04-25
基本参数,最大功率(kW),166,166,135,135
基本参数,最大扭矩(N·m),476,476,275,275
基本参数,变速箱,2挡DHT,2挡DHT,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 184马力 L4,1.5T 184马力 L4
基本参数,电动机(Ps),190,190,-,-
基本参数,长*宽*高(mm),4471*1833*1641,4471*1833*1641,4471*1833*1641,4471*1833*1641
基本参数,官方0-100km/h加速(s),7.7,7.7,8.9,8.9
基本参数,最高车速(km/h),185,185,190,190
基本参数,WLTC综合油耗(L/100km),4.5,4.5,6.4,6.4
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1540,1565,1440,1465
基本参数,最大满载质量(kg),1965,1965,1865,1865
车身,长度(mm),4471,4471,4471,4471
车身,宽度(mm),1833,1833,1833,1833
车身,高度(mm),1641,1641,1641,1641
车身,轴距(mm),2720,2720,2720,2720
车身,前轮距(mm),1583,1583,1583,1583
车身,后轮距(mm),1577,1577,1577,1577
车身,接近角(°),17,17,17,17
车身,离去角(°),25,25,25,25
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,55,55
车身,后备厢容积(L),-,-,-,-
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,GW4B15M,GW4B15M,GW4B15L,GW4B15L
发动机,排量(mL),1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,184,184
发动机,最大功率(kW),115,115,135,135
发动机,最大功率转速(rpm),5500-6000,5500-6000,5500-6000,5500-6000
发动机,最大扭矩(N·m),243,243,275,275
发动机,最大扭矩转速(rpm),1800-4000,1800-4000,1500-4000,1500-4000
发动机,最大净功率(kW),112,112,130,130
发动机,发动机特有技术,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、VGT增压器、双VVT,米勒循环、VGT增压器、双VVT
发动机,能源类型,油电混合,油电混合,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,-,-
电动机,电动机总功率(kW),140,140,-,-
电动机,电动机总马力(Ps),190,190,-,-
电动机,电动机总扭矩(N·m),236,236,-,-
电动机,前电动机最大功率(kW),140,140,-,-
电动机,前电动机最大扭矩(N·m),236,236,-,-
电动机,系统综合功率(kW),166,166,-,-
电动机,系统综合马力(Ps),226,226,-,-
电动机,系统综合扭矩(N·m),476,476,-,-
电动机,驱动电机数,单电机,单电机,-,-
电动机,电机布局,前置,前置,-,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,-,-
电池/充电,电芯品牌,● 蜂巢能源,● 蜂巢能源,-,-
变速箱,简称,2挡DHT,2挡DHT,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,2,2,7,7
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
