セクション,項目,博越REV 2026款 220km 长续航铂金增程智享版,博越REV 2026款 220km 长续航铂金增程智尊版,博越REV 2026款 375km 超长续航铂金增程智尊版,
,厂商指导价(元),11.39万 计算器,12.39万 计算器,12.69万 计算器,–
,经销商报价,暂无报价,暂无报价,暂无报价,–
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,–
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,–
基本参数,能源类型,增程式,增程式,增程式,–
基本参数,环保标准,国VI,国VI,国VI,–
基本参数,上市时间,2026-03-31,2026-03-31,2026-03-31,–
基本参数,WLTC纯电续航里程(km),156,156,280,–
基本参数,CLTC纯电续航里程(km),220,220,375,–
基本参数,电池快充时间(小时),0.25,0.25,0.4,–
基本参数,电池慢充时间(小时),4.2,4.2,6.9,–
基本参数,电池快充电量范围(%),30-80,30-80,30-80,–
基本参数,最大功率(kW),160,160,160,–
基本参数,最大扭矩(N·m),327,327,327,–
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,–
基本参数,发动机,增程器 112马力,增程器 112马力,增程器 112马力,–
基本参数,电动机(Ps),218,218,218,–
基本参数,长*宽*高(mm),4680*1892*1650,4680*1892*1650,4680*1892*1650,–
基本参数,官方0-100km/h加速(s),7.3,7.3,8.4,–
基本参数,最高车速(km/h),185,185,185,–
基本参数,WLTC综合油耗(L/100km),0.73,0.73,0.33,–
基本参数,最低荷电状态油耗(L/100km)WLTC,4.95,4.95,5.15,–
基本参数,最低荷电状态油耗(L/100km)CLTC,4.4,4.4,4.6,–
基本参数,电能当量燃料消耗量(L/100km),1.87,1.87,2.09,–
基本参数,油电综合燃料消耗量(L/100km),2.60,2.60,2.42,–
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,–
基本参数,整备质量(kg),1760,1760,1960,–
基本参数,最大满载质量(kg),2155,2155,2355,–
车身,长度(mm),4680,4680,4680,–
车身,宽度(mm),1892,1892,1892,–
车身,高度(mm),1650,1650,1650,–
车身,轴距(mm),2778,2778,2778,–
车身,前轮距(mm),1600,1600,1600,–
车身,后轮距(mm),1600,1600,1600,–
车身,接近角(°),16,16,16,–
车身,离去角(°),22,22,22,–
车身,最小转弯半径(m),5.4,5.4,5.4,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,油箱容积(L),52,52,52,–
车身,后备厢容积(L),402-1593,402-1593,402-1593,–
车身,风阻系数(Cd),-,-,-,–
发动机,发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,–
发动机,排量(mL),1499,1499,1499,–
发动机,排量(L),1.5,1.5,1.5,–
发动机,进气形式,自然吸气,自然吸气,自然吸气,–
发动机,发动机布局,横置,横置,横置,–
发动机,气缸排列形式,L,L,L,–
发动机,气缸数(个),4,4,4,–
发动机,每缸气门数(个),4,4,4,–
发动机,配气机构,DOHC,DOHC,DOHC,–
发动机,最大马力(Ps),112,112,112,–
发动机,最大功率(kW),82,82,82,–
发动机,最大功率转速(rpm),6000,6000,6000,–
发动机,最大扭矩(N·m),136,136,136,–
发动机,最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,–
发动机,最大净功率(kW),79,79,79,–
发动机,能源类型,增程式,增程式,增程式,–
发动机,燃油标号,92号,92号,92号,–
发动机,供油方式,多点电喷,多点电喷,多点电喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
电动机,前电动机型号,TZ210XY002,TZ210XY002,TZ210XY002,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),160,160,160,–
电动机,电动机总马力(Ps),218,218,218,–
电动机,电动机总扭矩(N·m),327,327,327,–
电动机,前电动机最大功率(kW),160,160,160,–
电动机,前电动机最大扭矩(N·m),327,327,327,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,前置,前置,前置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 吉曜通行,● 吉曜通行,● 吉曜通行,–
电池/充电,电池冷却方式,直冷,直冷,液冷,–
电池/充电,WLTC纯电续航里程(km),156,156,280,–
电池/充电,CLTC纯电续航里程(km),220,220,375,–
电池/充电,WLTC综合续航(km),1146,1146,1230,–
电池/充电,CLTC综合续航(km),1400,1400,1525,–
电池/充电,电池能量(kWh),28.3,28.3,50.4,–
电池/充电,百公里耗电量(kWh/100km),16.1,16.1,18.0,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,电池快充时间(小时),0.25,0.25,0.4,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,电池慢充时间(小时),4.2,4.2,6.9,–
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
