セクション,項目,长城H10 2026款 Hi4 Max 五座版,长城H10 2026款 Hi4 Pro 六座版,长城H10 2026款 Hi4 Max 六座版,长城H10 2026款 Hi4 Ultra 六座版
,厂商指导价(元),20.98万 计算器,21.18万 计算器,22.18万 计算器,23.18万 计算器
,经销商报价,20.18万起,20.38万起,21.38万起,22.38万起
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-08-05,2026-08-05,2026-08-05,2026-08-05
基本参数,WLTC纯电续航里程(km),180,176,176,176
基本参数,CLTC纯电续航里程(km),232,227,227,227
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25
基本参数,电池慢充时间(小时),6.6,6.6,6.6,6.6
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),15-100,15-100,15-100,15-100
基本参数,最大功率(kW),440,440,440,440
基本参数,最大扭矩(N·m),722,722,722,722
基本参数,变速箱,4挡DHT,4挡DHT,4挡DHT,4挡DHT
基本参数,车身结构,5门5座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,1.5T 167马力 L4,1.5T 167马力 L4,1.5T 167马力 L4,1.5T 167马力 L4
基本参数,电动机(Ps),435,435,435,435
基本参数,长*宽*高(mm),5138*2050*1970,5299*2050*1970,5299*2050*1970,5299*2050*1970
基本参数,官方0-100km/h加速(s),4.9,4.9,4.9,4.9
基本参数,最高车速(km/h),190,190,190,190
基本参数,WLTC综合油耗(L/100km),0.87,0.9,0.9,0.9
基本参数,最低荷电状态油耗(L/100km)WLTC,6.6,6.7,6.7,6.7
基本参数,油电综合燃料消耗量(L/100km),3.41,3.48,3.48,3.48
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2510,2570,2570,2570
基本参数,最大满载质量(kg),2985,3120,3120,3120
车身,长度(mm),5138,5299,5299,5299
车身,宽度(mm),2050,2050,2050,2050
车身,高度(mm),1970,1970,1970,1970
车身,轴距(mm),3000,3000,3000,3000
车身,前轮距(mm),1746,1746,1746,1746
车身,后轮距(mm),1734,1734,1734,1734
车身,最小离地间隙(mm),220,220,220,220
车身,接近角(°),24,24,24,24
车身,离去角(°),30,25,25,25
车身,纵向通过角(°),20,20,20,20
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 6,● 6,● 6
车身,油箱容积(L),65,65,65,65
车身,后备厢容积(L),815-1885,316-1056,316-1056,316-1056
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,GW4B15E,GW4B15E,GW4B15E,GW4B15E
发动机,排量(mL),1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
