category_id,category,month,rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
1,燃油车,2026-06,1,6004,星越L,Monjaro,15220,13.97-17.97万,https://www.autohome.com.cn/6004/#pvareaid=6861512,./images/by_series/6004_faa596e7.png,https://www.autohome.com.cn/6004/#pvareaid=6861512,吉利汽车,Geely（吉利）
1,燃油车,2026-06,2,6814,博越L,Boyue L,14970,9.99-12.99万,https://www.autohome.com.cn/6814/#pvareaid=6861512,./images/by_series/6814_232d3619.png,https://www.autohome.com.cn/6814/#pvareaid=6861512,吉利汽车,Geely（吉利）
1,燃油车,2026-06,3,5179,长安CS75PLUS,CS75 Plus,11682,10.89-14.39万,https://www.autohome.com.cn/5179/#pvareaid=6861512,./images/by_series/5179_a9881cf4.png,https://www.autohome.com.cn/5179/#pvareaid=6861512,长安,長安
1,燃油车,2026-06,4,4701,缤越,Coolray,11310,6.68-9.78万,https://www.autohome.com.cn/4701/#pvareaid=6861512,./images/by_series/4701_02971080.png,https://www.autohome.com.cn/4701/#pvareaid=6861512,吉利汽车,Geely（吉利）
1,燃油车,2026-06,5,4693,瑞虎8,Tiggo 8,9835,9.99-12.99万,https://www.autohome.com.cn/4693/#pvareaid=6861512,./images/by_series/4693_5ef737a0.png,https://www.autohome.com.cn/4693/#pvareaid=6861512,奇瑞,Chery（奇瑞）
1,燃油车,2026-06,6,5273,星瑞,Preface,9542,9.87-14.67万,https://www.autohome.com.cn/5273/#pvareaid=6861512,./images/by_series/5273_199554b9.png,https://www.autohome.com.cn/5273/#pvareaid=6861512,吉利汽车,Geely（吉利）
1,燃油车,2026-06,7,5771,北京越野BJ30,BAIC BJ30,8030,9.99-13.99万,https://www.autohome.com.cn/5771/#pvareaid=6861512,./images/by_series/5771_78603b4f.png,https://www.autohome.com.cn/5771/#pvareaid=6861512,北京越野,北京越野
1,燃油车,2026-06,8,7552,长安X5 PLUS,X5 Plus,7923,6.99-10.39万,https://www.autohome.com.cn/7552/#pvareaid=6861512,./images/by_series/7552_cee67d18.png,https://www.autohome.com.cn/7552/#pvareaid=6861512,长安,長安
1,燃油车,2026-06,9,2429,逸动,Eado,7912,7.29-9.99万,https://www.autohome.com.cn/2429/#pvareaid=6861512,./images/by_series/2429_4fdfc92f.png,https://www.autohome.com.cn/2429/#pvareaid=6861512,长安,長安
1,燃油车,2026-06,10,3556,帝豪,Geely Emgrand,7143,6.29-9.79万,https://www.autohome.com.cn/3556/#pvareaid=6861512,./images/by_series/3556_5bf02951.png,https://www.autohome.com.cn/3556/#pvareaid=6861512,吉利汽车,Geely（吉利）
1,燃油车,2026-06,11,6664,艾瑞泽8,Arrizo 8,7127,9.99-14.89万,https://www.autohome.com.cn/6664/#pvareaid=6861512,./images/by_series/6664_18fbc799.png,https://www.autohome.com.cn/6664/#pvareaid=6861512,奇瑞,Chery（奇瑞）
1,燃油车,2026-06,12,5770,哈弗大狗,Big Dog,6882,12.39-14.99万,https://www.autohome.com.cn/5770/#pvareaid=6861512,./images/by_series/5770_5adc7a2b.png,https://www.autohome.com.cn/5770/#pvareaid=6861512,哈弗,Haval（哈弗）
1,燃油车,2026-06,13,4410,红旗H5,H5,6456,15.98-21.58万,https://www.autohome.com.cn/4410/#pvareaid=6861512,./images/by_series/4410_30103952.png,https://www.autohome.com.cn/4410/#pvareaid=6861512,红旗,紅旗
1,燃油车,2026-06,14,4174,传祺M8,Trumpchi M8,6075,18.98-23.98万,https://www.autohome.com.cn/4174/#pvareaid=6861512,./images/by_series/4174_f458b2a2.png,https://www.autohome.com.cn/4174/#pvareaid=6861512,广汽传祺,広汽伝祺
1,燃油车,2026-06,15,6606,捷途旅行者,Jetour Traveller,5016,13.99-23.99万,https://www.autohome.com.cn/6606/#pvareaid=6861512,./images/by_series/6606_b5af936b.png,https://www.autohome.com.cn/6606/#pvareaid=6861512,捷途,Jetour（捷途）
1,燃油车,2026-06,16,7072,瑞虎9,Tiggo 9,3852,14.79-20.39万,https://www.autohome.com.cn/7072/#pvareaid=6861512,./images/by_series/7072_a6af04ef.png,https://www.autohome.com.cn/7072/#pvareaid=6861512,奇瑞,Chery（奇瑞）
1,燃油车,2026-06,17,5048,红旗HS5,HS5,3474,18.38-24.98万,https://www.autohome.com.cn/5048/#pvareaid=6861512,./images/by_series/5048_e233179b.png,https://www.autohome.com.cn/5048/#pvareaid=6861512,红旗,紅旗
1,燃油车,2026-06,18,5174,五菱宏光V,Wuling Hongguang V,3018,4.46-5.28万,https://www.autohome.com.cn/5174/#pvareaid=6861512,./images/by_series/5174_064f063e.png,https://www.autohome.com.cn/5174/#pvareaid=6861512,五菱汽车,Wuling（五菱）
1,燃油车,2026-06,19,5810,坦克300,Tank 300,2981,19.98-23.48万,https://www.autohome.com.cn/5810/#pvareaid=6861512,./images/by_series/5810_fd03fc78.png,https://www.autohome.com.cn/5810/#pvareaid=6861512,坦克,坦克
1,燃油车,2026-06,20,7828,捷途自由者,Jetour Freeer,2958,11.49-15.49万,https://www.autohome.com.cn/7828/#pvareaid=6861512,./images/by_series/7828_5b798407.png,https://www.autohome.com.cn/7828/#pvareaid=6861512,捷途,Jetour（捷途）
1,燃油车,2026-06,21,4402,领克03,Lynk & Co 03,2816,12.18-42.03万,https://www.autohome.com.cn/4402/#pvareaid=6861512,./images/by_series/4402_18371ba7.png,https://www.autohome.com.cn/4402/#pvareaid=6861512,领克,Lynk & Co
1,燃油车,2026-06,22,5498,长安CS55PLUS,CS55 PLUS,2647,9.29-11.39万,https://www.autohome.com.cn/5498/#pvareaid=6861512,./images/by_series/5498_fdc320b1.png,https://www.autohome.com.cn/5498/#pvareaid=6861512,长安,長安
1,燃油车,2026-06,23,4683,捷途X70,X70,2554,9.99-14.99万,https://www.autohome.com.cn/4683/#pvareaid=6861512,./images/by_series/4683_34bc4ceb.png,https://www.autohome.com.cn/4683/#pvareaid=6861512,捷途,Jetour（捷途）
1,燃油车,2026-06,24,2123,哈弗H6,Haval H6,2310,9.89-14.39万,https://www.autohome.com.cn/2123/#pvareaid=6861512,./images/by_series/2123_8e0c12d8.png,https://www.autohome.com.cn/2123/#pvareaid=6861512,哈弗,Haval（哈弗）
