rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,星愿,Geely Xingyuan,39651,,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.48-9.48万,./images/by_series/7806_8b6617d4.png,吉利银河,Geely Galaxy（吉利銀河）
2,零跑A10,Leapmotor A10,30652,,https://www.autohome.com.cn/8433/#pvareaid=6861512,6.58-8.68万,./images/by_series/8433_1b68dcfe.png,零跑汽车,Leapmotor
3,Model Y,モデルY,29260,,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-36.90万,./images/by_series/5769_29287643.png,特斯拉,Tesla
4,钛7,レオパード7 (Leopard 7),23471,1.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_237f570e.png,方程豹,Fangchengbao（方程豹）
5,元UP,Atto 2,22958,1.0,https://www.autohome.com.cn/7538/#pvareaid=6861512,7.48-11.98万,./images/by_series/7538_fdb899f6.png,比亚迪,BYD
6,Model 3,モデル3,20787,187.0,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,./images/by_series/5346_3379b3ea.png,特斯拉,Tesla
7,长安启源Q05,Qiyuan Q05,17349,,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,./images/by_series/8241_eea76be0.png,长安启源,長安啓源
8,理想i6,Li Xiang i6,16979,,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,./images/by_series/8183_54dc76da.png,理想汽车,Li Auto
9,海豚,ドルフィン (Dolphin),16829,3.0,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,./images/by_series/6139_57696108.png,比亚迪,BYD
10,小米SU7,SU7,16518,-6.0,https://www.autohome.com.cn/6962/#pvareaid=6861512,21.99-30.39万,./images/by_series/6962_1077f967.png,小米汽车,Xiaomi（小米）
11,宋Ultra,Song Ultra,15903,,https://www.autohome.com.cn/8511/#pvareaid=6861512,12.99-17.99万,./images/by_series/8511_7351cb25.png,比亚迪,BYD
12,缤果Pro,Bin Guo Pro,14695,7.0,https://www.autohome.com.cn/8585/#pvareaid=6861512,5.68-7.08万,./images/by_series/8585_2188a0ec.png,五菱汽车,Wuling（五菱）
13,卡罗拉锐放,カローラクロス,14675,-3.0,https://www.autohome.com.cn/6428/#pvareaid=6861512,12.68-15.98万,./images/by_series/6428_aae9086a.png,丰田,トヨタ
14,博越L,Boyue L,14302,2.0,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,./images/by_series/6814_232d3619.png,吉利汽车,Geely（吉利）
15,朗逸,ラヴィーダ (Lavida),14226,2.0,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,./images/by_series/614_cb1f5741.png,大众,Volkswagen
16,RAV4荣放,RAV4,14062,-2.0,https://www.autohome.com.cn/770/#pvareaid=6861512,16.98-22.88万,./images/by_series/770_aebec05a.png,丰田,トヨタ
17,宋Pro新能源,Sealion 5 DM-i,13954,-4.0,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,./images/by_series/5279_6b583f23.png,比亚迪,BYD
18,海狮06,シーライオン06 (Sealion 06),13887,-9.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,12.99-19.98万,./images/by_series/8087_ab44376d.png,比亚迪,BYD
19,小米YU7,YU7,13635,13.0,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,./images/by_series/7793_8e1156a4.png,小米汽车,Xiaomi（小米）
20,星越L,Monjaro,13287,-2.0,https://www.autohome.com.cn/6004/#pvareaid=6861512,13.97-17.97万,./images/by_series/6004_aef1d886.png,吉利汽车,Geely（吉利）
21,MG4,MG4,13089,-6.0,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,./images/by_series/6651_b983bc42.png,MG,MG
22,QQ3 EV,QQ3 EV,12579,2.0,https://www.autohome.com.cn/8499/#pvareaid=6861512,5.89-7.89万,./images/by_series/8499_0a822237.png,奇瑞QQ,Chery（奇瑞）
23,轩逸,シルフィ,12227,30.0,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,./images/by_series/448_1c5dc236.png,日产,日産
24,海豹06,シール06 (Seal 06),12203,20.0,https://www.autohome.com.cn/7588/#pvareaid=6861512,9.68-15.59万,./images/by_series/7588_c8b995ad.png,比亚迪,BYD
25,速腾,サギター (Sagitar),12097,-4.0,https://www.autohome.com.cn/442/#pvareaid=6861512,9.38-16.49万,./images/by_series/442_fffabf8a.png,大众,Volkswagen
26,探岳,タイロン (Tayron),11825,-1.0,https://www.autohome.com.cn/4744/#pvareaid=6861512,19.89-25.99万,./images/by_series/4744_746b217e.png,大众,Volkswagen
27,途观L,ティグアンL (Tiguan L),11748,-1.0,https://www.autohome.com.cn/4274/#pvareaid=6861512,18.68-26.68万,./images/by_series/4274_39847c63.png,大众,Volkswagen
28,秦PLUS,Qin PLUS,11117,-5.0,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,./images/by_series/5964_48dee1f1.png,比亚迪,BYD
29,迈腾,マゴタン (Magotan),11085,1.0,https://www.autohome.com.cn/496/#pvareaid=6861512,17.49-24.69万,./images/by_series/496_6cb28c0a.png,大众,Volkswagen
30,宏光MINIEV,ウーリンMINIEV,11033,-3.0,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,./images/by_series/5714_148c34d5.png,五菱汽车,Wuling（五菱）
31,AION i60,AION i60,11027,-9.0,https://www.autohome.com.cn/8245/#pvareaid=6861512,10.28-13.58万,./images/by_series/8245_363be78a.png,埃安,Aiways（埃安）
32,蔚来ES8,NIO ES8,10991,-3.0,https://www.autohome.com.cn/4427/#pvareaid=6861512,38.28-44.68万,./images/by_series/4427_fc798676.png,蔚来,NIO（蔚来）
33,凯美瑞,カムリ,10593,-13.0,https://www.autohome.com.cn/110/#pvareaid=6861512,17.18-25.98万,./images/by_series/110_4f1ef7a5.png,丰田,トヨタ
