rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,星愿,Geely Xingyuan,39651,,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.48-9.48万,/autohome_images/001_星愿.png,吉利银河,Geely Galaxy（吉利銀河）
2,零跑A10,Leapmotor A10,30652,,https://www.autohome.com.cn/8433/#pvareaid=6861512,6.58-8.68万,/autohome_images/002_零跑A10.png,零跑汽车,Leapmotor
3,Model Y,モデルY,29260,,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-36.90万,/autohome_images/003_Model_Y.png,特斯拉,Tesla
4,钛7,レオパード7 (Leopard 7),23471,1.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,/autohome_images/004_钛7.png,方程豹,Fangchengbao（方程豹）
5,元UP,Atto 2,22958,1.0,https://www.autohome.com.cn/7538/#pvareaid=6861512,7.48-11.98万,/autohome_images/005_元UP.png,比亚迪,BYD
6,Model 3,モデル3,20787,187.0,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,/autohome_images/006_Model_3.png,特斯拉,Tesla
7,长安启源Q05,Qiyuan Q05,17349,,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,/autohome_images/007_长安启源Q05.png,长安启源,長安啓源
8,理想i6,Li Xiang i6,16979,,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,/autohome_images/008_理想i6.png,理想汽车,Li Auto
9,海豚,ドルフィン (Dolphin),16829,3.0,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,/autohome_images/009_海豚.png,比亚迪,BYD
10,小米SU7,SU7,16518,-6.0,https://www.autohome.com.cn/6962/#pvareaid=6861512,21.99-30.39万,/autohome_images/010_小米SU7.png,小米汽车,Xiaomi（小米）
11,宋Ultra,Song Ultra,15903,,https://www.autohome.com.cn/8511/#pvareaid=6861512,12.99-17.99万,/autohome_images/011_宋Ultra.png,比亚迪,BYD
12,缤果Pro,Bin Guo Pro,14695,7.0,https://www.autohome.com.cn/8585/#pvareaid=6861512,5.68-7.08万,/autohome_images/012_缤果Pro.png,五菱汽车,Wuling（五菱）
13,卡罗拉锐放,カローラクロス,14675,-3.0,https://www.autohome.com.cn/6428/#pvareaid=6861512,12.68-15.98万,/autohome_images/013_卡罗拉锐放.png,丰田,トヨタ
14,博越L,Boyue L,14302,2.0,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,/autohome_images/014_博越L.png,吉利汽车,Geely（吉利）
15,朗逸,ラヴィーダ (Lavida),14226,2.0,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,/autohome_images/015_朗逸.png,大众,Volkswagen
16,RAV4荣放,RAV4,14062,-2.0,https://www.autohome.com.cn/770/#pvareaid=6861512,16.98-22.88万,/autohome_images/016_RAV4荣放.png,丰田,トヨタ
17,宋Pro新能源,Sealion 5 DM-i,13954,-4.0,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,/autohome_images/017_宋Pro新能源.png,比亚迪,BYD
18,海狮06,シーライオン06 (Sealion 06),13887,-9.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,12.99-19.98万,/autohome_images/018_海狮06.png,比亚迪,BYD
19,小米YU7,YU7,13635,13.0,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,/autohome_images/019_小米YU7.png,小米汽车,Xiaomi（小米）
20,星越L,Monjaro,13287,-2.0,https://www.autohome.com.cn/6004/#pvareaid=6861512,13.97-17.97万,/autohome_images/020_星越L.png,吉利汽车,Geely（吉利）
21,MG4,MG4,13089,-6.0,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,/autohome_images/021_MG4.png,MG,MG
22,QQ3 EV,QQ3 EV,12579,2.0,https://www.autohome.com.cn/8499/#pvareaid=6861512,5.89-7.89万,/autohome_images/022_QQ3_EV.png,奇瑞QQ,Chery（奇瑞）
23,轩逸,シルフィ,12227,30.0,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,/autohome_images/023_轩逸.png,日产,日産
24,海豹06,シール06 (Seal 06),12203,20.0,https://www.autohome.com.cn/7588/#pvareaid=6861512,9.68-15.59万,/autohome_images/024_海豹06.png,比亚迪,BYD
25,速腾,サギター (Sagitar),12097,-4.0,https://www.autohome.com.cn/442/#pvareaid=6861512,9.38-16.49万,/autohome_images/025_速腾.png,大众,Volkswagen
26,探岳,タイロン (Tayron),11825,-1.0,https://www.autohome.com.cn/4744/#pvareaid=6861512,19.89-25.99万,/autohome_images/026_探岳.png,大众,Volkswagen
27,途观L,ティグアンL (Tiguan L),11748,-1.0,https://www.autohome.com.cn/4274/#pvareaid=6861512,18.68-26.68万,/autohome_images/027_途观L.png,大众,Volkswagen
