category_id,category,month,rank,series_id,name,units,price,link,image_url,series_url
1,燃油车,2026-05,1,6814,博越L,13395,9.99-12.99万,https://www.autohome.com.cn/6814/#pvareaid=6861512,public/autohome_energy/all/images/1/1_0_博越L.png,https://www.autohome.com.cn/6814/#pvareaid=6861512
1,燃油车,2026-05,2,614,朗逸,13033,8.00-15.19万,https://www.autohome.com.cn/614/#pvareaid=6861512,public/autohome_energy/all/images/1/2_1_朗逸.png,https://www.autohome.com.cn/614/#pvareaid=6861512
1,燃油车,2026-05,3,448,轩逸,12936,7.99-17.49万,https://www.autohome.com.cn/448/#pvareaid=6861512,public/autohome_energy/all/images/1/3_2_轩逸.png,https://www.autohome.com.cn/448/#pvareaid=6861512
1,燃油车,2026-05,4,4701,缤越,12841,6.68-9.78万,https://www.autohome.com.cn/4701/#pvareaid=6861512,public/autohome_energy/all/images/1/4_3_缤越.png,https://www.autohome.com.cn/4701/#pvareaid=6861512
1,燃油车,2026-05,5,4274,途观L,12503,18.68-26.68万,https://www.autohome.com.cn/4274/#pvareaid=6861512,public/autohome_energy/all/images/1/5_4_途观L.png,https://www.autohome.com.cn/4274/#pvareaid=6861512
1,燃油车,2026-05,6,110,凯美瑞,12237,17.18-25.98万,https://www.autohome.com.cn/110/#pvareaid=6861512,public/autohome_energy/all/images/1/6_5_凯美瑞.png,https://www.autohome.com.cn/110/#pvareaid=6861512
1,燃油车,2026-05,7,496,迈腾,12170,17.49-24.69万,https://www.autohome.com.cn/496/#pvareaid=6861512,public/autohome_energy/all/images/1/7_6_迈腾.png,https://www.autohome.com.cn/496/#pvareaid=6861512
1,燃油车,2026-05,8,4744,探岳,11425,19.89-25.99万,https://www.autohome.com.cn/4744/#pvareaid=6861512,public/autohome_energy/all/images/1/8_7_探岳.png,https://www.autohome.com.cn/4744/#pvareaid=6861512
1,燃油车,2026-05,9,6004,星越L,11099,13.97-17.97万,https://www.autohome.com.cn/6004/#pvareaid=6861512,public/autohome_energy/all/images/1/9_8_星越L.png,https://www.autohome.com.cn/6004/#pvareaid=6861512
1,燃油车,2026-05,10,314,本田CR-V,10744,18.59-24.99万,https://www.autohome.com.cn/314/#pvareaid=6861512,public/autohome_energy/all/images/1/10_9_本田CR-V.png,https://www.autohome.com.cn/314/#pvareaid=6861512
1,燃油车,2026-05,11,528,帕萨特,10727,16.45-30.98万,https://www.autohome.com.cn/528/#pvareaid=6861512,public/autohome_energy/all/images/1/11_10_帕萨特.png,https://www.autohome.com.cn/528/#pvareaid=6861512
1,燃油车,2026-05,12,6414,锋兰达,10725,13.28-17.28万,https://www.autohome.com.cn/6414/#pvareaid=6861512,public/autohome_energy/all/images/1/12_11_锋兰达.png,https://www.autohome.com.cn/6414/#pvareaid=6861512
