rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
1,614,朗逸,ラヴィーダ (Lavida),16111.0,8.00-15.19万,https://www.autohome.com.cn/614/#pvareaid=6861512,public/autohome_images/1_0_朗逸.png,https://www.autohome.com.cn/614/#pvareaid=6861512,大众,Volkswagen
2,528,帕萨特,パサート (Passat),13988.0,16.45-30.98万,https://www.autohome.com.cn/528/#pvareaid=6861512,public/autohome_images/2_1_帕萨特.png,https://www.autohome.com.cn/528/#pvareaid=6861512,大众,Volkswagen
3,442,速腾,サギター (Sagitar),13803.0,9.38-16.49万,https://www.autohome.com.cn/442/#pvareaid=6861512,public/autohome_images/3_2_速腾.png,https://www.autohome.com.cn/442/#pvareaid=6861512,大众,Volkswagen
4,4274,途观L,ティグアンL (Tiguan L),12477.0,18.68-26.68万,https://www.autohome.com.cn/4274/#pvareaid=6861512,public/autohome_images/4_3_途观L.png,https://www.autohome.com.cn/4274/#pvareaid=6861512,大众,Volkswagen
5,6414,锋兰达,フロントランダー,12043.0,13.28-17.28万,https://www.autohome.com.cn/6414/#pvareaid=6861512,public/autohome_images/5_4_锋兰达.png,https://www.autohome.com.cn/6414/#pvareaid=6861512,丰田,トヨタ
6,496,迈腾,マゴタン (Magotan),11232.0,17.49-24.69万,https://www.autohome.com.cn/496/#pvareaid=6861512,public/autohome_images/6_5_迈腾.png,https://www.autohome.com.cn/496/#pvareaid=6861512,大众,Volkswagen
7,110,凯美瑞,カムリ,11172.0,17.18-25.98万,https://www.autohome.com.cn/110/#pvareaid=6861512,public/autohome_images/7_6_凯美瑞.png,https://www.autohome.com.cn/110/#pvareaid=6861512,丰田,トヨタ
8,4744,探岳,タイロン (Tayron),11084.0,19.89-25.99万,https://www.autohome.com.cn/4744/#pvareaid=6861512,public/autohome_images/8_7_探岳.png,https://www.autohome.com.cn/4744/#pvareaid=6861512,大众,Volkswagen
9,314,本田CR-V,CR-V,10089.0,18.59-24.99万,https://www.autohome.com.cn/314/#pvareaid=6861512,public/autohome_images/9_8_本田CR-V.png,https://www.autohome.com.cn/314/#pvareaid=6861512,本田,ホンダ
10,66,宝马3系,3シリーズ,9459.0,25.80-33.80万,https://www.autohome.com.cn/66/#pvareaid=6861512,public/autohome_images/10_9_宝马3系.png,https://www.autohome.com.cn/66/#pvareaid=6861512,宝马,BMW
11,448,轩逸,シルフィ,8998.0,7.99-17.49万,https://www.autohome.com.cn/448/#pvareaid=6861512,public/autohome_images/11_10_轩逸.png,https://www.autohome.com.cn/448/#pvareaid=6861512,日产,日産
12,197,奔驰E级,Eクラス,8583.0,37.88-59.98万,https://www.autohome.com.cn/197/#pvareaid=6861512,public/autohome_images/12_11_奔驰E级.png,https://www.autohome.com.cn/197/#pvareaid=6861512,奔驰,Mercedes-Benz
13,770,RAV4荣放,RAV4,7789.0,16.98-23.88万,https://www.autohome.com.cn/770/#pvareaid=6861512,public/autohome_images/13_12_RAV4荣放.png,https://www.autohome.com.cn/770/#pvareaid=6861512,丰田,トヨタ
14,18,奥迪A6L,A6L,7749.0,32.29-55.89万,https://www.autohome.com.cn/18/#pvareaid=6861512,public/autohome_images/14_13_奥迪A6L.png,https://www.autohome.com.cn/18/#pvareaid=6861512,奥迪,Audi
15,4851,奥迪Q5L,Q5L,7745.0,30.98-39.98万,https://www.autohome.com.cn/4851/#pvareaid=6861512,public/autohome_images/15_14_奥迪Q5L.png,https://www.autohome.com.cn/4851/#pvareaid=6861512,奥迪,Audi
16,4745,途岳,トゥアレ (Tharu),7403.0,12.59-21.66万,https://www.autohome.com.cn/4745/#pvareaid=6861512,public/autohome_images/16_15_途岳.png,https://www.autohome.com.cn/4745/#pvareaid=6861512,大众,Volkswagen
17,6428,卡罗拉锐放,カローラクロス,7395.0,12.68-18.48万,https://www.autohome.com.cn/6428/#pvareaid=6861512,public/autohome_images/17_16_卡罗拉锐放.png,https://www.autohome.com.cn/6428/#pvareaid=6861512,丰田,トヨタ
18,65,宝马5系,5シリーズ,7247.0,36.80-44.80万,https://www.autohome.com.cn/65/#pvareaid=6861512,public/autohome_images/18_17_宝马5系.png,https://www.autohome.com.cn/65/#pvareaid=6861512,宝马,BMW
19,3554,昂科威Plus,Envision Plus,6506.0,22.99-25.99万,https://www.autohome.com.cn/3554/#pvareaid=6861512,public/autohome_images/19_18_昂科威Plus.png,https://www.autohome.com.cn/3554/#pvareaid=6861512,别克,Buick
20,3862,奔驰GLC,GLC,6430.0,35.18-46.28万,https://www.autohome.com.cn/3862/#pvareaid=6861512,public/autohome_images/20_19_奔驰GLC.png,https://www.autohome.com.cn/3862/#pvareaid=6861512,奔驰,Mercedes-Benz
21,4658,宝马X3,X3,5583.0,31.80-39.80万,https://www.autohome.com.cn/4658/#pvareaid=6861512,public/autohome_images/21_20_宝马X3.png,https://www.autohome.com.cn/4658/#pvareaid=6861512,宝马,BMW
22,6548,宝马X5,X5,5283.0,59.80-74.80万,https://www.autohome.com.cn/6548/#pvareaid=6861512,public/autohome_images/22_21_宝马X5.png,https://www.autohome.com.cn/6548/#pvareaid=6861512,宝马,BMW
23,6272,赛那SIENNA,シエナ,5086.0,29.98-39.38万,https://www.autohome.com.cn/6272/#pvareaid=6861512,public/autohome_images/23_22_赛那SIENNA.png,https://www.autohome.com.cn/6272/#pvareaid=6861512,丰田,トヨタ
24,526,卡罗拉,カローラ,5004.0,11.68-15.58万,https://www.autohome.com.cn/526/#pvareaid=6861512,public/autohome_images/24_23_卡罗拉.png,https://www.autohome.com.cn/526/#pvareaid=6861512,丰田,トヨタ
25,4962,亚洲龙,アバロン,4963.0,17.88-25.68万,https://www.autohome.com.cn/4962/#pvareaid=6861512,public/autohome_images/25_24_亚洲龙.png,https://www.autohome.com.cn/4962/#pvareaid=6861512,丰田,トヨタ
26,5472,威兰达,ウィランダー,4886.0,16.98-23.08万,https://www.autohome.com.cn/5472/#pvareaid=6861512,public/autohome_images/26_25_威兰达.png,https://www.autohome.com.cn/5472/#pvareaid=6861512,丰田,トヨタ
27,633,宝来,Bora,4741.0,8.29-11.39万,https://www.autohome.com.cn/633/#pvareaid=6861512,public/autohome_images/27_26_宝来.png,https://www.autohome.com.cn/633/#pvareaid=6861512,大众,Volkswagen
28,78,雅阁,アコード,4630.0,17.98-23.88万,https://www.autohome.com.cn/78/#pvareaid=6861512,public/autohome_images/28_27_雅阁.png,https://www.autohome.com.cn/78/#pvareaid=6861512,本田,ホンダ
29,771,汉兰达,ハイランダー,4503.0,24.98-32.58万,https://www.autohome.com.cn/771/#pvareaid=6861512,public/autohome_images/29_28_汉兰达.png,https://www.autohome.com.cn/771/#pvareaid=6861512,丰田,トヨタ
30,3170,奥迪A3,A3,3952.0,16.59-20.99万,https://www.autohome.com.cn/3170/#pvareaid=6861512,public/autohome_images/30_29_奥迪A3.png,https://www.autohome.com.cn/3170/#pvareaid=6861512,奥迪,Audi
31,7712,铂智3X,bZ3X,3689.0,10.98-15.98万,https://www.autohome.com.cn/7712/#pvareaid=6861512,public/autohome_images/31_30_铂智3X.png,https://www.autohome.com.cn/7712/#pvareaid=6861512,丰田,トヨタ
32,634,天籁,ティアナ,3655.0,13.99-23.98万,https://www.autohome.com.cn/634/#pvareaid=6861512,public/autohome_images/32_31_天籁.png,https://www.autohome.com.cn/634/#pvareaid=6861512,日产,日産
33,2561,宝马X1,X1,3492.0,25.80-28.80万,https://www.autohome.com.cn/2561/#pvareaid=6861512,public/autohome_images/33_32_宝马X1.png,https://www.autohome.com.cn/2561/#pvareaid=6861512,宝马,BMW
34,5393,皓影,ブリーズ,3445.0,13.79-26.39万,https://www.autohome.com.cn/5393/#pvareaid=6861512,public/autohome_images/34_33_皓影.png,https://www.autohome.com.cn/5393/#pvareaid=6861512,本田,ホンダ
35,7855,奥迪A5L,A5L,3246.0,25.58-34.68万,https://www.autohome.com.cn/7855/#pvareaid=6861512,public/autohome_images/35_34_奥迪A5L.png,https://www.autohome.com.cn/7855/#pvareaid=6861512,奥迪,Audi
36,834,君越,ラクロス (LaCrosse),3151.0,20.99-23.99万,https://www.autohome.com.cn/834/#pvareaid=6861512,public/autohome_images/36_35_君越.png,https://www.autohome.com.cn/834/#pvareaid=6861512,别克,Buick
37,564,逍客,キャシュカイ,3088.0,12.59-17.49万,https://www.autohome.com.cn/564/#pvareaid=6861512,public/autohome_images/37_36_逍客.png,https://www.autohome.com.cn/564/#pvareaid=6861512,日产,日産
38,51,伊兰特,エラントラ (Elantra),2878.0,9.98-14.98万,https://www.autohome.com.cn/51/#pvareaid=6861512,public/autohome_images/38_37_伊兰特.png,https://www.autohome.com.cn/51/#pvareaid=6861512,现代,Hyundai
39,588,奔驰C级,Cクラス,2827.0,29.99-34.56万,https://www.autohome.com.cn/588/#pvareaid=6861512,public/autohome_images/39_38_奔驰C级.png,https://www.autohome.com.cn/588/#pvareaid=6861512,奔驰,Mercedes-Benz
40,4809,英仕派,インスパイア,2796.0,18.28-21.38万,https://www.autohome.com.cn/4809/#pvareaid=6861512,public/autohome_images/40_39_英仕派.png,https://www.autohome.com.cn/4809/#pvareaid=6861512,本田,ホンダ
41,5138,捷达VS5,VS5,2707.0,8.79-12.19万,https://www.autohome.com.cn/5138/#pvareaid=6861512,public/autohome_images/41_40_捷达VS5.png,https://www.autohome.com.cn/5138/#pvareaid=6861512,捷达,Jetta
42,3457,凌渡,ラモンド (Lamando),2464.0,15.09-19.59万,https://www.autohome.com.cn/3457/#pvareaid=6861512,public/autohome_images/42_41_凌渡.png,https://www.autohome.com.cn/3457/#pvareaid=6861512,大众,Volkswagen
43,3989,凯迪拉克XT5,XT5,2440.0,37.99-45.99万,https://www.autohome.com.cn/3989/#pvareaid=6861512,public/autohome_images/43_42_凯迪拉克XT5.png,https://www.autohome.com.cn/3989/#pvareaid=6861512,凯迪拉克,Cadillac
44,117,蒙迪欧,モンデオ (Mondeo),2375.0,14.98-22.98万,https://www.autohome.com.cn/117/#pvareaid=6861512,public/autohome_images/44_43_蒙迪欧.png,https://www.autohome.com.cn/117/#pvareaid=6861512,福特,Ford
45,692,奥迪A4L,A4L,2276.0,28.98-36.28万,https://www.autohome.com.cn/692/#pvareaid=6861512,public/autohome_images/45_44_奥迪A4L.png,https://www.autohome.com.cn/692/#pvareaid=6861512,奥迪,Audi
46,135,思域,シビック,2113.0,9.79-17.99万,https://www.autohome.com.cn/135/#pvareaid=6861512,public/autohome_images/46_45_思域.png,https://www.autohome.com.cn/135/#pvareaid=6861512,本田,ホンダ
47,7873,别克至境世家,Envista Estate,1984.0,41.99-48.99万,https://www.autohome.com.cn/7873/#pvareaid=6861512,public/autohome_images/47_46_别克至境世家.png,https://www.autohome.com.cn/7873/#pvareaid=6861512,别克,Buick
48,164,君威,リーガル (Regal),1959.0,15.98-17.58万,https://www.autohome.com.cn/164/#pvareaid=6861512,public/autohome_images/48_47_君威.png,https://www.autohome.com.cn/164/#pvareaid=6861512,别克,Buick
49,6030,皇冠陆放,クラウンクルーガー,1918.0,28.48-33.28万,https://www.autohome.com.cn/6030/#pvareaid=6861512,public/autohome_images/49_48_皇冠陆放.png,https://www.autohome.com.cn/6030/#pvareaid=6861512,丰田,トヨタ
50,6825,本田HR-V,Honda HR-V,1908.0,10.99-12.59万,https://www.autohome.com.cn/6825/#pvareaid=6861512,public/autohome_images/50_49_本田HR-V.png,https://www.autohome.com.cn/6825/#pvareaid=6861512,本田,ホンダ
51,4824,奕跑,Stonic,1885.0,7.98-8.38万,https://www.autohome.com.cn/4824/#pvareaid=6861512,public/autohome_images/51_50_奕跑.png,https://www.autohome.com.cn/4824/#pvareaid=6861512,起亚,Kia
52,8243,日产N6,N6,1861.0,10.39-12.99万,https://www.autohome.com.cn/8243/#pvareaid=6861512,public/autohome_images/52_51_日产N6.png,https://www.autohome.com.cn/8243/#pvareaid=6861512,日产,日産
53,5349,凯迪拉克CT5,CT5,1857.0,28.99-34.59万,https://www.autohome.com.cn/5349/#pvareaid=6861512,public/autohome_images/53_52_凯迪拉克CT5.png,https://www.autohome.com.cn/5349/#pvareaid=6861512,凯迪拉克,Cadillac
54,656,奇骏,エクストレイル,1833.0,16.08-26.29万,https://www.autohome.com.cn/656/#pvareaid=6861512,public/autohome_images/54_53_奇骏.png,https://www.autohome.com.cn/656/#pvareaid=6861512,日产,日産
55,166,别克GL8,GL8,1794.0,19.99-36.99万,https://www.autohome.com.cn/166/#pvareaid=6861512,public/autohome_images/55_54_别克GL8.png,https://www.autohome.com.cn/166/#pvareaid=6861512,别克,Buick
56,7658,别克GL8新能源,GL8 EV,1712.0,22.99-39.99万,https://www.autohome.com.cn/7658/#pvareaid=6861512,public/autohome_images/56_55_别克GL8新能源.png,https://www.autohome.com.cn/7658/#pvareaid=6861512,别克,Buick
57,2951,奥迪Q3,Q3,1651.0,25.18-29.68万,https://www.autohome.com.cn/2951/#pvareaid=6861512,public/autohome_images/57_56_奥迪Q3.png,https://www.autohome.com.cn/2951/#pvareaid=6861512,奥迪,Audi
58,3615,锐界,エッジ (Edge),1621.0,22.98-30.98万,https://www.autohome.com.cn/3615/#pvareaid=6861512,public/autohome_images/58_57_锐界.png,https://www.autohome.com.cn/3615/#pvareaid=6861512,福特,Ford
59,358,途胜,ツーソン (Tucson),1562.0,15.98-20.78万,https://www.autohome.com.cn/358/#pvareaid=6861512,public/autohome_images/59_58_途胜.png,https://www.autohome.com.cn/358/#pvareaid=6861512,现代,Hyundai
60,4674,T-ROC探歌,T-ROC,1540.0,13.89-15.87万,https://www.autohome.com.cn/4674/#pvareaid=6861512,public/autohome_images/60_59_T-ROC探歌.png,https://www.autohome.com.cn/4674/#pvareaid=6861512,大众,Volkswagen
61,7717,马自达EZ-60,EZ-60,1524.0,11.99-16.69万,https://www.autohome.com.cn/7717/#pvareaid=6861512,public/autohome_images/61_60_马自达EZ-60.png,https://www.autohome.com.cn/7717/#pvareaid=6861512,马自达,マツダ
62,6672,格瑞维亚,グランビア,1472.0,29.98-41.68万,https://www.autohome.com.cn/6672/#pvareaid=6861512,public/autohome_images/62_61_格瑞维亚.png,https://www.autohome.com.cn/6672/#pvareaid=6861512,丰田,トヨタ
63,8160,捷达VS8,VS8,1409.0,11.99-13.79万,https://www.autohome.com.cn/8160/#pvareaid=6861512,public/autohome_images/63_62_捷达VS8.png,https://www.autohome.com.cn/8160/#pvareaid=6861512,捷达,Jetta
64,2987,马自达CX-5,CX-5,1342.0,12.58-15.38万,https://www.autohome.com.cn/2987/#pvareaid=6861512,public/autohome_images/64_63_马自达CX-5.png,https://www.autohome.com.cn/2987/#pvareaid=6861512,马自达,マツダ
65,4232,途昂,テラモント (Teramont),1337.0,28.90-35.99万,https://www.autohome.com.cn/4232/#pvareaid=6861512,public/autohome_images/65_64_途昂.png,https://www.autohome.com.cn/4232/#pvareaid=6861512,大众,Volkswagen
66,7817,奥迪A5L Sportback,A5L Sportback,1160.0,27.99-39.99万,https://www.autohome.com.cn/7817/#pvareaid=6861512,public/autohome_images/66_65_奥迪A5L_Sportback.png,https://www.autohome.com.cn/7817/#pvareaid=6861512,奥迪,Audi
67,905,一汽-大众CC,CC,1120.0,22.49-24.99万,https://www.autohome.com.cn/905/#pvareaid=6861512,public/autohome_images/67_66_一汽-大众CC.png,https://www.autohome.com.cn/905/#pvareaid=6861512,大众,Volkswagen
68,46,普拉多,ランドクルーザープラド,1104.0,44.98-55.98万,https://www.autohome.com.cn/46/#pvareaid=6861512,public/autohome_images/68_67_普拉多.png,https://www.autohome.com.cn/46/#pvareaid=6861512,丰田,トヨタ
